Composition,Source,Temperature (K),Average SCL (A),Pair 1 Label,Pair 1 SCL_i (A),Pair 1 Peak X (A),Pair 1 Peak Y,Pair 1 Min X (A),Pair 1 Min Y,Pair 1 CC Peak X (A),Pair 1 CC Peak Y,Pair 1 PMF at Peak (kJ/mol),Pair 1 Bond Strength (kJ/mol/A²),Pair 1 Reduced Mass (g/mol),Pair 1 Fundamental Frequency (rad/s),Pair 2 Label,Pair 2 SCL_i (A),Pair 2 Peak X (A),Pair 2 Peak Y,Pair 2 Min X (A),Pair 2 Min Y,Pair 2 CC Peak X (A),Pair 2 CC Peak Y,Pair 2 PMF at Peak (kJ/mol),Pair 2 Bond Strength (kJ/mol/A²),Pair 2 Reduced Mass (g/mol),Pair 2 Fundamental Frequency (rad/s),Pair 3 Label,Pair 3 SCL_i (A),Pair 3 Peak X (A),Pair 3 Peak Y,Pair 3 Min X (A),Pair 3 Min Y,Pair 3 CC Peak X (A),Pair 3 CC Peak Y,Pair 3 PMF at Peak (kJ/mol),Pair 3 Bond Strength (kJ/mol/A²),Pair 3 Reduced Mass (g/mol),Pair 3 Fundamental Frequency (rad/s),Pair 4 Label,Pair 4 SCL_i (A),Pair 4 Peak X (A),Pair 4 Peak Y,Pair 4 Min X (A),Pair 4 Min Y,Pair 4 CC Peak X (A),Pair 4 CC Peak Y,Pair 4 PMF at Peak (kJ/mol),Pair 4 Bond Strength (kJ/mol/A²),Pair 4 Reduced Mass (g/mol),Pair 4 Fundamental Frequency (rad/s),Pair 5 Label,Pair 5 SCL_i (A),Pair 5 Peak X (A),Pair 5 Peak Y,Pair 5 Min X (A),Pair 5 Min Y,Pair 5 CC Peak X (A),Pair 5 CC Peak Y,Pair 5 PMF at Peak (kJ/mol),Pair 5 Bond Strength (kJ/mol/A²),Pair 5 Reduced Mass (g/mol),Pair 5 Fundamental Frequency (rad/s),Pair 6 Label,Pair 6 SCL_i (A),Pair 6 Peak X (A),Pair 6 Peak Y,Pair 6 Min X (A),Pair 6 Min Y,Pair 6 CC Peak X (A),Pair 6 CC Peak Y,Pair 6 PMF at Peak (kJ/mol),Pair 6 Bond Strength (kJ/mol/A²),Pair 6 Reduced Mass (g/mol),Pair 6 Fundamental Frequency (rad/s)
0.65KCl-0.35UCl3,"Andersson, 2024",1250,3.10936,K-Cl,3.29166,3.09691,0.54426,4.59772,0.13871,5.07417,0.11237,-10.09428,267.47794,18.59244,37.92938,U-Cl,2.77081,2.75545,0.87008,4.04583,0.02231,4.78036,0.03276,-21.40405,665.44504,30.85476,46.4403,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.5KCl-0.5UCl3,"Andersson, 2024",1250,3.02222,K-Cl,3.12659,3.08627,0.35742,4.68613,0.1027,5.04991,0.05069,-9.15319,279.99795,18.59244,38.80693,U-Cl,2.91784,2.76161,0.99713,3.88815,0.03839,4.52966,0.07348,-19.81618,737.98885,30.85476,48.90619,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.5454LiF-0.3636NaF-0.091UF4,"Grizzi, 2024",1473,2.19098,Li-F,2.13713,1.82187,0.7549,2.91272,0.09724,0,0,-16.75526,1801.1649,5.08315,188.2392,Na-F,2.26273,2.24121,0.33998,3.5219,0.08295,0,0,-11.95166,1041.02026,10.40219,100.03851,U-F,2.22704,2.22704,0.23517,3.25273,0.00497,0,0,-24.40211,1406.21649,17.59412,89.40099,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.78NaF-0.22UF4,"900K-AIMD-Zhang, 2026",900,2.74481,Na-F,2.89272,2.25947,0.66942,3.58082,0.14648,3.5409,0.18298,-7.46342,708.15244,10.40219,82.50894,U-F,2.22037,2.21955,0.56069,3.25747,0.00791,3.9401,0.00702,-15.6081,3013.72362,17.59412,130.87839,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.78NaF-0.22UF4,"900K-CMD-Zhang, 2026",900,2.84107,Na-F,3.01613,2.25947,0.80309,3.37723,0.13508,3.46106,0.19884,-8.82573,1007.22079,10.40219,98.4011,U-F,2.22038,2.21955,0.59274,3.21755,0.00452,4.69858,0.00544,-16.0241,1906.33774,17.59412,104.09171,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.78NaF-0.22UF4,"1000K-CMD-Zhang, 2026",1000,2.78771,Na-F,2.94772,2.21955,0.77656,3.38122,0.14021,3.57683,0.19313,-9.5271,1865.72134,10.40219,133.9248,U-F,2.22038,2.21955,0.5824,3.10178,0.00498,4.45906,0.00527,-17.65821,2358.73105,17.59412,115.78584,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.78NaF-0.22UF4,"1100K-CMD-Zhang, 2026",1100,2.79523,Na-F,2.95737,2.25947,0.71494,3.3413,0.13744,3.49699,0.18292,-9.72372,891.18288,10.40219,92.55951,U-F,2.22038,2.21955,0.5524,3.22154,0.0055,6.57881,0.01706,-18.94031,2571.00801,17.59412,120.88376,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.78NaF-0.22UF4,"1200K-CMD-Zhang, 2026",1200,2.74421,Na-F,2.90318,2.25947,0.66123,3.50098,0.14215,3.65667,0.16684,-9.8285,775.95368,10.40219,86.36853,U-F,2.18057,2.17963,0.55247,3.26146,0.00574,4.57882,0.00661,-20.6634,4369.31637,17.59412,157.58794,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.57NaF-0.16KF-0.27UF4,"900K-AIMD-Zhang, 2026",900,2.40234,K-F,2.53891,2.53891,0.10131,2.69859,0.09185,3.5409,0.00505,-5.2918,1888.83947,12.78567,121.54463,Na-F,2.44807,2.17963,0.51994,3.37723,0.08898,3.58082,0.08815,-8.02344,2420.76378,10.40219,152.55057,U-F,2.2249,2.21955,0.6572,3.3413,0.00805,4.25946,0.00889,-15.36805,2250.16462,17.59412,113.08979,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.57NaF-0.16KF-0.27UF4,"1000K-AIMD-Zhang, 2026",1000,2.4203,K-F,2.62274,2.62274,0.09956,3.78042,0.02759,3.21755,0.00219,-5.73475,1162.79763,12.78567,95.36529,Na-F,2.47472,2.21955,0.48361,3.18162,0.08727,3.46106,0.08206,-8.31267,732.02163,10.40219,83.88795,U-F,2.18547,2.17963,0.63527,3.09779,0.00858,6.69857,0.01969,-16.79337,2367.56402,17.59412,116.00243,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.57NaF-0.16KF-0.27UF4,"1100K-AIMD-Zhang, 2026",1100,2.41845,K-F,2.58282,2.58282,0.0919,2.77843,0.08121,2.98202,0.00125,-5.57639,912.50478,12.78567,84.48037,Na-F,2.464,2.21955,0.45775,3.3413,0.08846,3.61675,0.07735,-8.64138,911.47773,10.40219,93.6075,U-F,2.22491,2.21955,0.61022,3.18162,0.00692,4.66265,0.01,-18.10482,3054.87791,17.59412,131.76897,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.57NaF-0.16KF-0.27UF4,"1200K-AIMD-Zhang, 2026",1200,2.40282,K-F,2.61875,2.61875,0.08418,3.82034,0.02892,3.78042,0.00574,-5.20812,338.58108,12.78567,51.45998,Na-F,2.44517,2.21955,0.43216,3.50098,0.09296,3.69659,0.07316,-8.85295,1220.24608,10.40219,108.3082,U-F,2.18547,2.17963,0.59966,3.22154,0.00784,4.45906,0.00794,-19.57651,2586.0639,17.59412,121.23719,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.63NaCl-0.37UCl3,"AIMD-Zhang, 2026",1100,2.94353,Na-Cl,3.04782,2.77843,0.62554,4.25946,0.12536,4.21954,0.11751,-10.51783,903.24063,13.94577,80.47863,U-Cl,2.76597,2.7425,0.82925,3.86026,0.02677,5.29738,0.04143,-17.96376,1476.52856,30.85476,69.17671,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
