# composition,0.417NaCl-0.058KCl-0.525CaCl2
# source,Wei, 2022
# temperature_K,1023
# raw_file,0.417NaCl-0.058KCl-0.525CaCl2_Wei_2022_1023.0_RIM.csv
# savgol,True
# grid_points,2000
r (A),Ca-Ca,Ca-Cl,K-Cl,K-K,Na-Cl,Na-Na
0.20126193492246122,0.02869280627186005,0.04327019672388148,0.04154210844538506,0.00939675942193806,0.023411579175682408,0.03465964766662561
0.20871608066033015,0.028650335893627442,0.04357942735527532,0.04160526570922706,0.009387604519907002,0.023392465971980806,0.0346461893500409
0.21617022639819908,0.028607865515394834,0.043680813853669,0.041608875603532734,0.009378449617875942,0.0233733527682792,0.03463273103345619
0.22362437213606803,0.02856539513716223,0.04350282016186145,0.04161103818852641,0.009369294715844882,0.0233542395645776,0.03461927271687148
0.23107851787393696,0.028522924758929622,0.04332482647005391,0.04161320077352009,0.009360139813813824,0.023335126360875997,0.03460581440028676
0.2385326636118059,0.028480454380697014,0.04314683277824636,0.04161536335851377,0.009350984911782764,0.02331601315717439,0.03459235608370205
0.24598680934967482,0.02843798400246441,0.04296883908643881,0.041617525943507455,0.009341830009751704,0.02329689995347279,0.03457695202457318
0.2534409550875438,0.028395513624231802,0.04279084539463126,0.041619688528501134,0.009332675107720645,0.023277786749771184,0.03455848163668251
0.2608951008254127,0.0283542264962797,0.042612851702823716,0.04162185111349481,0.009323520205689585,0.023258673546069582,0.03454001124879184
0.26834924656328163,0.028315301412036864,0.042434858011016166,0.04162401369848849,0.009314365303658527,0.02323217350409801,0.03452154086090117
0.2758033923011506,0.028276376327794027,0.042256864319208616,0.04162617628348217,0.009305210401627467,0.023204868921385242,0.0345030704730105
0.2832575380390195,0.028237451243551193,0.042078870627401066,0.041628338868475855,0.009237492857397405,0.023177564338672477,0.03448460008511983
0.29071168377688844,0.028198526159308356,0.04190087693559352,0.04163050145346953,0.009144151922498558,0.023150259755959707,0.03446612969722916
0.29816582951475734,0.028159601075065523,0.04172288324378597,0.04163266403846321,0.009050810987599713,0.023122955173246938,0.0344476593093385
0.3056199752526263,0.028120675990822686,0.04154488955197842,0.04160247404956448,0.008957470052700867,0.023095650590534172,0.03442918892144783
0.31307412099049525,0.028081750906579852,0.04149491578239115,0.04151873000692136,0.008864129117802022,0.023068346007821403,0.03441071853355716
0.32052826672836415,0.028042825822337015,0.04147359581958184,0.04143498596427826,0.008770788182903177,0.023041041425108637,0.034392248145666486
0.3279824124662331,0.02800390073809418,0.04145227585677253,0.041351241921635154,0.00867744724800433,0.023013736842395868,0.03437377775777582
0.335436558204102,0.027964975653851344,0.041430955893963214,0.041267497878992046,0.008584106313105485,0.0229864322596831,0.03435530736988515
0.34289070394197096,0.02792605056960851,0.041409635931153904,0.04118375383634894,0.008490765378206639,0.022959127676970333,0.03433683698199448
0.3503448496798399,0.027887125485365673,0.041388315968344594,0.04110000979370582,0.008397424443307792,0.022931823094257564,0.03431777504231977
0.3577989954177088,0.027855849125088435,0.04136699600553528,0.04101626575106272,0.008304083508408947,0.0229045185115448,0.034295684836023854
0.3652531411555778,0.027827296831772493,0.041345676042725966,0.040932521708419614,0.0082107425735101,0.02287721392883203,0.034273594629727934
0.3727072868934467,0.027798744538456547,0.041324356079916656,0.040848777665776506,0.008123062668025018,0.022844843894070963,0.03425150442343202
0.38016143263131563,0.0277701922451406,0.04130303611710734,0.0407650336231334,0.008100846319304649,0.02281005499587529,0.03422941421713611
0.3876155783691846,0.02774163995182466,0.04128171615429803,0.04068128958049028,0.00807862997058428,0.022775266097679617,0.034207324010840194
0.3950697241070535,0.027713087658508714,0.04126039619148872,0.04059754553784718,0.008056413621863911,0.022740477199483942,0.03418523380454428
0.40252386984492244,0.027684535365192768,0.04123679192872238,0.04057374465208919,0.008034197273143542,0.02270568830128827,0.03416314359824836
0.4099780155827914,0.027655983071876826,0.0412044704511291,0.040567154301828064,0.008011980924423174,0.022670899403092595,0.03414105339195245
0.4174321613206603,0.02762743077856088,0.04117214897353582,0.04056056395156694,0.007989764575702805,0.022636110504896924,0.034118963185656534
