# composition,0.33NaCl-0.45MgCl2-0.22KCl
# source,Jiang, 2024
# temperature_K,750
# raw_file,0.45MgCl2-0.33NaCl-0.22KCl_Jiang_2024_750.0_PIM.csv
# savgol,True
# grid_points,2000
r (A),Cl-Cl,K-Cl,K-K,Mg-Cl,Mg-Mg,Na-Cl,Na-Na
0.888658624112056,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.8960641126463231,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.9034696011805903,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.9108750897148574,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.9182805782491245,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.9256860667833916,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.9330915553176587,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.9404970438519259,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.947902532386193,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.9553080209204602,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.9627135094547273,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.9701189979889945,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.9775244865232616,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.9849299750575287,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.9923354635917958,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.999740952126063,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.00714644066033,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.0145519291945972,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.0219574177288644,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.0293629062631315,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.0367683947973987,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.0441738833316658,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.051579371865933,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.0589848604002001,0.0,0.0,0.0,0.0,0.0,0.0,0.0
