# composition,0.7LiCl-0.3CaCl2
# source,Liang, 2024
# temperature_K,1073
# raw_file,0.7LiCl-0.3CaCl2_Liang_2024_1073.0_RIM.csv
# savgol,True
# grid_points,2000
r (A),Ca-Ca,Ca-Cl,Ca-Li,Cl-Cl,Li-Cl,Li-Li
0.1682159761199281,0.007148240924609081,0.0038609286059381022,0.004311999323512762,0.018705445056301107,0.007181341861996254,0.0
0.17316350482933776,0.007140147351244442,0.0038963260758819083,0.004269292394480051,0.018700838492720195,0.007173443988160287,0.0
0.1781110335387474,0.007132053777879802,0.003931723545825714,0.004226585465447339,0.018694617656779315,0.00716554611432432,0.0
0.18305856224815706,0.007123960204515163,0.003967121015769521,0.004183878536414627,0.01868829554538206,0.007157648240488353,0.0
0.1880060909575667,0.007115866631150524,0.004002518485713327,0.0041411716073819155,0.018681973433984804,0.007149750366652386,0.0
0.19295361966697636,0.007107773057785885,0.004037915955657133,0.004098464678349204,0.01867565132258755,0.007141852492816419,0.0
0.197901148376386,0.0070996794844212455,0.004073313425600939,0.004055757749316492,0.018669329211190293,0.007133954618980452,0.0
0.20284867708579568,0.007091585911056606,0.004108710895544746,0.00401305082028378,0.018663007099793037,0.007126056745144485,0.0
0.20779620579520533,0.007083492337691967,0.004144108365488551,0.003970343891251068,0.01865668498839578,0.007118158871308518,0.0
0.21274373450461498,0.007075398764327327,0.004179505835432358,0.003927636962218356,0.018650362876998526,0.007110260997472551,0.0
0.21769126321402463,0.007067305190962689,0.004163367029088768,0.0038849300331856443,0.01864404076560127,0.007102363123636584,0.0
0.22263879192343428,0.007060599619833425,0.00414518698764617,0.0038422231041529325,0.01863771865420401,0.007094465249800617,0.0
0.22758632063284392,0.007054908358030013,0.004127006946203571,0.003799516175120221,0.018631396542806756,0.007086567375964649,0.0
0.23253384934225357,0.007049217096226601,0.004108826904760973,0.003756809246087509,0.0186250744314095,0.0070786695021286825,0.0
0.23748137805166322,0.00704352583442319,0.004090646863318375,0.0037141023170547973,0.018618752320012245,0.007070771628292716,0.0
0.24242890676107287,0.007037834572619779,0.004072466821875777,0.003671395388022086,0.01861243020861499,0.007062873754456749,0.0
0.24737643547048252,0.007032143310816367,0.004054286780433179,0.003628688458989374,0.018606108097217734,0.007054975880620782,0.0
0.25232396417989217,0.007026452049012955,0.00403610673899058,0.003585981529956662,0.018599785985820478,0.007047005290148973,0.0
0.25727149288930184,0.007020760787209543,0.004017926697547982,0.0035432746009239503,0.018593463874423222,0.007038967630935369,0.0
0.26221902159871147,0.007015069525406132,0.003999746656105384,0.0035005676718912384,0.018586662238343692,0.0070309299717217656,0.0
0.26716655030812114,0.0070093782636027205,0.003981566614662785,0.0034578607428585265,0.0185791011201902,0.007022892312508162,0.0
0.27211407901753076,0.007003687001799309,0.003963386573220187,0.0034529347946514054,0.0185715400020367,0.007014854653294558,0.0
0.27706160772694044,0.006997995739995897,0.003945206531777589,0.00348864122204917,0.018563978883883208,0.007006816994080955,0.0
0.28200913643635006,0.006992304478192485,0.003927026490334991,0.0035243476494469348,0.01855641776572971,0.006998779334867351,0.0
0.28695666514575974,0.006986613216389073,0.003908846448892392,0.0035600540768446994,0.018548856647576217,0.006990741675653747,0.0
0.29190419385516936,0.006980921954585662,0.003890666407449794,0.003595760504242464,0.01854129552942272,0.006982704016440144,0.0
0.29685172256457903,0.006975230692782251,0.0038724863660071955,0.003631466931640229,0.018533734411269223,0.00697466635722654,0.0
0.30179925127398866,0.006969539430978839,0.00385872913005413,0.0036671733590379935,0.01852617329311573,0.006966628698012936,0.0
0.30674677998339833,0.006963848169175427,0.003851390397728662,0.0037028797864357586,0.018518612174962232,0.006958591038799332,0.0
0.31169430869280795,0.006958156907372015,0.003844051665403194,0.003738586213833523,0.01851105105680874,0.006950553379585728,0.0
0.31664183740221763,0.0069524656455686035,0.0038367129330777266,0.003774292641231288,0.018503489938655242,0.006942515720372125,0.0
0.3215893661116273,0.0069467743837651925,0.0038293742007522585,0.0038099990686290526,0.018495928820501748,0.006934478061158521,0.0
0.3265368948210369,0.006941083121961781,0.0038220354684267905,0.0038457054960268173,0.01848836770234825,0.006926440401944917,0.0
0.3314844235304466,0.006935391860158369,0.003814696736101323,0.003881411923424582,0.018480806584194754,0.006918402742731314,0.0
