# composition,0.637LiCl-0.363KCl
# source,Jiang, 2016
# temperature_K,750
# raw_file,0.637LiCl-0.363KCl_Jiang_2016_750.0_RIM.csv
# savgol,True
# grid_points,2000
r (A),K-Cl,Li-Cl
1.5253336502951476,0.0,0.0005884981233088875
1.5293162446823412,0.0,0.0013822305853267824
1.5332988390695346,0.0,0.002175963047344633
1.5372814334567282,0.0,0.002969695509362528
1.5412640278439218,0.0,0.003763427971380423
1.5452466222311154,0.0,0.0045571604333983174
1.549229216618309,0.0,0.005350892895416213
1.5532118110055027,0.0,0.006144625357434107
1.5571944053926963,0.0,0.006938357819452003
1.5611769997798899,0.0,0.007732090281469897
1.5651595941670835,0.0,0.008525822743487793
1.5691421885542771,0.0,0.009319555205505687
1.5731247829414707,0.0,0.010113287667523582
1.5771073773286641,0.0,0.010907020129541433
1.5810899717158577,0.0,0.011700752591559328
1.5850725661030514,0.0,0.012494485053577222
1.589055160490245,0.0,0.013288217515595118
1.5930377548774386,0.0,0.014081949977613013
1.5970203492646322,0.0,0.014875682439630908
1.6010029436518258,0.0,0.015669414901648804
1.6049855380390194,0.0,0.0164631473636667
1.608968132426213,0.0,0.017256879825684593
1.6129507268134067,0.0,0.018050612287702487
1.6169333212006003,0.0,0.018844344749720382
1.6209159155877937,0.0,0.01963807721173823
1.6248985099749873,0.0,0.020431809673756126
1.628881104362181,0.0,0.021225542135774024
1.6328636987493745,0.0,0.02201927459779192
1.6368462931365682,0.0,0.022813007059809813
1.6408288875237618,0.0,0.02476918104513937
1.6448114819109554,0.0,0.02686658592718609
1.648794076298149,0.0,0.028963990809232808
1.6527766706853426,0.0,0.031061395691279525
1.6567592650725362,0.0,0.03315880057332624
1.6607418594597299,0.0,0.03525620545537296
1.6647244538469232,0.0,0.03735361033741957
1.6687070482341169,0.0,0.039451015219466284
1.6726896426213105,0.0,0.041548420101513
1.676672237008504,0.0,0.04364582498355972
1.6806548313956977,0.0,0.04574322986560644
1.6846374257828913,0.0,0.047840634747653155
1.688620020170085,0.0,0.04993803962969988
1.6926026145572786,0.0,0.05203544451174659
1.6965852089444722,0.0,0.054132849393793314
1.7005678033316658,0.0,0.05623025427584003
1.7045503977188594,0.0,0.05832765915788675
1.7085329921060528,0.0,0.06042506403993335
1.7125155864932464,0.0,0.06252246892198007
1.71649818088044,0.0,0.07149595727985444
1.7204807752676337,0.0,0.08397746417812574
1.7244633696548273,0.0,0.09645897107639705
1.7284459640420209,0.0,0.10894047797466835
1.7324285584292145,0.0,0.12142198487293965
1.7364111528164081,0.0,0.13390349177121097
1.7403937472036017,0.0,0.14638499866948224
1.7443763415907954,0.0,0.15886650556775356
1.748358935977989,0.0,0.17134801246602488
1.7523415303651824,0.0,0.18397131630038527
1.756324124752376,0.0,0.199187405946085
1.7603067191395696,0.0,0.2144034955917847
1.7642893135267632,0.0,0.22961958523748444
1.7682719079139568,0.0,0.24483567488318414
1.7722545023011504,0.0,0.26005176452888384
1.776237096688344,0.0,0.27526785417458355
1.7802196910755377,0.0,0.2904839438202833
1.7842022854627313,0.0,0.30570003346598296
1.788184879849925,0.0,0.3209161231116827
1.7921674742371185,0.0,0.3361322127573824
1.796150068624312,0.0,0.3513483024030813
1.8001326630115055,0.0,0.3744960014256942
1.8041152573986992,0.0,0.40568927717345454
1.8080978517858928,0.0,0.43688255292121486
1.8120804461730864,0.0,0.46807582866897524
1.81606304056028,0.0,0.49926910441673555
1.8200456349474736,0.0,0.5304623801644959
1.8240282293346672,0.0,0.5616556559122562
1.8280108237218609,0.0,0.5928489316600165
1.8319934181090545,0.0,0.6285219023796709
1.835976012496248,0.0,0.6649922152040139
1.8399586068834415,0.0,0.7014625280283548
1.843941201270635,0.0,0.737932840852698
1.8479237956578287,0.0,0.7744031536770409
1.8519063900450223,0.0,0.8308906957984926
1.855888984432216,0.0,0.9112512633464549
1.8598715788194096,0.0,1.0109444985649734
1.8638541732066032,0.0,1.0562082553016503
1.8678367675937968,0.0,1.0764070463879543
1.8718193619809904,0.0,1.0966058374742582
1.875801956368184,0.0,1.116804628560562
1.8797845507553776,0.0,1.137003419646866
1.8837671451425713,0.0,1.3110387649169628
