# composition,0.64NaCl-0.36UCl3
# source,Andersson, 2022
# temperature_K,1250
# raw_file,0.64NaCl-0.36UCl3_Andersson_2022_1250.0_AP.csv
# savgol,True
# grid_points,2000
r (A),Cl-Cl,Na-Cl,Na-Na,Na-U,U-Cl,U-U
0.41181720450925463,0.0,0.0,0.0,0.0,0.0,0.0
0.41527785328664335,0.0,0.0,0.0,0.0,0.0,0.0
0.418738502064032,0.0,0.0,0.0,0.0,0.0,0.0
0.42219915084142073,0.0,0.0,0.0,0.0,0.0,0.0
0.4256597996188094,0.0,0.0,0.0,0.0,0.0,0.0
0.4291204483961981,0.0,0.0,0.0,0.0,0.0,0.0
0.4325810971735868,0.0,0.0,0.0,0.0,0.0,0.0
0.4360417459509755,0.0,0.0,0.0,0.0,0.0,0.0
0.43950239472836417,0.0,0.0,0.0,0.0,0.0,0.0
0.4429630435057529,0.0,0.0,0.0,0.0,0.0,0.0
0.4464236922831416,0.0,0.0,0.0,0.0,0.0,0.0
0.44988434106053027,0.0,0.0,0.0,0.0,0.0,0.0
0.453344989837919,0.0,0.0,0.0,0.0,0.0,0.0
0.45680563861530765,0.0,0.0,0.0,0.0,0.0,0.0
0.46026628739269637,0.0,0.0,0.0,0.0,0.0,0.0
0.46372693617008504,0.0,0.0,0.0,0.0,0.0,0.0
0.46718758494747376,0.0,0.0,0.0,0.0,0.0,0.0
0.4706482337248624,0.0,0.0,0.0,0.0,0.0,0.0
0.47410888250225114,0.0,0.0,0.0,0.0,0.0,0.0
0.4775695312796398,0.0,0.0,0.0,0.0,0.0,0.0
0.4810301800570285,0.0,0.0,0.0,0.0,0.0,0.0
0.48449082883441724,0.0,0.0,0.0,0.0,0.0,0.0
0.4879514776118059,0.0,0.0,0.0,0.0,0.0,0.0
0.4914121263891946,0.0,0.0,0.0,0.0,0.0,0.0
0.4948727751665833,0.0,0.0,0.0,0.0,0.0,0.0
0.498333423943972,0.0,0.0,0.0,0.0,0.0,0.0
0.5017940727213607,0.0,0.0,0.0,0.0,0.0,0.0
0.5052547214987494,0.0,0.0,0.0,0.0,0.0,0.0
