# composition,0.5455LiF-0.2727BeF2-0.1818ThF4
# source,Yin, 2025
# temperature_K,973
# raw_file,0.5455LiF-0.2727BeF2-0.1818ThF4_Yin_2025_973.0_AP.csv
# savgol,True
# grid_points,2000
r (A),Be-Be,Be-F,F-F,Li-F,Li-Li,Th-F
0.15504505826513257,0.0,0.0,0.0,0.0,0.0,0.0
0.1580266940010005,0.0,0.0,0.0,0.0,0.0,0.0
0.16100832973686843,0.0,0.0,0.0,0.0,0.0,0.0
0.16398996547273637,0.0,0.0,0.0,0.0,0.0,0.0
0.16697160120860433,0.0,0.0,0.0,0.0,0.0,0.0
0.16995323694447226,0.0,0.0,0.0,0.0,0.0,0.0
0.1729348726803402,0.0,0.0,0.0,0.0,0.0,0.0
0.17591650841620812,0.0,0.0,0.0,0.0,0.0,0.0
0.17889814415207606,0.0,0.0,0.0,0.0,0.0,0.0
0.181879779887944,0.0,0.0,0.0,0.0,0.0,0.0
0.18486141562381192,0.0,0.0,0.0,0.0,0.0,0.0
0.18784305135967985,0.0,0.0,0.0,0.0,0.0,0.0
0.19082468709554778,0.0,0.0,0.0,0.0,0.0,0.0
0.19380632283141572,0.0,0.0,0.0,0.0,0.0,0.0
0.19678795856728365,0.0,0.0,0.0,0.0,0.0,0.0
0.19976959430315158,0.0,0.0,0.0,0.0,0.0,0.0
0.20275123003901951,0.0,0.0,0.0,0.0,0.0,0.0
0.20573286577488745,0.0,0.0,0.0,0.0,0.0,0.0
0.20871450151075538,0.0,0.0,0.0,0.0,0.0,0.0
0.2116961372466233,0.0,0.0,0.0,0.0,0.0,0.0
0.21467777298249124,0.0,0.0,0.0,0.0,0.0,0.0
0.2176594087183592,0.0,0.0,0.0,0.0,0.0,0.0
0.22064104445422714,0.0,0.0,0.0,0.0,0.0,0.0
0.22362268019009507,0.0,0.0,0.0,0.0,0.0,0.0
0.226604315925963,0.0,0.0,0.0,0.0,0.0,0.0
0.22958595166183093,0.0,0.0,0.0,0.0,0.0,0.0
0.23256758739769887,0.0,0.0,0.0,0.0,0.0,0.0
0.2355492231335668,0.0,0.0,0.0,0.0,0.0,0.0
0.23853085886943473,0.0,0.0,0.0,0.0,0.0,0.0
0.24151249460530266,0.0,0.0,0.0,0.0,0.0,0.0
0.2444941303411706,0.0,0.0,0.0,0.0,0.0,0.0
0.24747576607703853,0.0,0.0,0.0,0.0,0.0,0.0
0.2504574018129065,0.0,0.0,0.0,0.0,0.0,0.0
0.2534390375487744,0.0,0.0,0.0,0.0,0.0,0.0
0.25642067328464235,0.0,0.0,0.0,0.0,0.0,0.0
0.25940230902051026,0.0,0.0,0.0,0.0,0.0,0.0
0.2623839447563782,0.0,0.0,0.0,0.0,0.0,0.0
0.2653655804922461,0.0,0.0,0.0,0.0,0.0,0.0
0.2683472162281141,0.0,0.0,0.0,0.0,0.0,0.0
0.271328851963982,0.0,0.0,0.0,0.0,0.0,0.0
0.27431048769984995,0.0,0.0,0.0,0.0,0.0,0.0
0.27729212343571785,0.0,0.0,0.0,0.0,0.0,0.0
0.2802737591715858,0.0,0.0,0.0,0.0,0.0,0.0
0.2832553949074537,0.0,0.0,0.0,0.0,0.0,0.0
0.2862370306433217,0.0,0.0,0.0,0.0,0.0,0.0
0.28921866637918964,0.0,0.0,0.0,0.0,0.0,0.0
0.29220030211505754,0.0,0.0,0.0,0.0,0.0,0.0
0.2951819378509255,0.0,0.0,0.0,0.0,0.0,0.0
0.2981635735867934,0.0,0.0,0.0,0.0,0.0,0.0
0.30114520932266137,0.0,0.0,0.0,0.0,0.0,0.0
0.30412684505852927,0.0,0.0,0.0,0.0,0.0,0.0
0.30710848079439723,0.0,0.0,0.0,0.0,0.0,0.0
0.31009011653026514,0.0,0.0,0.0,0.0,0.0,0.0
0.3130717522661331,0.0,0.0,0.0,0.0,0.0,0.0
0.316053388002001,0.0,0.0,0.0,0.0,0.0,0.0
0.31903502373786896,0.0,0.0,0.0,0.0,0.0,0.0
0.32201665947373687,0.0,0.0,0.0,0.0,0.0,0.0
0.3249982952096048,0.0,0.0,0.0,0.0,0.0,0.0
0.32797993094547273,0.0,0.0,0.0,0.0,0.0,0.0
0.3309615666813407,0.0,0.0,0.0,0.0,0.0,0.0
0.33394320241720865,0.0,0.0,0.0,0.0,0.0,0.0
0.33692483815307656,0.0,0.0,0.0,0.0,0.0,0.0
0.3399064738889445,0.0,0.0,0.0,0.0,0.0,0.0
0.3428881096248124,0.0,0.0,0.0,0.0,0.0,0.0
0.3458697453606804,0.0,0.0,0.0,0.0,0.0,0.0
0.3488513810965483,0.0,0.0,0.0,0.0,0.0,0.0
0.35183301683241625,0.0,0.0,0.0,0.0,0.0,0.0
0.35481465256828415,0.0,0.0,0.0,0.0,0.0,0.0
0.3577962883041521,0.0,0.0,0.0,0.0,0.0,0.0
0.36077792404002,0.0,0.0,0.0,0.0,0.0,0.0
0.363759559775888,0.0,0.0,0.0,0.0,0.0,0.0
0.3667411955117559,0.0,0.0,0.0,0.0,0.0,0.0
0.36972283124762384,0.0,0.0,0.0,0.0,0.0,0.0
0.37270446698349174,0.0,0.0,0.0,0.0,0.0,0.0
