# composition,1.0NaF
# source,Walz, 2019
# temperature_K,1266
# raw_file,NaF_Walz_2019_1266.0_PIM.csv
# savgol,True
# grid_points,2000
r (A),F-F,Na-F,Na-Na
1.6433923536092028,0.0,0.0,0.0
1.6497620914138895,0.0,0.0,0.0
1.6561318292185765,0.0,0.0,0.0
1.6625015670232632,0.0,0.0,0.0
1.66887130482795,0.0,0.0,0.0
1.675241042632637,0.0,0.0,0.0
1.6816107804373237,0.0,0.0011638039693096115,0.0
1.6879805182420105,0.0,0.004309546115220536,0.0
1.6943502560466974,0.0,0.007455288261131571,0.0
1.7007199938513842,0.0,0.010601030407042496,0.0
1.7070897316560711,0.0,0.013746772552953531,0.0
1.713459469460758,0.0,0.016892514698864457,0.0
1.7198292072654446,0.0,0.02003825684477538,0.0
1.7261989450701316,0.0,0.023183998990686416,0.0
1.7325686828748184,0.0,0.026714878396813958,0.0
1.738938420679505,0.0,0.032788909800905625,0.0
1.745308158484192,0.0,0.03886294120499751,0.0
1.7516778962888788,0.0,0.04493697260908918,0.0
1.7580476340935658,0.0,0.05101100401318106,0.0
1.7644173718982525,0.0,0.05708503541727273,0.0
1.7707871097029393,0.0,0.0631590668213644,0.0
1.7771568475076263,0.0,0.06923309822545629,0.0
1.783526585312313,0.0,0.07530712962954794,0.0
1.7898963231169998,0.0,0.08138116103363963,0.0
1.7962660609216867,0.0,0.0874551924377315,0.0
1.8026357987263735,0.0,0.09852839833360781,0.0
1.8090055365310604,0.0,0.12441629872338066,0.0
1.8153752743357472,0.0,0.1503041991131526,0.0
1.821745012140434,0.0,0.17619209950292453,0.0
1.828114749945121,0.0,0.20207999989269737,0.0
1.8344844877498077,0.0,0.23824420656896245,0.0
1.8408542255544946,0.0,0.2796239388073394,0.0
1.8472239633591814,0.0,0.3210036710457149,0.0
1.8535937011638681,0.0,0.3623834032840904,0.0
1.859963438968555,0.0,0.398680139351476,0.0
1.8663331767732418,0.0,0.4328103937167333,0.0
1.8727029145779286,0.0,0.4669406480819906,0.0
1.8790726523826156,0.0,0.5010709024472491,0.0
1.8854423901873023,0.0,0.594506822544243,0.0
1.8918121279919893,0.0,0.7703173950126847,0.0
1.898181865796676,0.0,0.8670552271228756,0.0
1.9045516036013628,0.0,0.9637930592330666,0.0
1.9109213414060497,0.0,1.0262176352442989,0.0
1.9172910792107365,0.0,1.0787821029357119,0.0
1.9236608170154232,0.0,1.1313465706271248,0.0
1.9300305548201102,0.0,1.1839110383185398,0.0
1.936400292624797,0.0,1.2876956241229904,0.0
1.942770030429484,0.0,1.5394241923445477,0.0
1.9491397682341707,0.0,1.6549358879294158,0.0
1.9555095060388574,0.0,1.770447583514284,0.0
1.9618792438435444,0.0,1.843828634954722,0.0
1.9682489816482311,0.0,1.9099155131817267,0.0
1.974618719452918,0.0,1.9760023914087317,0.0
1.9809884572576049,0.0,2.042089269635739,0.0
1.9873581950622916,0.0,2.2204544292325776,0.0
1.9937279328669786,0.0,2.423068086923118,0.0
2.000097670671665,0.0,2.5402762159544854,0.0
2.006467408476352,0.0,2.6574843449858614,0.0
2.012837146281039,0.0,2.722755187433162,0.0
2.019206884085726,0.0,2.7839995192765055,0.0
2.0255766218904125,0.0,2.845243851119845,0.0
2.0319463596950995,0.0,2.906488182963188,0.00013182595942594068
2.0383160974997865,0.0,3.068833747132081,0.0019530241524800868
2.044685835304473,0.0,3.2162106580798118,0.003774222345534106
2.05105557310916,0.0,3.3051654591657296,0.005595420538588252
2.057425310913847,0.0017161778968528955,3.393954547654223,0.007416618731642398
2.0637950487185335,0.013115332742010306,3.4379302151536066,0.009237816924696418
2.0701647865232204,0.024514487587168513,3.4819058826529927,0.011059015117750563
2.0765345243279074,0.03591364243232672,3.525881550152379,0.01288021331080471
2.082904262132594,0.04731279727748413,3.5698572176517622,0.014701411503858728
2.089273999937281,0.05871195212264233,3.66524448374015,0.01603398111990865
2.095643737741968,0.07011110696780054,3.742071969234482,0.017309074893576255
2.102013475546655,0.08151026181295874,3.798500943324482,0.01858416866724386
2.1083832133513414,0.09215287154387714,3.8512028213601663,0.019859262440911372
2.1147529511560283,0.0940137687719862,3.8606418649616585,0.021134356214578976
2.1211226889607153,0.09587466600009527,3.8700809085631507,0.02240944998824658
2.127492426765402,0.0977355632282042,3.8795199521646424,0.023684543761914093
2.133862164570089,0.09959646045631328,3.8889589957661346,0.024959637535581697
2.140231902374776,0.10145735768442234,3.8983980393676267,0.026234731309249297
2.1466016401794623,0.10331825491253128,3.907837082969118,0.027509825082916814
2.1529713779841493,0.10517915214064034,3.91727612657061,0.028784918856584418
2.1593411157888363,0.10704004936874942,3.9267151701721024,0.03006001263025202
2.1657108535935228,0.10890094659685835,3.936154213773594,0.03133510640391953
2.1720805913982097,0.11076184382496743,3.9330495209295804,0.03261020017758714
2.1784503292028967,0.11262274105307649,3.927452110700212,0.03388529395125474
2.1848200670075832,0.11448363828118543,3.921854700470844,0.035160387724922255
2.19118980481227,0.1163445355092945,3.9162572902414756,0.036435481498589856
2.197559542616957,0.11820543273740357,3.9106598800121075,0.03771057527225746
2.203929280421644,0.12006632996551264,3.905062469782739,0.03898566904592506
2.2102990182263307,0.12192722719362158,3.8994650595533713,0.04026076281959258
2.2166687560310177,0.12378812442173065,3.8938676493240028,0.04153585659326018
2.2230384938357046,0.1256490216498397,3.875368986006859,0.04281095036692779
2.229408231640391,0.12750991887794866,3.832132500763718,0.0440860441405953
2.235777969445078,0.12937081610605772,3.788896015520574,0.045361137914262904
2.242147707249765,0.13123171333416678,3.74565953027743,0.04663623168793051
2.2485174450544516,0.13309261056227573,3.687205528967222,0.04791132546159802
2.2548871828591386,0.13495350779038479,3.6279112349303215,0.04918641923526563
2.2612569206638256,0.13681440501849387,3.575559032747322,0.05046151300893323
2.267626658468512,0.1386753022466028,3.53893538426001,0.05283765493983107
