# composition,1.0KF
# source,Walz, 2019
# temperature_K,1131
# raw_file,KF_Walz_2019_1131.0_PIM.csv
# savgol,True
# grid_points,2000
r (A),F-F,K-F,K-K
1.5649271900995803,0.0,0.0,0.0
1.5723792243381496,0.0,0.0,0.0
1.5798312585767191,0.0,0.0,0.0
1.5872832928152885,0.0,0.0,0.0
1.594735327053858,0.0,0.0,0.0
1.6021873612924273,0.0,0.0,0.0
1.6096393955309969,0.0,0.0,0.0
1.6170914297695662,0.0,0.0,0.0
1.6245434640081355,0.0,0.0,0.0
1.631995498246705,0.0,0.0,0.0
1.6394475324852744,0.0,0.0,0.0
1.646899566723844,0.0,0.0,0.0
1.6543516009624133,0.0,0.0,0.0
1.6618036352009828,0.0,0.0,0.0
1.6692556694395522,0.0,0.0,0.0
1.6767077036781217,0.0,0.0,0.0
1.684159737916691,0.0,0.0,0.0
1.6916117721552606,0.0,0.0,0.0
1.69906380639383,0.0,0.0,0.0
1.7065158406323995,0.0,0.0,0.0
1.7139678748709688,0.0,0.0,0.0
1.7214199091095381,0.0,0.0,0.0
1.7288719433481077,0.0,0.0,0.0
1.736323977586677,0.0,0.0,0.0
1.7437760118252466,0.0,0.0,0.0
1.7512280460638159,0.0,0.0,0.0
1.7586800803023854,0.0,0.0,0.0
1.7661321145409548,0.0,0.0,0.0
1.7735841487795243,0.0,0.0,0.0
1.7810361830180936,0.0,0.0,0.0
1.7884882172566632,0.0,0.0,0.0
1.7959402514952325,0.0,0.0,0.0
1.803392285733802,0.0,0.0,0.0
1.8108443199723714,0.0,0.0,0.0
1.8182963542109407,0.0,0.0,0.0
1.8257483884495103,0.0,0.0,0.0
1.8332004226880796,0.0,0.0,0.0
1.8406524569266491,0.0,0.0,0.0
1.8481044911652185,0.0,0.0,0.0
1.855556525403788,0.0,0.0,0.0
1.8630085596423573,0.0,0.0,0.0
1.870460593880927,0.0,0.0,0.0
1.8779126281194962,0.0,0.0,0.0
1.8853646623580658,0.0,0.0,0.0
1.892816696596635,0.0,0.0,0.0
1.9002687308352046,0.0,0.0,0.0
1.907720765073774,0.0,0.0,0.0
1.9151727993123433,0.0,0.0,0.0
1.9226248335509128,0.0,0.0,0.0
1.9300768677894822,0.0,0.0,0.0
1.9375289020280517,0.0,0.0,0.0
1.944980936266621,0.0,0.0,0.0
1.9524329705051906,0.0,0.0,0.0
1.95988500474376,0.0,0.0026614118886106137,0.0
1.9673370389823295,0.0,0.010667948898377662,0.0
1.9747890732208988,0.0,0.018674485908144474,0.0
1.9822411074594684,0.0,0.026681022917911523,0.0
1.9896931416980377,0.0,0.03468755992767834,0.0
1.9971451759366072,0.0,0.042694096937445386,0.0
2.0045972101751763,0.0,0.05070063394721196,0.0
2.012049244413746,0.0,0.05847974980269197,0.0
2.0195012786523154,0.0,0.06594493642419268,0.0
2.026953312890885,0.0,0.07341012304569337,0.0
2.034405347129454,0.0,0.08087530966719363,0.0
2.0418573813680236,0.0,0.08834049628869434,0.0
2.049309415606593,0.0,0.09580568291019503,0.0
2.0567614498451627,0.0,0.10327086953169573,0.0
2.064213484083732,0.0,0.11073605615319598,0.0
2.0716655183223014,0.0,0.11820124277469668,0.0
2.079117552560871,0.0,0.1341648836325608,0.0
2.0865695867994405,0.0,0.16346659026117608,0.0
2.0940216210380096,0.0,0.19276829688978964,0.0
2.101473655276579,0.0,0.22211384563411485,0.0
2.1089256895151487,0.0,0.2683267465826615,0.0
2.116377723753718,0.0,0.31453964753120534,0.0
2.1238297579922873,0.0,0.36353670201048827,0.0
2.131281792230857,0.0,0.4173034182386285,0.0
2.1387338264694264,0.0,0.47081327583017124,0.0
2.1461858607079956,0.0,0.5222627607131902,0.0
