# composition,0.535NaCl-0.315MgCl2-0.15CaCl2
# source,Wei, 2022
# temperature_K,1023
# raw_file,0.535NaCl-0.315MgCl2-0.15CaCl2_Wei_2022_1023.0_RIM.csv
# savgol,True
# grid_points,2000
r (A),Ca-Ca,Ca-Cl,Mg-Cl,Mg-Mg,Na-Cl,Na-Na
1.109121953611806,0.0289493026115744,0.07930976061764677,0.07063396360493311,0.024609413972394106,0.018105433304898843,0.01662873405044488
1.1165657251125563,0.02896198409878798,0.07925741499501496,0.07106035555128624,0.024121200107891677,0.01810016034035957,0.016612814960698684
1.1240094966133067,0.028974665586001567,0.07862189074662781,0.07148674749763939,0.023632986243389234,0.0180948873758203,0.016596895870952488
1.131453268114057,0.0290176334548888,0.07792809694170205,0.07191313944399252,0.023144772378886805,0.018089614411281027,0.016580976781206295
1.1388970396148075,0.029100127469562163,0.07723430313677626,0.07233953139034567,0.022656558514384362,0.018084341446741755,0.0165650576914601
1.1463408111155577,0.02918262148423552,0.0765405093318505,0.07276592333669879,0.02230491308711483,0.018079068482202483,0.016549138601713902
1.1537845826163082,0.02926511549890888,0.07584671552692471,0.07319231528305194,0.022034633343100206,0.01807379551766321,0.01653321951196771
1.1612283541170585,0.02934760951358224,0.07515292172199894,0.07361870722940507,0.02176435359908559,0.01806852255312394,0.016517300422221513
1.168672125617809,0.029430103528255598,0.07445912791707317,0.07404509917575822,0.021494073855070968,0.018063249588584667,0.016501009045903587
1.1761158971185592,0.029512597542928957,0.0737653341121474,0.07447149112211135,0.021223794111056352,0.018057976624045395,0.016476009765710908
1.1835596686193097,0.029595091557602315,0.07307154030722161,0.07489788306846448,0.020953514367041726,0.01805270365950612,0.016451010485518225
1.19100344012006,0.029677585572275674,0.07237774650229585,0.07532427501481762,0.02068323462302711,0.018047430694966848,0.016426011205325546
1.1984472116208105,0.029760079586949033,0.07168395269737006,0.07575066696117076,0.02041295487901249,0.018042967773217834,0.016401011925132863
1.2058909831215607,0.02984257360162239,0.0709901588924443,0.07666403296676097,0.020142675134997873,0.01805821753158964,0.016376012644940183
1.2133347546223112,0.02992506761629575,0.07043441003664862,0.07764977127968695,0.019872395390983247,0.01807346728996144,0.0163510133647475
1.2207785261230615,0.03000756163096911,0.07005572880751201,0.0786355095926129,0.019602115646968635,0.018088717048333244,0.01632601408455482
1.228222297623812,0.030090055645642468,0.06967704757837538,0.07962124790553887,0.01933183590295401,0.01810396680670505,0.016301014804362142
1.2356660691245622,0.03015479296561303,0.06929836634923878,0.08060698621846482,0.019061556158939393,0.01811921656507685,0.01627601552416946
1.2431098406253127,0.030124559437492614,0.06891968512010214,0.0815927245313908,0.01879127641492477,0.018134466323448655,0.01625101624397678
1.250553612126063,0.0300943259093722,0.06854100389096554,0.08257846284431675,0.01863765921718492,0.018149716081820456,0.016226016963784097
1.2579973836268135,0.030064092381251784,0.06816232266182891,0.08356420115724272,0.01869299787383139,0.01816496584019226,0.016201017683591418
1.2654411551275637,0.03003385885313137,0.0677836414326923,0.08454993947016867,0.018748336530477853,0.018180215598564066,0.016176018403398735
1.2728849266283142,0.030003625325010955,0.06740496020355567,0.08553567778309465,0.01880367518712432,0.018195465356935867,0.016151019123206056
1.2803286981290645,0.02997339179689054,0.06702627897441905,0.08652141609602058,0.018859013843770783,0.018210715115307672,0.016126019843013373
