# composition,1.0LiF
# source,Walz, 2019
# temperature_K,1121
# raw_file,LiF_Walz_2019_1121.0_PIM.csv
# savgol,True
# grid_points,2000
r (A),F-F,Li-F,Li-Li
1.4131621599549775,0.0,0.0,0.0
1.418300931445723,0.0,0.0,0.0
1.4234397029364683,0.0,0.0,0.0
1.4285784744272136,0.0,0.0,0.0
1.433717245917959,0.0,0.0,0.0
1.4388560174087044,0.0,0.0,0.0
1.4439947888994498,0.0,0.0,0.0
1.4491335603901951,0.0,0.0,0.0
1.4542723318809405,0.0,0.0,0.0
1.459411103371686,0.0,0.002089246361958836,0.0
1.4645498748624313,0.0,0.010555425506425868,0.0
1.4696886463531766,0.0,0.0190216046508929,0.0
1.474827417843922,0.0,0.02748778379535993,0.0
1.4799661893346674,0.0,0.035953962939826965,0.0
1.4851049608254128,0.0,0.04442014208429399,0.0
1.4902437323161581,0.0,0.052886321228761024,0.0
1.4953825038069035,0.0,0.06135250037322806,0.0
1.500521275297649,0.0,0.06981867951769509,0.0
1.5056600467883943,0.0,0.07828485866216212,0.0
1.5107988182791396,0.0,0.0869263296909247,0.0
1.515937589769885,0.0,0.09694745418097085,0.0
1.5210763612606304,0.0,0.10696857867101701,0.0
1.5262151327513758,0.0,0.11698970316106316,0.0
1.5313539042421211,0.0,0.12701082765110933,0.0
1.5364926757328663,0.0,0.13703195214115504,0.0
1.5416314472236117,0.0,0.1470530766312012,0.0
1.546770218714357,0.0,0.15707420112124737,0.0
1.5519089902051024,0.0,0.1670953256112935,0.0
1.5570477616958478,0.0,0.17711645010133967,0.0
1.5621865331865932,0.0,0.19157072545811016,0.0
1.5673253046773385,0.0,0.2329631275992207,0.0
1.572464076168084,0.0,0.2743555297403312,0.0
1.5776028476588293,0.0,0.3157479318814418,0.0
1.5827416191495747,0.0,0.3562028846194265,0.0
1.58788039064032,0.0,0.39644856797535966,0.0
1.5930191621310654,0.0,0.4366942513312928,0.0
1.5981579336218108,0.0,0.47693993468722595,0.0
1.6032967051125562,0.0,0.5171856180431591,0.0
1.6084354766033016,0.0,0.5574313013990924,0.0
1.613574248094047,0.0,0.6144666650732239,0.0
1.6187130195847923,0.0,0.753537399330193,0.0
1.6238517910755377,0.0,0.8926081335871623,0.0
1.628990562566283,0.0,1.0316788678441315,0.0
1.6341293340570284,0.0,1.1106658975923114,0.0
1.6392681055477738,0.0,1.1787229632989216,0.0
1.6444068770385192,0.0,1.2467800290055318,0.0
1.6495456485292646,0.0,1.314837094712142,0.0
1.65468442002001,0.0,1.382894160418752,0.0
1.6598231915107553,0.0,1.450951226125362,0.0
1.6649619630015007,0.0,1.5190082918319723,0.0
1.670100734492246,0.0,1.5870653575385822,0.0
1.6752395059829914,0.0,1.6551224232451927,0.0
1.6803782774737368,0.0,1.7231794889518026,0.0
1.6855170489644822,0.0,1.8006945341888652,0.0
1.6906558204552276,0.0,1.8795648366817184,0.0
1.695794591945973,0.0,1.9584351391745713,0.0
1.7009333634367183,0.0,2.0373054416674243,0.0
1.7060721349274637,0.0,2.1161757441602775,0.0
1.711210906418209,0.0,2.1950460466531307,0.0
1.7163496779089544,0.0,2.273916349145984,0.0
1.7214884493996998,0.0,2.352786651638837,0.0
1.7266272208904452,0.0,2.4316569541316904,0.0
1.7317659923811906,0.0,2.5105272566245436,0.0
1.736904763871936,0.0,2.582184601688849,0.0
1.7420435353626813,0.0,2.653069320598249,0.0
1.7471823068534267,0.0,2.7239540395076496,0.0
1.752321078344172,0.0,2.79483875841705,0.0
1.7574598498349174,0.0,2.865723477326451,0.0
1.7625986213256628,0.0,2.9366081962358512,0.0
1.7677373928164082,0.0,3.0074929151452516,0.0
1.7728761643071536,0.0,3.078377634054652,0.0
1.778014935797899,0.0,3.149262352964053,0.0
1.7831537072886443,0.0,3.2201470718734533,0.0
1.7882924787793897,0.0,3.2629835690557454,0.0
1.793431250270135,0.0,3.3037680720878635,0.0028308529249299547
1.7985700217608804,0.0,3.3445525751199816,0.005728021225919178
1.8037087932516258,0.0,3.3853370781520997,0.008625189526908402
1.8088475647423712,0.0,3.426121581184218,0.011522357827897626
1.8139863362331166,0.0,3.4669060842163355,0.01441952612888685
1.819125107723862,0.0,3.5076905872484536,0.017316694429876073
1.8242638792146073,0.0,3.5484750902805717,0.020213862730865294
1.8294026507053527,0.0,3.58925959331269,0.02311103103185452
1.834541422196098,0.0,3.630044096344808,0.02600819933284374
1.8396801936868434,0.0,3.6404375189032754,0.028905367633832967
1.8448189651775888,0.0,3.6495781107360292,0.030942920641284656
1.8499577366683342,0.0,3.6587187025687835,0.032680238049007354
1.8550965081590796,0.0,3.6678592944015374,0.03441755545673005
1.860235279649825,0.0,3.6769998862342916,0.03615487286445275
1.8653740511405703,0.0,3.6861404780670455,0.03789219027217545
1.8705128226313157,0.0,3.6952810698997993,0.039629507679898146
1.875651594122061,0.0,3.7044216617325536,0.041366825087620844
1.8807903656128064,0.0,3.6960455893871482,0.04310414249534354
1.8859291371035518,0.0,3.6782744092859194,0.04484145990306623
1.8910679085942972,0.0,3.6605032291846906,0.04657877731078894
