# composition,1.0CaCl2
# source,Numbers, 2026
# temperature_K,1060
# raw_file,1.0CaCl2_Numbers_2026_1060.0_AP.csv
# savgol,False
# grid_points,2000
r (A),Ca-Ca,Ca-Cl,Cl-Cl
1.2679577288644321,0.0,0.0,0.0
1.2731972236118059,0.0,0.0,0.0
1.2784367183591794,0.0,0.0,0.0
1.283676213106553,0.0,0.0,0.0
1.2889157078539268,0.0,0.0,0.0
1.2941552026013006,0.0,0.0,0.0
1.2993946973486743,0.0,0.0,0.0
1.3046341920960478,0.0,0.0,0.0
1.3098736868434215,0.0,0.0,0.0
1.3151131815907953,0.0,0.0,0.0
1.320352676338169,0.0,0.0,0.0
1.3255921710855427,0.0,0.0,0.0
1.3308316658329162,0.0,0.0,0.0
1.33607116058029,0.0,0.0,0.0
1.3413106553276637,0.0,0.0,0.0
1.3465501500750374,0.0,0.0,0.0
1.3517896448224112,0.0,0.0,0.0
1.3570291395697847,0.0,0.0,0.0
1.3622686343171584,0.0,0.0,0.0
1.3675081290645321,0.0,0.0,0.0
1.3727476238119058,0.0,0.0,0.0
1.3779871185592796,0.0,0.0,0.0
1.383226613306653,0.0,0.0,0.0
1.3884661080540268,0.0,0.0,0.0
1.3937056028014005,0.0,0.0,0.0
1.3989450975487743,0.0,0.0,0.0
1.404184592296148,0.0,0.0,0.0
1.4094240870435215,0.0,0.0,0.0
1.4146635817908952,0.0,0.0,0.0
1.419903076538269,0.0,0.0,0.0
1.4251425712856427,0.0,0.0,0.0
1.4303820660330164,0.0,0.0,0.0
1.43562156078039,0.0,0.0,0.0
1.4408610555277637,0.0,0.0,0.0
1.4461005502751374,0.0,0.0,0.0
1.4513400450225111,0.0,0.0,0.0
1.4565795397698849,0.0,0.0,0.0
1.4618190345172586,0.0,0.0,0.0
1.467058529264632,0.0,0.0,0.0
1.4722980240120058,0.0,0.0,0.0
1.4775375187593796,0.0,0.0,0.0
1.4827770135067533,0.0,0.0,0.0
1.488016508254127,0.0,0.0,0.0
1.4932560030015005,0.0,0.0,0.0
1.4984954977488743,0.0,0.0,0.0
1.503734992496248,0.0,0.0,0.0
1.5089744872436217,0.0,0.0,0.0
1.5142139819909954,0.0,0.0,0.0
1.519453476738369,0.0,0.0,0.0
1.5246929714857427,0.0,0.0,0.0
1.5299324662331164,0.0,0.0,0.0
1.5351719609804901,0.0,0.0,0.0
1.5404114557278639,0.0,0.0,0.0
1.5456509504752374,0.0,0.0,0.0
1.550890445222611,0.0,0.0,0.0
1.5561299399699848,0.0,0.0,0.0
1.5613694347173586,0.0,0.0,0.0
1.5666089294647323,0.0,0.0,0.0
1.5718484242121058,0.0,0.0,0.0
1.5770879189594795,0.0,0.0,0.0
1.5823274137068533,0.0,0.0,0.0
1.587566908454227,0.0,0.0,0.0
1.5928064032016007,0.0,0.0,0.0
1.5980458979489742,0.0,0.0,0.0
1.603285392696348,0.0,0.0,0.0
1.6085248874437217,0.0,0.0,0.0
1.6137643821910954,0.0,0.0,0.0
1.6190038769384691,0.0,0.0,0.0
1.6242433716858427,0.0,0.0,0.0
1.6294828664332164,0.0,0.0,0.0
1.6347223611805901,0.0,0.0,0.0
1.6399618559279638,0.0,0.0,0.0
1.6452013506753376,0.0,0.0,0.0
1.650440845422711,0.0,0.0,0.0
1.6556803401700848,0.0,0.0,0.0
1.6609198349174585,0.0,0.0,0.0
1.6661593296648323,0.0,0.0,0.0
1.671398824412206,0.0,0.0,0.0
1.6766383191595797,0.0,0.0,0.0
1.6818778139069532,0.0,0.0,0.0
1.687117308654327,0.0,0.0,0.0
1.6923568034017007,0.0,0.0,0.0
1.6975962981490744,0.0,0.0,0.0
1.7028357928964482,0.0,0.0,0.0
1.7080752876438217,0.0,0.0,0.0
1.7133147823911954,0.0,0.0,0.0
1.7185542771385691,0.0,0.0,0.0
1.7237937718859428,0.0,0.0,0.0
1.7290332666333166,0.0,0.0,0.0
1.73427276138069,0.0,0.0,0.0
1.7395122561280638,0.0,0.0,0.0
1.7447517508754375,0.0,0.0,0.0
1.7499912456228113,0.0,0.0,0.0
1.755230740370185,0.0,0.0,0.0
1.7604702351175585,0.0,0.0,0.0
1.7657097298649322,0.0,0.0,0.0
1.770949224612306,0.0,0.0,0.0
1.7761887193596797,0.0,0.0,0.0
1.7814282141070534,0.0,0.0,0.0
1.786667708854427,0.0,0.0,0.0
1.7919072036018007,0.0,0.0,0.0
1.7971466983491744,0.0,0.0,0.0
1.8023861930965481,0.0,0.0,0.0
1.8076256878439219,0.0,0.0,0.0
1.8128651825912954,0.0,5.818245355669925e-05,0.0
1.818104677338669,0.0,0.00024692065655771095,0.0
1.8233441720860428,0.0,0.0004356588595587227,0.0
1.8285836668334166,0.0,0.0006243970625597344,0.0
1.8338231615807903,0.0,0.0008131352655607461,0.0
1.8390626563281638,0.0,0.0010018734685617499,0.0
1.8443021510755375,0.0,0.0011906116715627616,0.0
1.8495416458229113,0.0,0.0013793498745637734,0.0
1.854781140570285,0.0,0.001568088077564785,0.0
1.8600206353176587,0.0,0.0017568262805657967,0.0
1.8652601300650322,0.0,0.0018539208656268204,0.0
1.870499624812406,0.0,0.0017246955594273107,0.0
1.8757391195597797,0.0,0.0015954702532278012,0.0
1.8809786143071534,0.0,0.0014662449470282915,0.0
1.8862181090545271,0.0,0.001337019640828782,0.0
1.8914576038019006,0.0,0.0012077943346292777,0.0
1.8966970985492744,0.0,0.0010785690284297682,0.0
1.901936593296648,0.0,0.0009493437222302586,0.0
1.9071760880440218,0.0,0.000820118416030749,0.0
1.9124155827913956,0.0,0.0006908931098312393,0.0
1.9176550775387693,0.0,0.0006559617056465637,0.0
1.9228945722861428,0.0,0.0008783557163060705,0.0
1.9281340670335165,0.0,0.0011007497269655867,0.0
1.9333735617808903,0.0,0.001323143737625103,0.0
1.938613056528264,0.0,0.0015455377482846192,0.0
1.9438525512756377,0.0,0.0017679317589441353,0.0
1.9490920460230112,0.0,0.0019903257696036424,0.0
1.954331540770385,0.0,0.0022127197802631585,0.0
1.9595710355177587,0.0,0.0024351137909226746,0.0
1.9648105302651324,0.0,0.0026575078015821907,0.0
1.9700500250125061,0.0,0.00282113513329446,0.0
1.9752895197598797,0.0,0.0028066816197120205,0.0
1.9805290145072534,0.0,0.0027922281061295803,0.0
1.9857685092546271,0.0,0.00277777459254714,0.0
1.9910080040020008,0.0,0.0027633210789647,0.0
1.9962474987493746,0.0,0.0027488675653822596,0.0
2.0014869934967483,0.0,0.0027344140517998193,0.0
2.006726488244122,0.0,0.002719960538217379,0.0
2.0119659829914953,0.0,0.0027055070246349397,0.0
2.017205477738869,0.0,0.0026910535110524995,0.0
2.0224449724862428,0.0,0.002630488047763119,0.0
2.0276844672336165,0.0,0.0024138513700809948,0.0
2.0329239619809902,0.0,0.0021972146923988707,0.0
2.038163456728364,0.0,0.0019805780147167467,0.0
2.0434029514757377,0.0,0.0017639413370346226,0.0
2.0486424462231114,0.0,0.0015473046593524986,0.0
2.053881940970485,0.0,0.0013306679816703746,0.0
2.059121435717859,0.0,0.0011140313039882503,0.0
2.0643609304652326,0.0,0.0008973946263061262,0.0
