# composition,1.0KCl
# source,Walz, 2019
# temperature_K,1043
# raw_file,KCl_Walz_2019_1043.0_PIM.csv
# savgol,True
# grid_points,2000
r (A),Cl-Cl,K-Cl,K-K
1.7199349427813906,0.0,0.0,0.0
1.7273805485942972,0.0,0.0,0.0
1.7348261544072037,0.0,0.0,0.0
1.74227176022011,0.0,0.0,0.0
1.7497173660330165,0.0,0.0,0.0
1.757162971845923,0.0,0.0,0.0
1.7646085776588294,0.0,0.0,0.0
1.7720541834717358,0.0,0.0,0.0
1.7794997892846423,0.0,0.0,0.0
1.7869453950975487,0.0,0.0,0.0
1.7943910009104551,0.0,0.0,0.0
1.8018366067233618,0.0,0.0,0.0
1.8092822125362682,0.0,0.0,0.0
1.8167278183491746,0.0,0.0,0.0
1.824173424162081,0.0,0.0,0.0
1.8316190299749875,0.0,0.0,0.0
1.839064635787894,0.0,0.0,0.0
1.8465102416008004,0.0,0.0,0.0
1.8539558474137068,0.0,0.0,0.0
1.8614014532266132,0.0,0.0,0.0
1.8688470590395196,0.0,0.0,0.0
1.8762926648524263,0.0,0.0,0.0
1.8837382706653327,0.0,0.0,0.0
1.8911838764782392,0.0,0.0,0.0
1.8986294822911456,0.0,0.0,0.0
1.906075088104052,0.0,0.0,0.0
1.9135206939169584,0.0,0.0,0.0
1.9209662997298649,0.0,0.0,0.0
1.9284119055427713,0.0,0.0,0.0
1.9358575113556777,0.0,0.0,0.0
1.9433031171685844,0.0,0.0,0.0
1.9507487229814908,0.0,0.0,0.0
1.9581943287943973,0.0,0.0,0.0
1.9656399346073037,0.0,0.0,0.0
1.9730855404202101,0.0,0.0,0.0
1.9805311462331165,0.0,0.0,0.0
1.987976752046023,0.0,0.0,0.0
1.9954223578589294,0.0,0.0,0.0
2.002867963671836,0.0,0.0,0.0
2.0103135694847425,0.0,0.0,0.0
2.0177591752976487,0.0,0.0,0.0
2.0252047811105554,0.0,0.0,0.0
2.0326503869234616,0.0,0.0,0.0
2.040095992736368,0.0,0.0,0.0
2.0475415985492744,0.0,0.0,0.0
2.054987204362181,0.0,0.0,0.0
2.0624328101750877,0.0,0.0,0.0
2.069878415987994,0.0,0.0,0.0
2.0773240218009006,0.0,0.0,0.0
2.084769627613807,0.0,0.0,0.0
2.0922152334267134,0.0,0.0,0.0
2.0996608392396197,0.0,0.0,0.0
2.1071064450525263,0.0,0.0,0.0
2.1145520508654325,0.0,0.0,0.0
2.121997656678339,0.0,0.0,0.0
2.129443262491246,0.0,0.0,0.0
2.136888868304152,0.0,0.0,0.0
2.1443344741170587,0.0,0.0,0.0
2.151780079929965,0.0,0.0,0.0
2.1592256857428715,0.0,0.0,0.0
2.1666712915557778,0.0,0.0,0.0
2.1741168973686844,0.0,0.0,0.0
2.1815625031815906,0.0,0.0,0.0
2.1890081089944973,0.0,0.0,0.0
2.1964537148074035,0.0,0.0,0.0
2.20389932062031,0.0,0.0,0.0
2.211344926433217,0.0,0.0,0.0
2.218790532246123,0.0,0.0,0.0
2.2262361380590296,0.0,0.0,0.0
2.233681743871936,0.0,0.0,0.0
2.2411273496848425,0.0,0.0,0.0
2.2485729554977487,0.0,0.0,0.0
2.2560185613106554,0.0,0.0,0.0
2.2634641671235616,0.0,0.0,0.0
2.2709097729364682,0.0,0.0,0.0
2.278355378749375,0.0,0.0,0.0
2.285800984562281,0.0,0.0,0.0
2.2932465903751877,0.0,0.0,0.0
2.300692196188094,0.0,0.0,0.0
2.3081378020010006,0.0,0.0,0.0
2.315583407813907,0.0,0.0,0.0
2.3230290136268135,0.0,0.0,0.0
2.3304746194397197,0.0,0.0,0.0
