# composition,1.0UF4
# source,OcadizFlores, 2021
# temperature_K,1357
# raw_file,UF4_OcadizFlores_2021_1357.0_PIM.csv
# savgol,True
# grid_points,2000
r (A),F-F,U-F,U-U
1.1664362564932467,0.0,0.0,0.0
1.171399815031516,0.0,0.0,0.0
1.176363373569785,0.0,0.0,0.0
1.1813269321080542,0.0,0.0,0.0
1.1862904906463232,0.0,0.0,0.0
1.1912540491845924,0.0,0.0,0.0
1.1962176077228615,0.0,0.0,0.0
1.2011811662611307,0.0,0.0,0.0
1.2061447247993997,0.0,0.0,0.0
1.211108283337669,0.0,0.0,0.0
1.216071841875938,0.0,0.0,0.0
1.2210354004142072,0.0,0.0,0.0
1.2259989589524762,0.0,0.0,0.0
1.2309625174907455,0.0,7.659697912507144e-17,0.0
1.2359260760290145,0.0,1.5926067662154138e-16,0.0
1.2408896345672837,0.0,2.41924374118015e-16,0.0
1.2458531931055528,0.0,3.2458807161448496e-16,0.0
1.250816751643822,0.0,4.072517691109586e-16,0.0
1.255780310182091,0.0,4.899154666074285e-16,0.0
1.2607438687203603,0.0,5.725791641039021e-16,0.0
1.2657074272586293,0.0,6.55242861600372e-16,0.0
1.2706709857968985,0.0,7.379065590968457e-16,0.0
1.2756345443351678,0.0,8.205702565933194e-16,0.0
1.2805981028734368,0.0,8.88e-16,0.0
1.285561661411706,0.0,8.88e-16,0.0
1.290525219949975,0.0,8.88e-16,0.0
1.2954887784882443,0.0,8.88e-16,0.0
1.3004523370265133,0.0,8.88e-16,0.0
1.3054158955647825,0.0,8.88e-16,0.0
1.3103794541030516,0.0,8.88e-16,0.0
1.3153430126413208,0.0,8.88e-16,0.0
1.3203065711795898,0.0,8.88e-16,0.0
1.325270129717859,0.0,8.88e-16,0.0
1.330233688256128,0.0,8.88e-16,0.0
1.3351972467943973,0.0,8.88e-16,0.0
1.3401608053326663,0.0,8.88e-16,0.0
1.3451243638709356,0.0,8.88e-16,0.0
1.3500879224092046,0.0,8.88e-16,0.0
1.3550514809474739,0.0,8.88e-16,0.0
1.3600150394857429,0.0,8.88e-16,0.0
1.3649785980240121,0.0,8.88e-16,0.0
1.3699421565622811,0.0,8.88e-16,0.0
