# composition,0.6LiCl-0.4MgCl2
# source,Numbers, 2026
# temperature_K,870
# raw_file,0.60LiCl-0.40MgCl2_Numbers_2026_870.0_AP.csv
# savgol,False
# grid_points,2000
r (A),Cl-Cl,Li-Cl,Li-Li,Li-Mg,Mg-Cl,Mg-Mg
1.2417602551275637,0.0,0.0,0.0,0.0,0.0,0.0
1.2469997498749374,0.0,0.0,0.0,0.0,0.0,0.0
1.252239244622311,0.0,0.0,0.0,0.0,0.0,0.0
1.2574787393696847,0.0,0.0,0.0,0.0,0.0,0.0
1.2627182341170584,0.0,0.0,0.0,0.0,0.0,0.0
1.2679577288644321,0.0,0.0,0.0,0.0,0.0,0.0
1.2731972236118059,0.0,0.0,0.0,0.0,0.0,0.0
1.2784367183591794,0.0,0.0,0.0,0.0,0.0,0.0
1.283676213106553,0.0,0.0,0.0,0.0,0.0,0.0
1.2889157078539268,0.0,0.0,0.0,0.0,0.0,0.0
1.2941552026013006,0.0,0.0,0.0,0.0,0.0,0.0
1.2993946973486743,0.0,0.0,0.0,0.0,0.0,0.0
1.3046341920960478,0.0,0.0,0.0,0.0,0.0,0.0
1.3098736868434215,0.0,0.0,0.0,0.0,0.0,0.0
1.3151131815907953,0.0,0.0,0.0,0.0,0.0,0.0
1.320352676338169,0.0,0.0,0.0,0.0,0.0,0.0
1.3255921710855427,0.0,0.0,0.0,0.0,0.0,0.0
1.3308316658329162,0.0,0.0,0.0,0.0,0.0,0.0
1.33607116058029,0.0,0.0,0.0,0.0,0.0,0.0
1.3413106553276637,0.0,0.0,0.0,0.0,0.0,0.0
1.3465501500750374,0.0,0.0,0.0,0.0,0.0,0.0
1.3517896448224112,0.0,0.0,0.0,0.0,0.0,0.0
1.3570291395697847,0.0,0.0,0.0,0.0,0.0,0.0
1.3622686343171584,0.0,0.0,0.0,0.0,0.0,0.0
1.3675081290645321,0.0,0.0,0.0,0.0,0.0,0.0
1.3727476238119058,0.0,0.0,0.0,0.0,0.0,0.0
1.3779871185592796,0.0,0.0,0.0,0.0,0.0,0.0
1.383226613306653,0.0,0.0,0.0,0.0,0.0,0.0
1.3884661080540268,0.0,0.0,0.0,0.0,0.0,0.0
1.3937056028014005,0.0,0.0,0.0,0.0,0.0,0.0
1.3989450975487743,0.0,0.0,0.0,0.0,0.0,0.0
1.404184592296148,0.0,0.0,0.0,0.0,0.0,0.0
1.4094240870435215,0.0,0.0,0.0,0.0,0.0,0.0
1.4146635817908952,0.0,0.0,0.0,0.0,0.0,0.0
1.419903076538269,0.0,0.0,0.0,0.0,0.0,0.0
1.4251425712856427,0.0,0.0,0.0,0.0,0.0,0.0
1.4303820660330164,0.0,0.0,0.0,0.0,0.0,0.0
1.43562156078039,0.0,0.0,0.0,0.0,0.0,0.0
1.4408610555277637,0.0,0.0,0.0,0.0,0.0,0.0
1.4461005502751374,0.0,0.0,0.0,0.0,0.0,0.0
1.4513400450225111,0.0,0.0,0.0,0.0,0.0,0.0
1.4565795397698849,0.0,0.0,0.0,0.0,0.0,0.0
1.4618190345172586,0.0,0.0,0.0,0.0,0.0,0.0
1.467058529264632,0.0,0.0,0.0,0.0,0.0,0.0
1.4722980240120058,0.0,0.0,0.0,0.0,0.0,0.0
1.4775375187593796,0.0,0.0,0.0,0.0,0.0,0.0
1.4827770135067533,0.0,0.0,0.0,0.0,0.0,0.0
1.488016508254127,0.0,0.0,0.0,0.0,0.0,0.0
1.4932560030015005,0.0,0.0,0.0,0.0,0.0,0.0
1.4984954977488743,0.0,1.829973772069165e-05,0.0,0.0,0.0,0.0
1.503734992496248,0.0,6.099912573564003e-05,0.0,0.0,0.0,0.0
1.5089744872436217,0.0,0.00010369851375058841,0.0,0.0,0.0,0.0
1.5142139819909954,0.0,0.0001463979017655368,0.0,0.0,0.0,0.0
1.519453476738369,0.0,0.00018909728978048338,0.0,0.0,0.0,0.0
1.5246929714857427,0.0,0.00023179667779543175,0.0,0.0,0.0,0.0
1.5299324662331164,0.0,0.00027449606581038014,0.0,0.0,0.0,0.0
1.5351719609804901,0.0,0.00031719545382532854,0.0,0.0,0.0,0.0
1.5404114557278639,0.0,0.0003598948418402769,0.0,0.0,0.0,0.0
1.5456509504752374,0.0,0.0004025942298552235,0.0,0.0,0.0,0.0
1.550890445222611,0.0,0.00045936225466704304,0.0,0.0,0.0,0.0
1.5561299399699848,0.0,0.0005364995941050121,0.0,0.0,0.0,0.0
1.5613694347173586,0.0,0.0006136369335429812,0.0,0.0,0.0,0.0
1.5666089294647323,0.0,0.0006907742729809502,0.0,0.0,0.0,0.0
1.5718484242121058,0.0,0.000767911612418916,0.0,0.0,0.0,0.0
1.5770879189594795,0.0,0.0008450489518568851,0.0,0.0,0.0,0.0
1.5823274137068533,0.0,0.0009221862912948541,0.0,0.0,0.0,0.0
1.587566908454227,0.0,0.0009993236307328233,0.0,0.0,0.0,0.0
1.5928064032016007,0.0,0.0010764609701707922,0.0,0.0,0.0,0.0
1.5980458979489742,0.0,0.001153598309608758,0.0,0.0,0.0,0.0
1.603285392696348,0.0,0.0011978614236141285,0.0,0.0,0.0,0.0
1.6085248874437217,0.0,0.0011903741440352764,0.0,0.0,0.0,0.0
1.6137643821910954,0.0,0.0011828868644564242,0.0,0.0,0.0,0.0
1.6190038769384691,0.0,0.001175399584877572,0.0,0.0,0.0,0.0
1.6242433716858427,0.0,0.0011679123052987202,0.0,0.0,0.0,0.0
1.6294828664332164,0.0,0.0011604250257198682,0.0,0.0,0.0,0.0
1.6347223611805901,0.0,0.001152937746141016,0.0,0.0,0.0,0.0
1.6399618559279638,0.0,0.0011454504665621638,0.0,0.0,0.0,0.0
1.6452013506753376,0.0,0.0011379631869833117,0.0,0.0,0.0,0.0
1.650440845422711,0.0,0.0011304759074044599,0.0,0.0,0.0,0.0
1.6556803401700848,0.0,0.001110277926296084,6.116143848669328e-05,0.0,7.837104084541631e-05,0.0
1.6609198349174585,0.0,0.00106829017113709,0.00022717105723631543,0.0,0.0002910924374258655,0.0
1.6661593296648323,0.0,0.001026302415978096,0.0003931806759859376,0.0,0.0005038138340063146,0.0
1.671398824412206,0.0,0.000984314660819102,0.0005591902947355597,0.0,0.0007165352305867638,0.0
1.6766383191595797,0.0,0.0009423269056601081,0.000725199913485182,0.0,0.000929256627167213,0.0
1.6818778139069532,0.0,0.0009003391505011159,0.000891209532234797,0.0,0.0011419780237476532,0.0
1.687117308654327,0.0,0.0008583513953421219,0.0010572191509844193,0.0,0.0013546994203281024,0.0
