# composition,0.5NaCl-0.5KCl
# source,Manga, 2014
# temperature_K,1100
# raw_file,0.5NaCl-0.5KCl_Manga_2014_1100.0_RIM.csv
# savgol,True
# grid_points,2000
r (A),K-Cl,K-K,K-Na,Na-Cl,Na-Na
0.15880722252326163,0.0,0.0,0.0,0.0,0.0
0.16376994822711355,0.0,0.0,0.0,0.0,0.0
0.16873267393096547,0.0,0.0,0.0,0.0,0.0
0.1736953996348174,0.0,0.0,0.0,0.0,0.0
0.17865812533866932,0.0,0.0,0.0,0.0,0.0
0.18362085104252127,0.0,0.0,0.0,0.0,0.0
0.1885835767463732,0.0,0.0,0.0,0.0,0.0
0.1935463024502251,0.0,0.0,0.0,0.0,0.0
0.19850902815407703,0.0,0.0,0.0,0.0,0.0
0.20347175385792896,0.0,0.0,0.0,0.0,0.0
0.20843447956178088,0.0,0.0,0.0,0.0,0.0
0.2133972052656328,0.0,0.0,0.0,0.0,0.0
0.21835993096948475,0.0,0.0,0.0,0.0,0.0
0.22332265667333667,0.0,0.0,0.0,0.0,0.0
0.2282853823771886,0.0,0.0,0.0,0.0,0.0
0.23324810808104052,0.0,0.0,0.0,0.0,0.0
0.23821083378489244,0.0,0.0,0.0,0.0,0.0
0.24317355948874436,0.0,0.0,0.0,0.0,0.0
0.24813628519259628,0.0,0.0,0.0,0.0,0.0
0.2530990108964482,0.0,0.0,0.0,0.0,0.0
0.25806173660030013,0.0,0.0,0.0,0.0,0.0
0.26302446230415205,0.0,0.0,0.0,0.0,0.0
0.267987188008004,0.0,0.0,0.0,0.0,0.0
0.2729499137118559,0.0,0.0,0.0,0.0,0.0
0.2779126394157079,0.0,0.0,0.0,0.0,0.0
0.2828753651195598,0.0,0.0,0.0,0.0,0.0
0.2878380908234117,0.0,0.0,0.0,0.0,0.0
0.29280081652726364,0.0,0.0,0.0,0.0,0.0
0.29776354223111556,0.0,0.0,0.0,0.0,0.0
0.3027262679349675,0.0,0.0,0.0,0.0,0.0
0.3076889936388194,0.0,0.0,0.0,0.0,0.0
0.31265171934267133,0.0,0.0,0.0,0.0,0.0
0.31761444504652325,0.0,0.0,0.0,0.0,0.0
0.3225771707503752,0.0,0.0,0.0,0.0,0.0
0.3275398964542271,0.0,0.0,0.0,0.0,0.0
