# composition,0.345NaF-0.065MgF2-0.59KF
# source,Solano, 2021
# temperature_K,1073
# raw_file,0.345NaF-0.065MgF2-0.59KF_Solano_2021_1073.0_AP.csv
# savgol,True
# grid_points,2000
r (A),F-F,K-F,Mg-F,Mg-Mg,Na-F
1.2597290379814907,0.0,0.0,0.0,0.0,0.0
1.262693106306153,0.0,0.0,0.0,0.0,0.0
1.2656571746308154,0.0,0.0,0.0,0.0,0.0
1.2686212429554777,0.0,0.0,0.0,0.0,0.0
1.27158531128014,0.0,0.0,0.0,0.0,0.0
1.2745493796048024,0.0,0.0,0.0,0.0,0.0
1.2775134479294648,0.0,0.0,0.0,0.0,0.0
1.280477516254127,0.0,0.0,0.0,0.0,0.0
1.2834415845787894,0.0,0.0,0.0,0.0,0.0
1.2864056529034518,0.0,0.0,0.0,0.0,0.0
1.289369721228114,0.0,0.0,0.0,0.0,0.0
1.2923337895527764,0.0,0.0,0.0,0.0,0.0
1.2952978578774388,0.0,0.0,0.0,0.0,0.0
1.2982619262021011,0.0,0.0,0.0,0.0,0.0
1.3012259945267635,0.0,0.0,0.0,0.0,0.0
1.3041900628514258,0.0,0.0,0.0,0.0,0.0
1.307154131176088,0.0,0.0,0.0,0.0,0.0003094393639389457
1.3101181995007503,0.0,0.0,0.0,0.0,0.0008336090677120502
1.3130822678254126,0.0,0.0,0.0,0.0,0.0013577787714851546
1.316046336150075,0.0,0.0,0.0,0.0,0.0018819484752582592
1.3190104044747373,0.0,0.0,0.0,0.0,0.0024061181790313636
1.3219744727993996,0.0,0.0,0.0,0.0,0.002930287882804468
1.324938541124062,0.0,0.0,0.0,0.0,0.0034544575865775727
1.3279026094487243,0.0,0.0,0.0,0.0,0.003978627290350677
1.3308666777733866,0.0,0.0,0.0,0.0,0.0045027969941237814
1.333830746098049,0.0,0.0,0.0,0.0,0.005026966697896886
1.3367948144227113,0.0,0.0,0.0,0.0,0.005551136401669991
1.3397588827473736,0.0,0.0,0.0,0.0,0.006075306105443095
1.342722951072036,0.0,0.0,0.0,0.0,0.0065994758092162
1.3456870193966983,0.0,0.0,0.0,0.0,0.007123645512989304
1.3486510877213607,0.0,0.0,0.0,0.0,0.007647815216762409
1.351615156046023,0.0,0.0,0.0,0.0,0.008171984920535513
1.3545792243706853,0.0,0.0,0.0,0.0,0.008696154624308618
1.3575432926953477,0.0,0.0,0.0,0.0,0.009220324328081722
1.36050736102001,0.0,0.0,0.0,0.0,0.009231283762142425
1.3634714293446724,0.0,0.0,0.0,0.0,0.009228519531630985
1.3664354976693347,0.0,0.0,0.0,0.0,0.009225755301119545
1.369399565993997,0.0,0.0,0.0,0.0,0.009222991070608103
1.3723636343186594,0.0,0.0,0.0,0.0,0.009220226840096662
1.3753277026433217,0.0,0.0,0.0,0.0,0.009217462609585222
1.378291770967984,0.0,0.0,0.0,0.0,0.00921469837907378
