# composition,0.4903NaCl-0.5097CaCl2
# source,Wei, 2022
# temperature_K,1023
# raw_file,0.4903NaCl-0.5097CaCl2_Wei_2022_1023.0_RIM.csv
# savgol,True
# grid_points,2000
r (A),Ca-Ca,Ca-Cl,Ca-Na,Cl-Cl,Na-Cl,Na-Na
1.5110385022011006,0.0,0.0,0.0,0.0,0.0,0.0
1.5184820416208105,0.0,0.0,0.0,0.0,0.0,0.0
1.5259255810405203,0.0,0.0,0.0,0.0,0.0,0.0
1.5333691204602302,0.0,0.0,0.0,0.0,0.0,0.0
1.54081265987994,0.0,0.0,0.0,0.0,0.0,0.0
1.54825619929965,0.0,0.0,0.0,0.0,0.0,0.0
1.5556997387193598,0.0,0.0,0.0,0.0,0.0,0.0
1.5631432781390695,0.0,0.0,0.0,0.0,0.0,0.0
1.5705868175587794,0.0,0.0,0.0,0.0,0.0,0.0
1.5780303569784893,0.0,0.0,0.0,0.0,0.0,0.0
1.5854738963981991,0.0,0.0,0.0,0.0,0.0,0.0
1.592917435817909,0.0,0.0,0.0,0.0,0.0,0.0
1.6003609752376189,0.0,0.0,0.0,0.0,0.0,0.0
1.6078045146573288,0.0,0.0,0.0,0.0,0.0,0.0
1.6152480540770386,0.0,0.0,0.0,0.0,0.0,0.0
1.6226915934967485,0.0,0.0,0.0,0.0,0.0,0.0
1.6301351329164584,0.0,0.0,0.0,0.0,0.0,0.0
1.6375786723361683,0.0,0.0,0.0,0.0,0.0,0.0
1.645022211755878,0.0,0.0,0.0,0.0,0.0,0.0
1.6524657511755878,0.0,0.0,0.0,0.0,0.0,0.0
1.6599092905952977,0.0,0.0,0.0,0.0,0.0,0.0
1.6673528300150076,0.0,0.0,0.0,0.0,0.0,0.0
1.6747963694347174,0.0,0.0,0.0,0.0,0.0,0.0
1.6822399088544273,0.0,0.0,0.0,0.0,0.0,0.0
1.6896834482741372,0.0,0.0,0.0,0.0,0.0,0.0
1.697126987693847,0.0,0.0,0.0,0.0,0.0,0.0
1.704570527113557,0.0,0.0,0.0,0.0,0.0,0.0
1.7120140665332668,0.0,0.0,0.0,0.0,0.0,0.0
1.7194576059529765,0.0,0.0,0.0,0.0,0.0,0.0
1.7269011453726864,0.0,0.0,0.0,0.0,0.0,0.0
1.7343446847923962,0.0,0.0,0.0,0.0,0.0,0.0
1.741788224212106,0.0,0.0,0.0,0.0,0.0,0.0
1.749231763631816,0.0,0.0,0.0,0.0,0.0,0.0
1.7566753030515259,0.0,0.0,0.0,0.0,0.0,0.0
1.7641188424712357,0.0,0.0,0.0,0.0,0.0,0.0
1.7715623818909456,0.0,0.0,0.0,0.0,0.0,0.0
1.7790059213106555,0.0,0.0,0.0,0.0,0.0,0.0
1.7864494607303654,0.0,0.0,0.0,0.0,0.0,0.0
1.793893000150075,0.0,0.0,0.0,0.0,0.0,0.0
1.801336539569785,0.0,0.0,0.0,0.0,0.0,0.0
1.8087800789894948,0.0,0.0,0.0,0.0,0.0,0.0
1.8162236184092047,0.0,0.0,0.0,0.0,0.0,0.0
