# composition,1.0UCl3
# source,Okamoto, 2005
# temperature_K,1200
# raw_file,UCl3_Okamoto_2005_1200.0_PIM.csv
# savgol,True
# grid_points,2000
r (A),Cl-Cl,U-Cl,U-U
2.0366969315057526,0.0,0.0,0.0
2.044076268214107,0.0,0.0,0.0
2.0514556049224613,0.0,0.0,0.0
2.058834941630815,0.0,0.0,0.0
2.0662142783391695,0.0,0.0,0.0
2.073593615047524,0.0,0.0,0.0
2.0809729517558777,0.0,0.0,0.0
2.088352288464232,0.0,0.0,0.0
2.0957316251725864,0.0,0.0,0.0
2.1031109618809403,0.0,0.0,0.0
2.1104902985892946,0.0,0.0,0.0
2.117869635297649,0.0,0.0,0.0
2.125248972006003,0.0,0.0,0.0
2.132628308714357,0.0,0.0013682024029040474,0.0
2.140007645422711,0.0,0.003062107253977983,0.0
2.1473869821310654,0.0,0.00475601210505202,0.0
2.1547663188394197,0.0,0.006449916956126058,0.0
2.1621456555477736,0.0,0.008143821807199993,0.0
2.169524992256128,0.0,0.00983772665827403,0.0
2.1769043289644823,0.0,0.011531631509348068,0.0
2.184283665672836,0.0,0.013225536360422003,0.0
2.1916630023811905,0.0,0.01491944121149604,0.0
2.199042339089545,0.0,0.01661334606257008,0.0
2.2064216757978987,0.0,0.018307250913644012,0.0
2.213801012506253,0.0,0.02000115576471805,0.0
2.2211803492146074,0.0,0.021695060615792086,0.0
2.2285596859229613,0.0,0.023388965466866023,0.0
2.2359390226313156,0.0,0.02508287031794006,0.0
2.24331835933967,0.0,0.026776775169014097,0.0
2.250697696048024,0.0,0.028470680020088034,0.0
2.258077032756378,0.0,0.03016458487116207,0.0
2.265456369464732,0.0,0.031858489722236004,0.0
2.2728357061730864,0.0,0.033552394573310045,0.0
2.2802150428814407,0.0,0.03524629942438408,0.0
2.2875943795897946,0.0,0.036940204275458015,0.0
2.294973716298149,0.0,0.038634109126532055,0.0
2.3023530530065033,0.0,0.04032801397760609,0.0
2.309732389714857,0.0,0.042021918828680026,0.0
2.3171117264232115,0.0,0.04371582367975406,0.0
2.324491063131566,0.0,0.0454097285308281,0.0
2.3318703998399197,0.0,0.04710363338190204,0.0
2.339249736548274,0.0,0.04879753823297607,0.0
2.3466290732566284,0.0,0.05049144308405011,0.0
2.3540084099649823,0.0,0.05218534793512405,0.0
2.3613877466733366,0.0,0.05387925278619808,0.0
2.368767083381691,0.0,0.05557315763727212,0.0
2.376146420090045,0.0,0.05726706248834605,0.0
2.383525756798399,0.0,0.05896096733942009,0.0
2.390905093506753,0.0,0.06065487219049403,0.0
2.3982844302151074,0.0,0.06234877704156806,0.0
2.4056637669234617,0.0,0.0640426818926421,0.0
2.4130431036318156,0.0,0.06573658674371603,0.0
2.42042244034017,0.0,0.06743049159479007,0.0
2.4278017770485243,0.0,0.07223657291945035,0.0
2.435181113756878,0.0,0.08967727972103444,0.0
2.4425604504652325,0.0,0.10711798652261958,0.0
2.449939787173587,0.0,0.12455869332420474,0.0
2.4573191238819407,0.0,0.14199940012578885,0.0
2.464698460590295,0.0,0.15944010692737398,0.0
2.4720777972986494,0.0,0.17688081372895914,0.0
2.4794571340070033,0.0,0.19432152053054325,0.0
2.4868364707153576,0.0,0.2117622273321284,0.0
2.494215807423712,0.0,0.22920293413371357,0.0
2.501595144132066,0.0,0.24664364093529764,0.0
2.50897448084042,0.0,0.29160309806227236,0.0
2.516353817548774,0.0,0.3599015851349576,0.0
2.5237331542571284,0.0,0.428200072207647,0.0
2.5311124909654827,0.0,0.49649855928033637,0.0
2.5384918276738366,0.0,0.6417779854032949,0.0
2.545871164382191,0.0,0.7889561103557508,0.0
2.5532505010905453,0.0013901499247798955,0.9041927482481367,0.0
2.560629837798899,0.0032330031186156003,1.0189992005768775,0.0
2.5680091745072535,0.0050758563124514156,1.1333483645911973,0.0
2.575388511215608,0.006918709506287231,1.2476975286055167,0.0
2.5827678479239617,0.008761562700122936,1.458752790995227,0.0
2.590147184632316,0.010604415893958751,1.67996981056961,0.0
2.5975265213406704,0.012447269087794567,1.8307411031996932,0.0
2.6049058580490243,0.014290122281630272,1.9815123958297676,0.0
2.6122851947573786,0.016132975475466087,2.132283688459851,0.0
2.619664531465733,0.017975828669301905,2.4369569808483234,0.0
2.627043868174087,0.019818681863137608,2.804514808591721,0.0
2.634423204882441,0.021661535056973425,3.1464719859975285,0.0
2.641802541590795,0.023504388250809128,3.2989966572184084,0.0
2.6491818782991494,0.025347241444644945,3.451521328439297,0.0
2.6565612150075038,0.02719009463848076,3.604045999660186,0.0
2.6639405517158576,0.029032947832316466,3.832541225353535,0.0
2.671319888424212,0.03087580102615228,4.0795532278178115,0.0
