# composition,0.66LiF-0.34BeF2
# source,Fayfar, 2024
# temperature_K,973
# raw_file,0.66LiF-0.34BeF2_Fayfar_2024_973.0_AP.csv
# savgol,True
# grid_points,2000
r (A),Be-Be,Be-F,Be-Li,F-F,Li-F,Li-Li
1.1539664979769886,0.0,0.0,0.0,0.0,0.0,0.0
1.1589404915027515,0.0,0.0,0.0,0.0,0.0,0.0
1.1639144850285144,0.0,0.0,0.0,0.0,0.0,0.0
1.1688884785542772,0.0,0.0,0.0,0.0,0.0,0.0
1.1738624720800401,0.0,0.0,0.0,0.0,0.0,0.0
1.178836465605803,0.0,0.0,0.0,0.0,0.0,0.0
1.1838104591315657,0.0,0.0,0.0,0.0,0.0,0.0
1.1887844526573286,0.0,0.0,0.0,0.0,0.0,0.0
1.1937584461830915,0.0,0.0,0.0,0.0,0.0,0.0
1.1987324397088543,0.0,0.0,0.0,0.0,0.0,0.0
1.2037064332346172,0.0,0.0,0.0,0.0,0.0,0.0
1.2086804267603801,0.0,0.0,0.0,0.0,0.0,0.0
1.213654420286143,0.0,0.0,0.0,0.0,0.0,0.0
1.218628413811906,0.0,0.0,0.0,0.0,0.0,0.0
1.2236024073376688,0.0,0.0,0.0,0.0,0.0,0.0
1.2285764008634317,0.0,0.0,0.0,0.0,0.0,0.0
1.2335503943891946,0.0,0.0,0.0,0.0,0.0,0.0
1.2385243879149574,0.0,0.0,0.0,0.0,0.0,0.0
1.2434983814407203,0.0,0.0,0.0,0.0,0.0,0.0
1.2484723749664832,0.0,0.0,0.0,0.0,0.0,0.0
1.253446368492246,0.0,0.0,0.0,0.0,0.0,0.0
1.258420362018009,0.0,0.0,0.0,0.0,0.0,0.0
1.2633943555437719,0.0,0.0,0.0,0.0,0.0,0.0
1.2683683490695348,0.0,0.0,0.0,0.0,0.0,0.0
1.2733423425952977,0.0,0.0,0.0,0.0,0.0,0.0
1.2783163361210605,0.0,0.008128805733593255,0.0,0.0,0.0,0.0
1.2832903296468234,0.0,0.022313514651066964,0.0,0.0,0.0,0.0
