# composition,0.66LiF-0.34BeF2
# source,Yin, 2025
# temperature_K,973
# raw_file,0.66LiF-0.34BeF2_Yin_2025_973.0_AP.csv
# savgol,True
# grid_points,2000
r (A),Be-Be,Be-F,F-F,Li-F,Li-Li
0.4563499596348174,0.0,0.0,0.0,0.0,0.0
0.45933263910955474,0.0,0.0,0.0,0.0,0.0
0.46231531858429215,0.0,0.0,0.0,0.0,0.0
0.4652979980590295,0.0,0.0,0.0,0.0,0.0
0.46828067753376684,0.0,0.0,0.0,0.0,0.0
0.47126335700850425,0.0,0.0,0.0,0.0,0.0
0.4742460364832416,0.0,0.0,0.0,0.0,0.0
0.477228715957979,0.0,0.0,0.0,0.0,0.0
0.48021139543271635,0.0,0.0,0.0,0.0,0.0
0.4831940749074537,0.0,0.0,0.0,0.0,0.0
0.4861767543821911,0.0,0.0,0.0,0.0,0.0
0.48915943385692845,0.0,0.0,0.0,0.0,0.0
0.4921421133316658,0.0,0.0,0.0,0.0,0.0
0.4951247928064032,0.0,0.0,0.0,0.0,0.0
0.49810747228114055,0.0,0.0,0.0,0.0,0.0
0.5010901517558779,0.0,0.0,0.0,0.0,0.0
0.5040728312306153,0.0,0.0,0.0,0.0,0.0
0.5070555107053527,0.0,0.0,0.0,0.0,0.0
0.51003819018009,0.0,0.0,0.0,0.0,0.0
0.5130208696548274,0.0,0.0,0.0,0.0,0.0
0.5160035491295648,0.0,0.0,0.0,0.0,0.0
0.5189862286043021,0.0,0.0,0.0,0.0,0.0
0.5219689080790395,0.0,0.0,0.0,0.0,0.0
0.5249515875537769,0.0,0.0,0.0,0.0,0.0
0.5279342670285142,0.0,0.0,0.0,0.0,0.0
0.5309169465032516,0.0,0.0,0.0,0.0,0.0
0.533899625977989,0.0,0.0,0.0,0.0,0.0
0.5368823054527263,0.0,0.0,0.0,0.0,0.0
0.5398649849274637,0.0,0.0,0.0,0.0,0.0
0.5428476644022011,0.0,0.0,0.0,0.0,0.0
0.5458303438769384,0.0,0.0,0.0,0.0,0.0
0.5488130233516758,0.0,0.0,0.0,0.0,0.0
0.5517957028264132,0.0,0.0,0.0,0.0,0.0
0.5547783823011505,0.0,0.0,0.0,0.0,0.0
0.5577610617758879,0.0,0.0,0.0,0.0,0.0
0.5607437412506253,0.0,0.0,0.0,0.0,0.0
0.5637264207253626,0.0,0.0,0.0,0.0,0.0
0.5667091002001,0.0,0.0,0.0,0.0,0.0
0.5696917796748374,0.0,0.0,0.0,0.0,0.0
0.5726744591495747,0.0,0.0,0.0,0.0,0.0
0.5756571386243121,0.0,0.0,0.0,0.0,0.0
0.5786398180990495,0.0,0.0,0.0,0.0,0.0
0.5816224975737869,0.0,0.0,0.0,0.0,0.0
0.5846051770485242,0.0,0.0,0.0,0.0,0.0
0.5875878565232616,0.0,0.0,0.0,0.0,0.0
0.590570535997999,0.0,0.0,0.0,0.0,0.0
0.5935532154727363,0.0,0.0,0.0,0.0,0.0
0.5965358949474737,0.0,0.0,0.0,0.0,0.0
0.5995185744222111,0.0,0.0,0.0,0.0,0.0
0.6025012538969484,0.0,0.0,0.0,0.0,0.0
0.6054839333716858,0.0,0.0,0.0,0.0,0.0
0.6084666128464232,0.0,0.0,0.0,0.0,0.0
0.6114492923211605,0.0,0.0,0.0,0.0,0.0
0.6144319717958979,0.0,0.0,0.0,0.0,0.0
0.6174146512706353,0.0,0.0,0.0,0.0,0.0
0.6203973307453726,0.0,0.0,0.0,0.0,0.0
0.62338001022011,0.0,0.0,0.0,0.0,0.0
0.6263626896948474,0.0,0.0,0.0,0.0,0.0
0.6293453691695847,0.0,0.0,0.0,0.0,0.0
0.6323280486443221,0.0,0.0,0.0,0.0,0.0
0.6353107281190595,0.0,0.0,0.0,0.0,0.0
0.6382934075937968,0.0,0.0,0.0,0.0,0.0
