# composition,0.5KCl-0.5UCl3
# source,Andersson, 2024
# temperature_K,1250
# raw_file,0.5KCl-0.5UCl3_Andersson_2024_1250.0_AP.csv
# savgol,True
# grid_points,2000
r (A),Cl-Cl,K-Cl,K-K,K-U,U-Cl,U-U
1.0991664269364683,0.0,0.0,0.0,0.0,0.0,0.0
1.1030780512316158,0.0,0.0,0.0,0.0,0.0,0.0
1.1069896755267634,0.0,0.0,0.0,0.0,0.0,0.0
1.110901299821911,0.0,0.0,0.0,0.0,0.0,0.0
1.1148129241170586,0.0,0.0,0.0,0.0,0.0,0.0
1.1187245484122061,0.0,0.0,0.0,0.0,0.0,0.0
1.1226361727073537,0.0,0.0,0.0,0.0,0.0,0.0
1.1265477970025013,0.0,0.0,0.0,0.0,0.0,0.0
1.1304594212976489,0.0,0.0,0.0,0.0,0.0,0.0
1.1343710455927964,0.0,0.0,0.0,0.0,0.0,0.0
1.138282669887944,0.0,0.0,0.0,0.0,0.0,0.0
1.1421942941830916,0.0,0.0,0.0,0.0,0.0,0.0
1.1461059184782392,0.0,0.0,0.0,0.0,0.0,0.0
1.1500175427733867,0.0,0.0,0.0,0.0,0.0,0.0
1.1539291670685343,0.0,0.0,0.0,0.0,0.0,0.0
1.157840791363682,0.0,0.0,0.0,0.0,0.0,0.0
1.1617524156588295,0.0,0.0,0.0,0.0,0.0,0.0
1.165664039953977,0.0,0.0,0.0,0.0,0.0,0.0
1.1695756642491246,0.0,0.0,0.0,0.0,0.0,0.0
1.1734872885442722,0.0,0.0,0.0,0.0,0.0,0.0
1.1773989128394198,0.0,0.0,0.0,0.0,0.0,0.0
1.1813105371345674,0.0,0.0,0.0,0.0,0.0,0.0
1.185222161429715,0.0,0.0,0.0,0.0,0.0,0.0
1.1891337857248625,0.0,0.0,0.0,0.0,0.0,0.0
1.19304541002001,0.0,0.0,0.0,0.0,0.0,0.0
1.1969570343151577,0.0,0.0,0.0,0.0,0.0,0.0
1.2008686586103052,0.0,0.0,0.0,0.0,0.0,0.0
1.2047802829054528,0.0,0.0,0.0,0.0,0.0,0.0
