# composition,1.0LiCl
# source,Walz, 2019
# temperature_K,878
# raw_file,LiCl_Walz_2019_878.0_PIM.csv
# savgol,True
# grid_points,2000
r (A),Cl-Cl,Li-Cl,Li-Li
2.1199592517058528,0.0,1.151118428675161,0.0
2.126932801875938,0.0,1.2500374943288017,0.0
2.133906352046023,0.0,1.3572662653537786,0.0
2.140879902216108,0.0,1.4644950363787557,0.0
2.147853452386193,0.0,1.6135108272835061,0.0
2.1548270025562783,0.0,1.7542730924947039,0.0
2.1618005527263633,0.0,1.8493299978460003,0.0
2.1687741028964482,0.0,1.9443869031972967,0.0
2.175747653066533,0.0,2.040802564104108,0.0
2.1827212032366186,0.0,2.1393520627780744,0.0
2.1896947534067035,0.0,2.2379015614520346,0.0
2.1966683035767884,0.0,2.3656363390448596,0.0
2.2036418537468734,0.0,2.5291994663118285,0.0
2.2106154039169583,0.0,2.629179180157904,0.0
2.2175889540870437,0.0,2.7251421827922115,0.0
2.2245625042571286,0.0,2.822082249866421,0.0
2.2315360544272136,0.0,2.920719228825033,0.0
2.2385096045972985,0.0,3.0193562077836456,0.0
2.245483154767384,0.0,3.1270848574677883,0.0
2.252456704937469,0.0,3.241167862386265,0.0
2.259430255107554,0.0,3.3333402915599164,0.0
2.2664038052776387,0.0,3.4103030077801164,0.0
2.2733773554477237,0.0,3.4823197394875165,0.0
2.280350905617809,0.0,3.547601596481372,0.0
2.287324455787894,0.0,3.6128834534752237,0.0
2.294298005957979,0.0,3.6756028382011303,0.0
2.301271556128064,0.0,3.738251979081068,0.0
2.3082451062981493,0.0,3.790642514536785,0.0
2.315218656468234,0.0,3.8336846528746453,0.0
2.322192206638319,0.0,3.876726791212506,0.0
2.329165756808404,0.0,3.9197689295503664,0.0
2.3361393069784895,0.0,3.934138658903016,0.0
2.3431128571485744,0.0,3.943370992021521,0.0
2.3500864073186594,0.0,3.9526033251400263,0.0
2.3570599574887443,0.0,3.961835658258532,0.0
2.3640335076588292,0.0,3.971067991377037,0.0
2.3710070578289146,0.0,3.980300324495543,0.0
2.3779806079989996,0.0,3.9785641306936608,0.0
2.3849541581690845,0.0,3.972621021147361,0.0034793743098800608
2.3919277083391695,0.0,3.966677911601061,0.01636339123916003
2.398901258509255,0.0,3.9607348020547612,0.02924740816844082
2.40587480867934,0.0,3.9547916925084614,0.04213142509772079
2.4128483588494247,0.0,3.948848582962162,0.05501544202700076
2.4198219090195097,0.0,3.942905473415862,0.06789945895628073
2.426795459189595,0.0,3.9369623638695623,0.08078347588556152
2.43376900935968,0.0,3.9310192543232625,0.09366749281484149
2.440742559529765,0.0,3.9250761447769626,0.09753806226230638
2.44771610969985,0.0,3.9191330352306633,0.09970634845755225
2.454689659869935,0.0,3.876703279611556,0.1018746346527981
2.46166321004002,0.0,3.826392690261455,0.1040429208480441
2.468636760210105,0.0,3.7695560242060107,0.10621120704328997
2.47561031038019,0.0,3.692844385441854,0.10837949323853582
2.482583860550275,0.0,3.646295389423389,0.11054777943378169
2.4895574107203604,0.0,3.610406902979998,0.1127160656290277
2.4965309608904453,0.0,3.574518416536609,0.11488435182427355
2.5035045110605303,0.0,3.524880806553513,0.11705263801951941
2.5104780612306152,0.0,3.4493666388538866,0.11922092421476527
2.5174516114007,0.0,3.373852471154261,0.12138921041001113
2.5244251615707856,0.0,3.3318986495681364,0.12355749660525714
2.5313987117408705,0.0,3.2938039956452316,0.125725782800503
2.5383722619109554,0.0,3.255709341722327,0.12789406899574884
2.5453458120810404,0.0,3.217614687799422,0.13006235519099474
2.5523193622511258,0.0,3.1795200338765146,0.13223064138624072
2.5592929124212107,0.0,3.1001461948133624,0.13439892758148658
2.5662664625912956,0.0,3.020633710813174,0.13656721377673245
2.5732400127613806,0.0,2.9592012088261868,0.13873549997197832
2.580213562931466,0.0,2.912769226961046,0.14090378616722432
2.587187113101551,0.0,2.8663372450959086,0.14307207236247016
2.594160663271636,0.0,2.819905263230771,0.14524035855771603
2.601134213441721,0.0,2.766081566198301,0.1474086447529619
2.6081077636118057,0.0,2.7111668521356274,0.14957693094820776
2.615081313781891,0.0,2.6562521380729507,0.15276483536940105
2.622054863951976,0.0,2.6026952675346386,0.15735342967399402
2.629028414122061,0.0,2.5547004684894024,0.16194202397858695
2.636001964292146,0.0,2.506705669444166,0.1665306182831799
2.6429755144622313,0.0,2.458710870398927,0.17111921258777313
2.6499490646323163,0.0,2.407187764807611,0.17570780689236606
2.656922614802401,0.0,2.3524215800982597,0.180296401196959
2.663896164972486,0.0,2.2985761206228097,0.18488499550155196
2.6708697151425715,0.0,2.256786338436701,0.18947358980614518
2.6778432653126565,0.007118250123998488,2.214996556250594,0.1940621841107381
2.6848168154827414,0.015360920273524726,2.1703301163735436,0.19865077841533108
2.6917903656528264,0.023603590423050963,2.123906888009746,0.203239372719924
2.6987639158229113,0.0318462605725772,2.0795865223218755,0.20782796702451695
2.7057374659929967,0.04008893072210397,2.0454795573193754,0.2124165613291102
2.7127110161630816,0.04833160087163021,2.011372592316878,0.21700515563370312
2.7196845663331666,0.05657427102115644,1.9772656273143798,0.22509781201280582
2.7266581165032515,0.06198546055464493,1.9324916574851219,0.23454889592623193
2.733631666673337,0.06451463349726964,1.8768602992240198,0.24399997983965868
2.740605216843422,0.06704380643989419,1.822507702792465,0.2534510637530848
2.747578767013507,0.06957297938251873,1.7949995857156538,0.26290214766651093
2.7545523171835917,0.07210215232514328,1.7674914686388425,0.27235323157993707
2.7615258673536767,0.07463132526776783,1.7399833515620315,0.2818043154933632
2.768499417523762,0.07716049821039253,1.7124752344852185,0.2912553994067899
2.775472967693847,0.07968967115301709,1.681379313535418,0.3012104687287392
2.782446517863932,0.08221884409564163,1.6291711512727327,0.31413121341633987
2.789420068034017,0.08474801703826618,1.5769629890100474,0.3270519581039405
2.7963936182041023,0.08727718998089087,1.5438904992284905,0.339972702791542
2.803367168374187,0.08980636292351543,1.5192098351509176,0.35289344747914264
2.810340718544272,0.09233553586613998,1.4945291710733446,0.3658141921667433
2.817314268714357,0.09486470880876452,1.4698485069957716,0.37873493685434395
2.8242878188844425,0.09739388175138923,1.445167842918197,0.39165568154194547
2.8312613690545274,0.09992305469401377,1.4199803053445716,0.41074867355890465
2.8382349192246124,0.10245222763663832,1.3946620103330742,0.4314339114774214
2.8452084693946973,0.10498140057926286,1.3693437153215768,0.45211914939593806
2.8521820195647822,0.10751057352188742,1.3440254203100794,0.47280438731445473
2.8591555697348676,0.11003974646451212,1.3187071252985805,0.4934896252329728
2.8661291199049526,0.1163871853465553,1.2942115791743531,0.5101781758445932
2.8731026700750375,0.12318392456193576,1.2698128469848198,0.5263964310478466
2.8800762202451224,0.1299806637773162,1.2454141147952866,0.5426146862510999
2.887049770415208,0.1367774029926971,1.2210153826057517,0.5588329414543542
2.8940233205852928,0.14357414220807757,1.1966166504162183,0.5750511966576076
2.9009968707553777,0.15037088142345803,1.1754195024708318,0.591269451860861
2.9079704209254627,0.1571676206388385,1.1542400526793761,0.6074877070641143
2.914943971095548,0.16396435985421937,1.133060602887919,0.6248490280509601
2.921917521265633,0.17076109906959983,1.1118811530964634,0.6431669829377161
2.928891071435718,0.1780372033379834,1.0907034574135057,0.661484937824472
2.935864621605803,0.18991802242901498,1.0695426114557216,0.6798028927112281
2.942838171775888,0.20179884152004657,1.0483817654979375,0.6981208475979841
2.949811721945973,0.2136796606110789,1.0272209195401518,0.7164388024847412
2.956785272116058,0.22556047970211052,1.0060600735823677,0.7347567573714971
2.963758822286143,0.23744129879314207,0.9848992276245837,0.7527199091563025
2.970732372456228,0.2493221178841737,0.9660714895545487,0.7692096652533454
2.9777059226263134,0.261202936975206,0.9541582268054419,0.7856994213503896
2.9846794727963983,0.28015390056721856,0.9422449640563358,0.8021891774474326
2.9916530229664833,0.3015380499523519,0.9303317013072299,0.8186789335444756
2.998626573136568,0.3229221993374852,0.9184184385581238,0.8351686896415187
3.005600123306653,0.34430634872261856,0.9065051758090178,0.8516584457385616
3.0125736734767385,0.3656904981077533,0.8945919130599109,0.8681482018356058
3.0195472236468235,0.3893365725396738,0.882678650310805,0.8846379579326489
3.0265207738169084,0.4134015221211278,0.8707653875616989,0.9051073798616075
3.0334943239869934,0.43746647170258174,0.8588521248125929,0.9280294786694303
3.0404678741570788,0.46153142128403724,0.8469388620634861,0.9509515774772547
3.0474414243271637,0.48559637086549123,0.83502559931438,0.9738736762850775
3.0544149744972486,0.5112725752713471,0.8231123365652739,0.9967957750929003
3.0613885246673336,0.5370452040688025,0.8132747085730249,1.019717873900723
3.068362074837419,0.5628178328662595,0.8042503659071376,1.0445722306437688
3.075335625007504,0.588590461663715,0.7952260232412511,1.0714103217018154
3.082309175177589,0.6143865842737852,0.7862016805753645,1.0982484127598617
3.089282725347674,0.640701546672626,0.777177337909478,1.1250865038179083
3.0962562755177587,0.6670165090714669,0.7681529952435914,1.1519245948759549
3.103229825687844,0.6933314714703095,0.7591286525777042,1.1718727025192688
3.110203375857929,0.7196464338691504,0.7501043099118176,1.1870960953846552
3.117176926028014,0.7457927780540864,0.7410799672459311,1.2023194882500416
3.124150476198099,0.770929456250781,0.7320556245800445,1.2175428811154283
3.1311240263681843,0.7960661344474773,0.7230312819141573,1.2327662739808158
3.1380975765382693,0.8212028126441719,0.7140069392482707,1.2479896668462023
3.145071126708354,0.8463394908408666,0.7049825965823842,1.263213059711589
3.152044676878439,0.8706699416441079,0.6959582539164976,1.2778385302344075
3.1590182270485245,0.8924873076530122,0.6869339112506104,1.2906002219281971
3.1659917772186095,0.914304673661915,0.6779095685847238,1.3033619136219858
3.1729653273886944,0.9361220396708179,0.6703669503490853,1.3161236053157743
3.1799388775587794,0.9579394056797208,0.6632116256524438,1.328885297009563
3.1869124277288643,0.9797567716886236,0.6560563009558025,1.3416469887033518
3.1938859778989497,1.0321912882353494,0.6489009762591605,1.3544086803971414
3.2008595280690346,1.0959414533468466,0.6417456515625192,1.3671703720909298
3.2078330782391196,1.12292075907997,0.6345903268658777,1.377635057479953
3.2148066284092045,1.1454741908355754,0.6274350021692363,1.387823266860465
3.22178017857929,1.1680276225911823,0.6202796774725944,1.3980114762409777
3.228753728749375,1.1905810543467878,0.613124352775953,1.4081996856214898
3.2357272789194598,1.2131344861023934,0.6059690280793115,1.4183878950020017
3.2427008290895447,1.2548333520780917,0.5988137033826701,1.4285761043825138
3.2496743792596297,1.2966797634827938,0.5916583786860288,1.4387643137630257
3.256647929429715,1.337918336958094,0.5845030539893868,1.449279108358743
3.2636214795998,1.3786437824976938,0.5783045956586926,1.4600696014411791
3.270595029769885,1.4176110302694365,0.5741659588843163,1.4708600945236152
3.27756857993997,1.4392541292322958,0.57002732210994,1.4816505876060513
3.2845421301100552,1.4608972281951564,0.5658886853355634,1.492441080688488
3.29151568028014,1.4825403271580158,0.561750048561187,1.4969418531389702
3.298489230450225,1.504183426120875,0.5576114117868107,1.4979357288869886
