Step,Volume_A3,P_yz_eV_A3,P_xz_eV_A3,P_xy_eV_A3,J_Mg_x,J_Mg_y,J_Mg_z,J_Cl_x,J_Cl_y,J_Cl_z,J_K_x,J_K_y,J_K_z
50,8916.895277556101,0.00017861894,-0.0010092979,-0.000111845955,-2.6092957351709094,-13.478572602223782,-3.2401953680627225,16.87274058116929,17.96459115375201,4.492350537510709,-10.242472769261106,9.730142257799018,-16.7183579827268
55,8916.895277556101,0.0002938398,-0.0011965531,-0.00013439465,-4.884033158471303,-16.369980770236058,-2.9798982972814883,18.15234594629475,19.999331264272953,4.0843375334323255,-9.247341008472752,10.586810408986496,-16.570641599826402
60,8916.895277556101,0.00038321374,-0.0011616717,-0.00010521695,-7.014878299966532,-18.398065313507747,-2.8059426072676614,19.164941202343115,21.334067881103877,3.540874171730856,-8.129091171149076,11.280158481353867,-16.20113353885047
65,8916.895277556101,0.00041210157,-0.00093273766,-1.6275026e-05,-8.73794718428666,-19.12351965632485,-2.7357352388452436,19.702735622518603,21.58395982364182,2.8944799603175735,-6.943816583052131,11.755721165489964,-15.62494656902966
70,8916.895277556101,0.00036570596,-0.0005878837,0.000111215646,-9.981682936864438,-18.246155920021067,-2.636271394755475,19.748502494304923,20.489031465076742,2.0343680184712762,-5.745847555810206,11.973285957869523,-14.864298311581322
75,8916.895277556101,0.00027077313,-0.00021019384,0.00024130849,-10.742903764752326,-15.753613751023348,-2.271117335919276,19.34832982453564,18.056393411141656,0.7537440776730264,-4.584454215133183,11.913381922412233,-13.948828554543827
80,8916.895277556101,0.00018685099,0.00014030289,0.00034423018,-10.983750092287432,-11.925087295780092,-1.4409867514395018,18.504575736524288,14.560334842320309,-1.1099473770384185,-3.499853401520914,11.580914177390374,-12.915267868392064
85,8916.895277556101,0.00017303614,0.0004330799,0.00040872276,-10.618813729593729,-7.254895139283749,-0.18098807127616778,17.15792405941655,10.46573380608534,-3.479628321819945,-2.518137830824008,11.005322895941065,-11.805585409269796
90,8916.895277556101,0.00024711958,0.0006646924,0.00043804848,-9.599848601148317,-2.356227297970749,1.174669023522347,15.267589235425566,6.334860038469932,-5.977590499022179,-1.6467681026457546,10.23752876775474,-10.6632802160628
95,8916.895277556101,0.00036662447,0.0008470432,0.00043379012,-7.979419127444765,2.1226628400526675,2.2160313680425134,12.87384916775964,2.749631897435809,-8.153950984060634,-0.8734573881644163,9.343866936452875,-9.528282048445206
100,8916.895277556101,0.0004533843,0.0009822305,0.00038419274,-5.875417543727727,5.564451542040784,2.790694586677184,10.066683742154147,0.2544502291595654,-9.825119267998366,-0.17029330393564157,8.397259576374966,-8.431777089924097
105,8916.895277556101,0.00044239068,0.0010418557,0.00028059914,-3.4336563220383516,7.524127890368559,3.0999548027531083,6.956548155105434,-0.774565124226493,-11.17380351463199,0.4980809602988021,7.466598842138085,-7.392353082885919
110,8916.895277556101,0.00032383273,0.0009811919,0.00015072992,-0.8062874333734189,7.92940487811387,3.471593522764214,3.6614814222431216,-0.31993937888618973,-12.522996434541906,1.1657789988806773,6.606696288401183,-6.414798894281219
115,8916.895277556101,0.00016280547,0.0007869077,5.6180557e-05,1.9352195870853937,7.054416377022731,4.080939670565476,0.2262089921151622,1.3094862784957524,-14.054399665945516,1.8595443046927982,5.852258925895189,-5.492741759323351
120,8916.895277556101,6.797645e-05,0.0005027978,4.380152e-05,4.840027411610438,5.211101454316974,4.866190685256784,-3.4151125773913815,3.78746628904919,-15.717662413948537,2.5960581959446873,5.217594166964446,-4.614730054311465
125,8916.895277556101,0.00010826449,0.00019520956,0.00011098372,7.9581594155681685,2.5892417328377038,5.6019736693625415,-7.318356339223911,6.926799491683781,-17.29762597253849,3.3811700026748146,4.700120439733624,-3.770549482384765
130,8916.895277556101,0.00025771884,-9.136243e-05,0.00020883382,11.175033363099148,-0.5958245598104117,6.031424667794548,-11.363141296273982,10.527163304529678,-18.54303948947038,4.20908131412795,4.284822731232239,-2.9545871198013876
