Freq_rad_ps,VDOS_K,VDOS_Mg
2.171876652388886697e+01,3.378532178220290672e-02,1.201187793920203452e-02
2.180851349299584641e+01,3.471256522497146585e-02,1.175012579859037454e-02
2.189826046210282584e+01,3.458728351126363204e-02,1.198615781956154439e-02
2.198800743120980528e+01,2.896054445510212044e-02,1.206146510751207601e-02
2.207775440031678471e+01,2.305343117602449629e-02,1.363767785990329870e-02
2.216750136942376415e+01,2.617142748220258747e-02,1.360824944154736572e-02
2.225724833853074358e+01,2.531839278062831752e-02,1.462650165315041925e-02
2.234699530763772302e+01,2.392737942806505771e-02,1.350595931605251716e-02
2.243674227674469890e+01,2.386550816692950203e-02,1.420178131399195930e-02
2.252648924585167833e+01,2.597024983778939769e-02,1.474020284174604872e-02
2.261623621495865422e+01,2.732225723980869631e-02,1.293094876101483735e-02
2.270598318406563365e+01,2.493257216167963503e-02,1.237383825601926120e-02
2.279573015317261309e+01,2.721771194501101596e-02,1.245958379151838706e-02
2.288547712227959252e+01,3.154654609960520079e-02,1.300480434528139030e-02
2.297522409138657196e+01,2.681459002423443663e-02,1.322113759581090668e-02
2.306497106049355139e+01,2.274523478423896156e-02,1.483273001565936847e-02
2.315471802960053083e+01,2.421474650357066660e-02,1.552634841654217633e-02
2.324446499870751026e+01,2.270910303124194438e-02,1.523256191357194589e-02
2.333421196781448970e+01,2.192231777376153420e-02,1.382753986561397093e-02
2.342395893692146558e+01,2.121913392968254389e-02,1.360849730600985526e-02
2.351370590602844501e+01,2.324885380439694130e-02,1.491757615327718098e-02
2.360345287513542445e+01,2.347909828464727830e-02,1.533117996660867711e-02
2.369319984424240033e+01,2.396328504199111281e-02,1.414381285477899451e-02
2.378294681334937977e+01,2.192882271313462486e-02,1.414792772677109754e-02
2.387269378245635920e+01,2.170350867582962820e-02,1.338390301233736632e-02
2.396244075156333864e+01,2.206042567167493945e-02,1.484964525096211553e-02
2.405218772067031807e+01,2.073658634145776614e-02,1.584063288246194759e-02
2.414193468977729751e+01,2.060495099961445059e-02,1.420365345140289608e-02
2.423168165888427694e+01,2.414403719862373912e-02,1.355653308930062501e-02
2.432142862799125282e+01,2.145500294139764466e-02,1.359687199177880834e-02
2.441117559709823226e+01,1.991050771798296218e-02,1.529470976979438804e-02
2.450092256620521169e+01,1.895765323467505856e-02,1.511502859273729758e-02
2.459066953531219113e+01,2.212643955229170317e-02,1.417798238540672953e-02
2.468041650441917056e+01,2.062050472595279571e-02,1.391789570873845465e-02
2.477016347352615000e+01,2.099507095531015846e-02,1.248300677418465177e-02
2.485991044263312588e+01,1.856792116225891923e-02,1.022105724884933391e-02
2.494965741174010532e+01,1.761408297615900051e-02,1.350116541893812104e-02
2.503940438084708475e+01,1.795875196330662046e-02,1.510794041769483037e-02
2.512915134995406063e+01,1.794116704025534165e-02,1.254197105247885184e-02
2.521889831906104007e+01,1.978831951988967164e-02,1.143748312927356237e-02
2.530864528816801950e+01,1.728855986083320528e-02,1.111089625251924368e-02
2.539839225727499894e+01,1.800713318222545850e-02,1.137548347742557350e-02
2.548813922638197838e+01,1.801331672347493765e-02,1.238994092502775958e-02
2.557788619548895781e+01,1.740701146345118022e-02,1.433136421952922734e-02
2.566763316459593725e+01,1.610313263267459938e-02,1.445500752125138642e-02
2.575738013370291668e+01,1.855923060705700831e-02,1.289877425935971947e-02
2.584712710280989612e+01,1.660385898951826159e-02,1.254776035210104085e-02
2.593687407191687555e+01,1.504811527516352124e-02,1.529056035188893978e-02
2.602662104102385143e+01,1.784476663108242045e-02,1.577698412239402978e-02
2.611636801013083087e+01,1.947265634129160400e-02,1.419541717688944764e-02
2.620611497923781030e+01,1.719913931567611243e-02,1.332410855119954725e-02
2.629586194834478974e+01,1.463885622067082927e-02,1.327934636575277792e-02
2.638560891745176207e+01,1.619415730366225228e-02,1.161417376717302670e-02
