formula,molecularWeight,comp,melt,melt_unc,melt_ref,boil,boil_unc,boil_ref,rho_a,rho_b,rho_range,rho_unc,rho_ref,mu_a,mu_b,mu_a2,mu_b2,mu_c,mu_range,mu_unc,mu_ref,k_a,k_b,k_range,k_unc,k_ref,cp_a,cp_b,cp_c,cp_d,cp_unc,cp_ref,sigma_a,sigma_b,sigma_range,sigma_unc,sigma_ref
AlCl3-NaCl,96.4159,0.507-0.493,428,5*,"Robelin, C.; Chartrand, P.; Pelton, A. D. Thermodynamic evaluation and optimization of the (NaCl + KCl + AlCl3) system. J. Chem. Thermodyn. 2004, 36 (8) 683-699.",----,----,----,----,----,----,----,----,6.89E-02,1.42E+04,----,----,----,480-540,15*,"Kryagova, A. J. Zh. Obshch. Khim. 1939, 9, 1759",----,----,----,----,----,----,----,----,----,----,----,----,----,--------,----,----
AlCl3-NaCl,97.2398,0.518-0.482,424,5*,"Robelin, C.; Chartrand, P.; Pelton, A. D. Thermodynamic evaluation and optimization of the (NaCl + KCl + AlCl3) system. J. Chem. Thermodyn. 2004, 36 (8) 683-699.",----,----,----,----,----,----,----,----,5.69E-02,1.49E+04,----,----,----,480-540,15*,"Kryagova, A. J. Zh. Obshch. Khim. 1939, 9, 1759",----,----,----,----,----,----,----,----,----,----,----,----,----,--------,----,----
AlCl3-NaCl,97.3896,0.52-0.48,424,5*,"Robelin, C.; Chartrand, P.; Pelton, A. D. Thermodynamic evaluation and optimization of the (NaCl + KCl + AlCl3) system. J. Chem. Thermodyn. 2004, 36 (8) 683-699.",----,----,----,2.07E+00,8.38E-04,400-560,1,"Boston, C.R. Densities of Molten AlCl3 and NaCl-AlCl3 Mixtures. 1966 11 (2), 262-263.",----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,--------,----,----
AlCl3-NaCl,100.6851,0.564-0.436,407,5*,"Robelin, C.; Chartrand, P.; Pelton, A. D. Thermodynamic evaluation and optimization of the (NaCl + KCl + AlCl3) system. J. Chem. Thermodyn. 2004, 36 (8) 683-699.",----,----,----,----,----,----,----,----,5.62E-02,1.51E+04,----,----,----,480-540,15*,"Kryagova, A. J. Zh. Obshch. Khim. 1939, 9, 1759",----,----,----,----,----,----,----,----,----,----,----,----,----,--------,----,----
AlCl3-NaCl,102.932,0.594-0.406,393,5*,"Robelin, C.; Chartrand, P.; Pelton, A. D. Thermodynamic evaluation and optimization of the (NaCl + KCl + AlCl3) system. J. Chem. Thermodyn. 2004, 36 (8) 683-699.",----,----,----,----,----,----,----,----,8.64E-02,1.39E+04,----,----,----,480-570,15*,"Kryagova, A. J. Zh. Obshch. Khim. 1939, 9, 1759",----,----,----,----,----,----,----,----,----,----,----,----,----,--------,----,----
AlCl3-NaCl,104.0555,0.609-0.391,384,5*,"Robelin, C.; Chartrand, P.; Pelton, A. D. Thermodynamic evaluation and optimization of the (NaCl + KCl + AlCl3) system. J. Chem. Thermodyn. 2004, 36 (8) 683-699.",----,----,----,----,----,----,----,----,1.18E-01,1.29E+04,----,----,----,480-570,15*,"Kryagova, A. J. Zh. Obshch. Khim. 1939, 9, 1759",----,----,----,----,----,----,----,----,----,----,----,----,----,--------,----,----
AlCl3-NaCl,104.7296,0.618-0.382,388,5*,"Robelin, C.; Chartrand, P.; Pelton, A. D. Thermodynamic evaluation and optimization of the (NaCl + KCl + AlCl3) system. J. Chem. Thermodyn. 2004, 36 (8) 683-699.",----,----,----,2.03E+00,8.66E-04,440-540,1,"Boston, C.R. Densities of Molten AlCl3 and NaCl-AlCl3 Mixtures. 1966 11 (2), 262-263.",----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,--------,----,----
AlCl3-NaCl,107.2761,0.652-0.348,413,5*,"Robelin, C.; Chartrand, P.; Pelton, A. D. Thermodynamic evaluation and optimization of the (NaCl + KCl + AlCl3) system. J. Chem. Thermodyn. 2004, 36 (8) 683-699.",----,----,----,----,----,----,----,----,9.68E-02,1.38E+04,----,----,----,480-570,15*,"Kryagova, A. J. Zh. Obshch. Khim. 1939, 9, 1759",----,----,----,----,----,----,----,----,----,----,----,----,----,--------,----,----
AlCl3-NaCl,107.5008,0.655-0.345,415,5*,"Robelin, C.; Chartrand, P.; Pelton, A. D. Thermodynamic evaluation and optimization of the (NaCl + KCl + AlCl3) system. J. Chem. Thermodyn. 2004, 36 (8) 683-699.",----,----,----,----,----,----,----,----,9.78E-02,1.40E+04,----,----,----,500-570,15*,"Kryagova, A. J. Zh. Obshch. Khim. 1939, 9, 1759",----,----,----,----,----,----,----,----,----,----,----,----,----,--------,----,----
AlCl3-NaCl,113.1181,0.73-0.27,449,5*,"Robelin, C.; Chartrand, P.; Pelton, A. D. Thermodynamic evaluation and optimization of the (NaCl + KCl + AlCl3) system. J. Chem. Thermodyn. 2004, 36 (8) 683-699.",----,----,----,2.01E+00,9.20E-04,460-610,1,"Boston, C.R. Densities of Molten AlCl3 and NaCl-AlCl3 Mixtures. 1966 11 (2), 262-263.",----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,--------,----,----
BeCl2,79.9182,Pure Salt,688,2,"McDonald, R. A.; Oetting, F. L. The Thermodynamic Properties and Allotropy of Beryllium Chloride between 13 and 715 K. J. Phys. Chem. 1965, 69 (11), 3839-3845. https://doi.org/10.1021/j100895a033.",760,----,"Brewer, L.; Somayajulu, G. R.; Brackett, E. Thermodynamic Properties of Gaseous Metal Dihalides. Chem. Rev. 1963, 63 (2), 111-121. https://doi.org/10.1021/cr60222a002.",2.28E+00,1.10E-03,706-746,5,"Klemm, W. Dichtemessungen an Geschmolzenen Chloriden. Zeitschrift fur Anorg. und Allg. Chemie 1926, 152 (1), 235-251. https://doi.org/10.1002/zaac.19261520127.",----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,--------,----,----
BeF2,47.009,Pure Salt,821.2,3,"Thoma, R. E.; Insley, H.; Friedman, H. A.; Weaver, C. F. Phase Equilibria in the Systems BeF2-ThF4 and LiF-BeF2-ThF4. J. Phys. Chem. 1960, 64(7), 865-870. https://doi.org/10.1021/j100836a010.",1442,----,"Cantor, S. Vapor Pressures of BeF2 and NiF2. J. Chem. Eng. Data 1965, 10 (3), 237-238. https://doi.org/10.1021/je60026a008.",2.32E+00,3.11E-04,1080-1170,1,"A. V. Krylosov, ""Density and Electrical Conductivity of Molten Beryllium Fluoride-Alkali-Metal Chloride Salt Mixtures"", Russian Metallurgy 2023, 229-234 (2022).",1.46E-07,2.46E+05,----,----,----,846.9-1252.2,3,"Moynihan, C. T.; Cantor, S. Viscosity and Its Temperature Dependence in Molten BeF2. J. Chem. Phys. 1968, 48 (1), 115-119. https://doi.org/10.1063/1.1664455.",8.01E-01,-2.12E-06,1070.15-1500,20,"Gheribi, A. E.; Torres, J. A.; Chartrand, P. Recommended Values for the Thermal Conductivity of Molten Salts between the Melting and Boiling Points. Sol. Energy Mater. Sol. Cells 2014, 126, 11-25. https://doi.org/10.1016/j.solmat.2014.03.028.",51.10,0.03,----,----,----,"Chase, M. W.; Davies, C. A.; Downey, J. R.; Frurip, D. J.; McDonald, R. A.; Syverud, A. N. NIST-JANAF Thermodynamic Tables. J. Phys. Chem. Ref. Data Monogr. 1998, 9.",----,----,--------,----,----
BeF2-KF,55.7683,0.21-0.79,1159,20,MSTDB-TC,----,----,----,2.43E+00,4.00E-04,1003-1273,5,"Powers, W. D.; Cohen, S. I.; Greene, N. D. Physical Properties of Molten Reactor Fuels and Coolants. Nucl. Sci. Eng. 1963, 17 (2), 200-211. https://doi.org/10.13182/NSE63-5.",----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,--------,----,----
BeF2-KF,52.5528,0.5-0.5,840,20,MSTDB-TC,----,----,----,2.28E+00,3.50E-04,718-1273,5,"Powers, W. D.; Cohen, S. I.; Greene, N. D. Physical Properties of Molten Reactor Fuels and Coolants. Nucl. Sci. Eng. 1963, 17 (2), 200-211. https://doi.org/10.13182/NSE63-5.",----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,248.30,0.12,2196.0,5,"A.A. Klimenkov, N.N. Kurbatov, S.P. Raspopin, Yu.F. Chervinskii, ""Density and Surface Tension of Molten Mixtures of Beryllium and Potassium Fluorides"" Zhurnal Prikladnoj Khimii (translated), vol. 58, no. 11, pp. 2537-2539 (1985)"
BeF2-KF,----,0.1-0.9,1102,20,MSTDB-TC,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,233.30,0.09,2290.0,5,"A.A. Klimenkov, N.N. Kurbatov, S.P. Raspopin, Yu.F. Chervinskii, ""Density and Surface Tension of Molten Mixtures of Beryllium and Potassium Fluorides"" Zhurnal Prikladnoj Khimii (translated), vol. 58, no. 11, pp. 2537-2539 (1985)"
BeF2-KF,----,0.2-0.8,1156,20,MSTDB-TC,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,228.70,0.09,2201.0,5,"A.A. Klimenkov, N.N. Kurbatov, S.P. Raspopin, Yu.F. Chervinskii, ""Density and Surface Tension of Molten Mixtures of Beryllium and Potassium Fluorides"" Zhurnal Prikladnoj Khimii (translated), vol. 58, no. 11, pp. 2537-2539 (1985)"
BeF2-KF,----,0.3-0.7,1149,20,MSTDB-TC,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,253.40,0.11,2285.0,5,"A.A. Klimenkov, N.N. Kurbatov, S.P. Raspopin, Yu.F. Chervinskii, ""Density and Surface Tension of Molten Mixtures of Beryllium and Potassium Fluorides"" Zhurnal Prikladnoj Khimii (translated), vol. 58, no. 11, pp. 2537-2539 (1985)"
BeF2-KF,----,0.4-0.6,1040,20,MSTDB-TC,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,229.90,0.10,2302.0,5,"A.A. Klimenkov, N.N. Kurbatov, S.P. Raspopin, Yu.F. Chervinskii, ""Density and Surface Tension of Molten Mixtures of Beryllium and Potassium Fluorides"" Zhurnal Prikladnoj Khimii (translated), vol. 58, no. 11, pp. 2537-2539 (1985)"
BeF2-KF,----,0.6-0.4,631,20,MSTDB-TC,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,255.50,0.14,2039.0,5,"A.A. Klimenkov, N.N. Kurbatov, S.P. Raspopin, Yu.F. Chervinskii, ""Density and Surface Tension of Molten Mixtures of Beryllium and Potassium Fluorides"" Zhurnal Prikladnoj Khimii (translated), vol. 58, no. 11, pp. 2537-2539 (1985)"
BeF2-KF,----,0.7-0.3,653,20,MSTDB-TC,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,247.80,0.13,2051.0,5,"A.A. Klimenkov, N.N. Kurbatov, S.P. Raspopin, Yu.F. Chervinskii, ""Density and Surface Tension of Molten Mixtures of Beryllium and Potassium Fluorides"" Zhurnal Prikladnoj Khimii (translated), vol. 58, no. 11, pp. 2537-2539 (1985)"
BeF2-KF,----,0.8-0.2,727,20,MSTDB-TC,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,256.10,0.13,2048.0,5,"A.A. Klimenkov, N.N. Kurbatov, S.P. Raspopin, Yu.F. Chervinskii, ""Density and Surface Tension of Molten Mixtures of Beryllium and Potassium Fluorides"" Zhurnal Prikladnoj Khimii (translated), vol. 58, no. 11, pp. 2537-2539 (1985)"
BeF2-KF,----,0.9-0.1,776,20,MSTDB-TC,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,269.90,0.14,2168.0,5,"A.A. Klimenkov, N.N. Kurbatov, S.P. Raspopin, Yu.F. Chervinskii, ""Density and Surface Tension of Molten Mixtures of Beryllium and Potassium Fluorides"" Zhurnal Prikladnoj Khimii (translated), vol. 58, no. 11, pp. 2537-2539 (1985)"
BeF2-KF-NaF,46.2119,0.36-0.15-0.49,828,5*,"Cohen, S. I.; Jones, T. N. VISCOSITY MEASUREMENTS ON MOLTEN FLUORIDE MIXTURES ORNL-2278; Oak Ridge National Lab., Tenn.: Oak Ridge, TN (United States), 1957. https://doi.org/10.2172/4803933.",----,----,----,2.40E+00,3.80E-04,828-1273,5,"Powers, W. D.; Cohen, S. I.; Greene, N. D. Physical Properties of Molten Reactor Fuels and Coolants. Nucl. Sci. Eng. 1963, 17 (2), 200-211. https://doi.org/10.13182/NSE63-5.",8.11E-02,3.33E+04,----,----,----,873-1073,10,"Cohen, S. I.; Jones, T. N. VISCOSITY MEASUREMENTS ON MOLTEN FLUORIDE MIXTURES ORNL-2278; Oak Ridge National Lab., Tenn.: Oak Ridge, TN (United States), 1957. https://doi.org/10.2172/4803933.",----,----,----,----,----,92.78,----,----,----,25,"Powers, W. D.; Cohen, S. I.; Greene, N. D. Physical Properties of Molten Reactor Fuels and Coolants. Nucl. Sci. Eng. 1963, 17 (2), 200-211. https://doi.org/10.13182/NSE63-5.",----,----,--------,----,----
BeF2-LiF,32.471,0.31-0.69,783,5*,"Benes, O.; Konings, R.J.M. Thermodynamic evaluation of the (LiF + NaF + BeF2 + PuF3) system: An actinide burner fuel. J. Chem. Thermodyn. 2009, 41 (10), 1086-1095.",----,----,----,----,----,----,----,----,1.18E-01,3.01E+04,----,----,----,873-1073,10,"Cohen, S. I.; Jones, T. N. VISCOSITY MEASUREMENTS ON MOLTEN FLUORIDE MIXTURES ORNL-2278; Oak Ridge National Lab., Tenn.: Oak Ridge, TN (United States), 1957. https://doi.org/10.2172/4803933.",----,----,----,----,----,----,----,----,----,----,----,----,----,--------,----,----
