Cl-Cl		Mg-Cl		Mg-Mg	
4.016250000	1.020317225	4.016250000	0.146098683	4.016250000	0.244988284
4.068750000	0.960274577	4.068750000	0.155576990	4.068750000	0.241060993
4.121250000	0.905727042	4.121250000	0.165607795	4.121250000	0.239134533
4.173750000	0.843070338	4.173750000	0.175963351	4.173750000	0.239621869
4.226250000	0.777386034	4.226250000	0.185205199	4.226250000	0.229581753
4.278750000	0.725563680	4.278750000	0.195925721	4.278750000	0.225089406
4.331250000	0.674976361	4.331250000	0.202638036	4.331250000	0.224589303
4.383750000	0.624732680	4.383750000	0.214409356	4.383750000	0.208311518
4.436250000	0.575934955	4.436250000	0.220184571	4.436250000	0.201390454
4.488750000	0.544098370	4.488750000	0.234552812	4.488750000	0.185604916
4.541250000	0.509076081	4.541250000	0.243305736	4.541250000	0.176595108
