Cl-Cl,,K-Cl,,K-K,,K-Mg,,K-Na,,Mg-Cl,,Mg-Mg,,Mg-Na,,Na-Cl,,Na-Na,
R (A),RDF,R (A),RDF,R (A),RDF,R (A),RDF,R (A),RDF,R (A),RDF,R (A),RDF,R (A),RDF,R (A),RDF,R (A),RDF
2.178750000,0.000000000,2.178750000,0.000000000,2.178750000,0.000000000,2.178750000,0.000000000,2.178750000,0.000000000,2.178750000,1.668402925,2.178750000,0.000000000,2.178750000,0.000000000,2.178750000,0.001440247,2.178750000,0.000000000
2.231250000,0.000000000,2.231250000,0.000000000,2.231250000,0.000000000,2.231250000,0.000000000,2.231250000,0.000000000,2.231250000,4.226257948,2.231250000,0.000000000,2.231250000,0.000000000,2.231250000,0.010299532,2.231250000,0.000000000
2.283750000,0.000000000,2.283750000,0.000000000,2.283750000,0.000000000,2.283750000,0.000000000,2.283750000,0.000000000,2.283750000,7.213153736,2.283750000,0.000000000,2.283750000,0.000000000,2.283750000,0.055711573,2.283750000,0.000000000
2.336250000,0.000000000,2.336250000,0.000000000,2.336250000,0.000000000,2.336250000,0.000000000,2.336250000,0.000000000,2.336250000,9.054429074,2.336250000,0.000000000,2.336250000,0.000000000,2.336250000,0.178496908,2.336250000,0.000000000
2.388750000,0.000000000,2.388750000,0.000313155,2.388750000,0.000000000,2.388750000,0.000000000,2.388750000,0.000000000,2.388750000,9.035874087,2.388750000,0.000000000,2.388750000,0.000000000,2.388750000,0.465484131,2.388750000,0.000000000
2.441250000,0.000000000,2.441250000,0.000599662,2.441250000,0.000000000,2.441250000,0.000000000,2.441250000,0.000000000,2.441250000,7.680326434,2.441250000,0.000000000,2.441250000,0.000000000,2.441250000,0.991736929,2.441250000,0.000000000
2.493750000,0.000000000,2.493750000,0.001436700,2.493750000,0.000000000,2.493750000,0.000000000,2.493750000,0.000000000,2.493750000,5.902102832,2.493750000,0.000000000,2.493750000,0.000000000,2.493750000,1.657326950,2.493750000,0.000000000
2.546250000,0.000000000,2.546250000,0.007165950,2.546250000,0.000000000,2.546250000,0.000000000,2.546250000,0.000000000,2.546250000,4.339688462,2.546250000,0.000000000,2.546250000,0.000000000,2.546250000,2.445961659,2.546250000,0.000000000
2.598750000,0.000000000,2.598750000,0.033602984,2.598750000,0.000000000,2.598750000,0.000000000,2.598750000,0.000000000,2.598750000,3.011864979,2.598750000,0.000000000,2.598750000,0.000000000,2.598750000,3.079556473,2.598750000,0.000000000
2.651250000,0.000453466,2.651250000,0.108041667,2.651250000,0.000000000,2.651250000,0.000000000,2.651250000,0.000000000,2.651250000,2.103417722,2.651250000,0.000000000,2.651250000,0.000000000,2.651250000,3.573520976,2.651250000,0.000000000
2.703750000,0.000436027,2.703750000,0.255439163,2.703750000,0.000000000,2.703750000,0.000000000,2.703750000,0.000000000,2.703750000,1.519912145,2.703750000,0.000000000,2.703750000,0.000000000,2.703750000,3.834510085,2.703750000,0.000000000
2.756250000,0.000559434,2.756250000,0.543349833,2.756250000,0.000000000,2.756250000,0.000000000,2.756250000,0.001523793,2.756250000,1.074583112,2.756250000,0.000000000,2.756250000,0.000000000,2.756250000,3.864870983,2.756250000,0.006095172
2.808750000,0.001750828,2.808750000,0.945887697,2.808750000,0.001569737,2.808750000,0.000000000,2.808750000,0.000000000,2.808750000,0.803133846,2.808750000,0.000000000,2.808750000,0.000000000,2.808750000,3.675379556,2.808750000,0.023477804
2.861250000,0.005321069,2.861250000,1.430105229,2.861250000,0.000000000,2.861250000,0.000793225,2.861250000,0.004242030,2.861250000,0.618161993,2.861250000,0.001745095,2.861250000,0.003034949,2.861250000,3.480363060,2.861250000,0.022624161
2.913750000,0.013641088,2.913750000,1.936795682,2.913750000,0.001458644,2.913750000,0.000764899,2.913750000,0.001363515,2.913750000,0.485181976,2.913750000,0.006731109,2.913750000,0.011706277,2.913750000,3.123346818,2.913750000,0.005454061
2.966250000,0.036106317,2.966250000,2.379213169,2.966250000,0.001407469,2.966250000,0.000000000,2.966250000,0.002631355,2.966250000,0.391004994,2.966250000,0.027603557,2.966250000,0.036710615,2.966250000,2.787258669,2.966250000,0.047364392
3.018750000,0.078000918,3.018750000,2.768576942,3.018750000,0.001358940,3.018750000,0.000000000,3.018750000,0.010162511,3.018750000,0.321126389,3.018750000,0.036058326,3.018750000,0.054530552,3.018750000,2.485211659,3.018750000,0.066056324
3.071250000,0.155107167,3.071250000,2.992430776,3.071250000,0.005251517,3.071250000,0.004130767,3.071250000,0.020863363,3.071250000,0.284422209,3.071250000,0.066643029,3.071250000,0.075072191,3.071250000,2.179542047,3.071250000,0.078544425
3.123750000,0.278206315,3.123750000,3.091203404,3.123750000,0.002538241,3.123750000,0.010648233,3.123750000,0.014236223,3.123750000,0.240353472,3.123750000,0.083455519,3.123750000,0.154052147,3.123750000,1.969216955,3.123750000,0.085417339
3.176250000,0.446018642,3.176250000,3.055929144,3.176250000,0.002455028,3.176250000,0.009011749,3.176250000,0.024096632,3.176250000,0.238366378,3.176250000,0.182681023,3.176250000,0.221655447,3.176250000,1.706432917,3.176250000,0.123925538
3.228750000,0.666456442,3.228750000,3.099802278,3.228750000,0.004751681,3.228750000,0.026786154,3.228750000,0.032202968,3.228750000,0.216145483,3.228750000,0.296018131,3.228750000,0.358701536,3.228750000,1.528422555,3.228750000,0.182113333
3.281250000,0.920730601,3.281250000,2.964392909,3.281250000,0.014952752,3.281250000,0.037999069,3.281250000,0.062361477,3.281250000,0.201625392,3.281250000,0.313160563,3.281250000,0.500779994,3.281250000,1.384017893,3.281250000,0.253746698
3.333750000,1.205914824,3.333750000,2.759214478,3.333750000,0.025628222,3.333750000,0.062521452,3.333750000,0.091660863,3.333750000,0.198085899,3.333750000,0.471773997,3.333750000,0.675160542,3.333750000,1.219274119,3.333750000,0.374976258
3.386250000,1.457633818,3.386250000,2.513498372,3.386250000,0.029159677,3.386250000,0.117231392,3.386250000,0.112060498,3.386250000,0.216742945,3.386250000,0.655363089,3.386250000,0.901408685,3.386250000,1.124819436,3.386250000,0.343248371
3.438750000,1.749154720,3.438750000,2.368882470,3.438750000,0.050268656,3.438750000,0.180129362,3.438750000,0.148802507,3.438750000,0.199634279,3.438750000,0.759948167,3.438750000,1.246006173,3.438750000,1.031473193,3.438750000,0.473818509
3.491250000,1.974931308,3.491250000,2.168576357,3.491250000,0.064008279,3.491250000,0.270120900,3.491250000,0.197546599,3.491250000,0.222939218,3.491250000,0.814624921,3.491250000,1.520701202,3.491250000,0.918790622,3.491250000,0.687614122
3.543750000,2.194190098,3.543750000,1.951549709,3.543750000,0.092695668,3.543750000,0.390420997,3.543750000,0.264559952,3.543750000,0.224170605,3.543750000,0.936286385,3.543750000,1.720325527,3.543750000,0.865092485,3.543750000,0.814881526
3.596250000,2.307884322,3.596250000,1.791222192,3.596250000,0.121607942,3.596250000,0.566900434,3.596250000,0.322233984,3.596250000,0.221676898,3.596250000,0.985372324,3.596250000,1.994183110,3.596250000,0.773409676,3.596250000,0.751879296
3.648750000,2.359824841,3.648750000,1.598578452,3.648750000,0.137667582,3.648750000,0.717037611,3.648750000,0.399110616,3.648750000,0.234501377,3.648750000,1.134285153,3.648750000,2.321666392,3.648750000,0.712284494,3.648750000,0.970386596
3.701250000,2.393484610,3.701250000,1.456633506,3.701250000,0.204300766,3.701250000,0.901626569,3.701250000,0.468146677,3.701250000,0.247634081,3.701250000,1.125279199,3.701250000,2.385046076,3.701250000,0.657785091,3.701250000,1.156001181
3.753750000,2.346608603,3.753750000,1.322963037,3.753750000,0.265420738,3.753750000,1.159559872,3.753750000,0.570161651,3.753750000,0.266478161,3.753750000,1.111260182,3.753750000,2.674113201,3.753750000,0.631751021,3.753750000,1.301348783
3.806250000,2.284448876,3.806250000,1.203832916,3.806250000,0.304308562,3.806250000,1.467565455,3.806250000,0.691179590,3.806250000,0.263148912,3.806250000,1.154777620,3.806250000,2.617147328,3.806250000,0.599106371,3.806250000,1.284874890
3.858750000,2.152923313,3.858750000,1.084771593,3.858750000,0.373432434,3.858750000,1.610208143,3.858750000,0.857534953,3.858750000,0.286947144,3.858750000,1.141799756,3.858750000,2.752500957,3.858750000,0.567073968,3.858750000,1.427410856
3.911250000,2.068428169,3.911250000,0.992768658,3.911250000,0.474379182,3.911250000,1.906026694,3.911250000,0.940610362,3.911250000,0.299227463,3.911250000,1.032905102,3.911250000,2.670172281,3.911250000,0.545472485,3.911250000,1.679931619
3.963750000,1.958003894,3.963750000,0.913416113,3.963750000,0.516283350,3.963750000,2.140658366,3.963750000,1.014591884,3.963750000,0.321379895,3.963750000,1.078471812,3.963750000,2.626002673,3.963750000,0.531118785,3.963750000,1.585622175
4.016250000,1.794576805,4.016250000,0.840505045,4.016250000,0.650281544,4.016250000,2.381372852,4.016250000,1.109527654,4.016250000,0.342636023,4.016250000,1.027432494,4.016250000,2.627885923,4.016250000,0.518383934,4.016250000,1.633431398
