Step,Volume_A3,P_yz_eV_A3,P_xz_eV_A3,P_xy_eV_A3,J_K_x,J_K_y,J_K_z,J_Cl_x,J_Cl_y,J_Cl_z,J_Mg_x,J_Mg_y,J_Mg_z,J_Na_x,J_Na_y,J_Na_z
50,7922.875316480056,-0.0003160011,0.000300407,-0.00046036803,1.990604929878657,-7.4335009989835665,0.03422674358897093,0.7579905438655627,12.036927395453194,2.5927750335342585,1.0784280784808518,-4.949190918118779,2.9884819496886976,-2.7440267475256133,3.27713840263243,-2.1638808660215787
55,7922.875316480056,-0.00026579443,0.00020826704,-0.00043523044,1.845107787272184,-5.847781236126085,1.7918648057393343,1.1652304747207678,13.044298078208403,1.201045246420545,1.3203988516850806,-7.241050023610089,2.665997255987726,-3.2477403601740384,2.975906818469979,-2.207304331125421
60,7922.875316480056,-0.00021582311,0.00012921866,-0.00038756986,1.6460329918680259,-4.388245033132027,3.4964998432996985,1.398640000410924,13.888553674465832,-0.15936551781057418,1.813706239195949,-9.117195483685443,2.3394022855876875,-3.775382210712242,2.5482609501019615,-2.2249335343919725
65,7922.875316480056,-0.00012822561,9.091368e-05,-0.0002955094,1.3751165458868977,-3.103533563861622,5.090356712681552,1.310509171282706,14.474006902653198,-1.2778304767091635,2.6962531090119457,-10.477475540315003,1.7814501238403082,-4.298881591263825,2.0383761986419118,-2.1423735264913617
70,7922.875316480056,-1.5126825e-06,0.00010328231,-0.00015537378,0.9972965137474725,-2.0132230823537087,6.520852850387183,0.9402030780697066,14.605264300896383,-2.0004247464433114,3.8958439680371377,-11.166730303887539,0.7811952718779267,-4.750346292618607,1.506063080116859,-1.8500204086674117
75,7922.875316480056,0.00012411943,0.00015696372,2.0428648e-05,0.46857038947001683,-1.1176956335775161,7.743565312485755,0.4531133088097947,14.02910022663244,-2.215954342434335,5.19634722983194,-10.994006382988095,-0.8546339258305906,-5.0350338927171565,1.0139758495612332,-1.2213743267136365
80,7922.875316480056,0.00019882395,0.00023819221,0.00020124909,-0.2504626935935334,-0.40860031518326867,8.726989310560366,0.09124141631189842,12.530963331688689,-1.936899157247602,6.311523118007084,-9.810016668622643,-3.18452479851711,-5.069305339792455,0.6190277030660801,-0.15396275208761523
85,7922.875316480056,0.0002010623,0.0003362955,0.00033925162,-1.1817461256379715,0.12455920075359028,9.456062763386381,0.1155220658935594,10.06601254398404,-1.3833347942229697,6.970030283811706,-7.635583533980912,-6.006036936435144,-4.8208100643467064,0.376386184009446,1.384911929834992
90,7922.875316480056,0.00014948407,0.00043956353,0.0003873873,-2.32307089454315,0.4931755615171438,9.932417733008133,0.7092139903922383,6.850034091770367,-0.9555889729465639,7.020438457550721,-4.7598195066266005,-8.859845243640471,-4.323585574857834,0.3479838921163019,3.334619278607782
95,7922.875316480056,8.645493e-05,0.00053031865,0.0003337658,-3.6477984830364107,0.7118135340343156,10.171986078125865,1.8936275465242032,3.3226642781842344,-1.0791918202578668,6.496604427850638,-1.6996719280805088,-11.198332148282667,-3.659437644288819,0.596568275512821,5.557140639258499
100,7922.875316480056,5.12919e-05,0.00058419013,0.00022057624,-5.107398552232723,0.80066721433746,10.201408479896582,3.540290441764504,-0.03716810761376177,-2.0130918632539974,5.572713411408427,1.010029030635475,-12.620977098979516,-2.922609231806537,1.1578463503470848,7.884263223127414
105,7922.875316480056,5.799502e-05,0.0005734006,0.00011681472,-6.635050721403047,0.7865006546917885,10.05331314639896,5.455895977730787,-2.9277459210671104,-3.7340071743708663,4.4573029480805655,3.0641865068091887,-13.029782269505255,-2.195152532571928,2.008433285686463,10.16207904627961
