Composition,Source,Temperature (K),Average SCL (A),Average SCL (A) [b_PH=zero],Average SCL (A) [b_PH=fraction],Average SCL (A) [b_PH=L_classical],Average SCL (A) [b_PH=L_quantum],Average SCL (A) [b_PH=O_CSV],Experimental SCL (A),Deviation,Pair 1 Label,Pair 1 SCL_i (A),Pair 1 Peak X (A),Pair 1 Peak Y,Pair 1 Min X (A),Pair 1 Min Y,Pair 1 CC Peak X (A),Pair 1 CC Peak Y,Pair 1 PMF at Peak (kJ/mol),Pair 1 Bond Strength (kJ/mol/A²),Pair 1 Reduced Mass (g/mol),Pair 1 Fundamental Frequency (rad/ps),Pair 1 b_PH,Pair 2 Label,Pair 2 SCL_i (A),Pair 2 Peak X (A),Pair 2 Peak Y,Pair 2 Min X (A),Pair 2 Min Y,Pair 2 CC Peak X (A),Pair 2 CC Peak Y,Pair 2 PMF at Peak (kJ/mol),Pair 2 Bond Strength (kJ/mol/A²),Pair 2 Reduced Mass (g/mol),Pair 2 Fundamental Frequency (rad/ps),Pair 2 b_PH,Pair 3 Label,Pair 3 SCL_i (A),Pair 3 Peak X (A),Pair 3 Peak Y,Pair 3 Min X (A),Pair 3 Min Y,Pair 3 CC Peak X (A),Pair 3 CC Peak Y,Pair 3 PMF at Peak (kJ/mol),Pair 3 Bond Strength (kJ/mol/A²),Pair 3 Reduced Mass (g/mol),Pair 3 Fundamental Frequency (rad/ps),Pair 3 b_PH,Pair 4 Label,Pair 4 SCL_i (A),Pair 4 Peak X (A),Pair 4 Peak Y,Pair 4 Min X (A),Pair 4 Min Y,Pair 4 CC Peak X (A),Pair 4 CC Peak Y,Pair 4 PMF at Peak (kJ/mol),Pair 4 Bond Strength (kJ/mol/A²),Pair 4 Reduced Mass (g/mol),Pair 4 Fundamental Frequency (rad/ps),Pair 4 b_PH,Pair 5 Label,Pair 5 SCL_i (A),Pair 5 Peak X (A),Pair 5 Peak Y,Pair 5 Min X (A),Pair 5 Min Y,Pair 5 CC Peak X (A),Pair 5 CC Peak Y,Pair 5 PMF at Peak (kJ/mol),Pair 5 Bond Strength (kJ/mol/A²),Pair 5 Reduced Mass (g/mol),Pair 5 Fundamental Frequency (rad/ps),Pair 5 b_PH,Pair 6 Label,Pair 6 SCL_i (A),Pair 6 Peak X (A),Pair 6 Peak Y,Pair 6 Min X (A),Pair 6 Min Y,Pair 6 CC Peak X (A),Pair 6 CC Peak Y,Pair 6 PMF at Peak (kJ/mol),Pair 6 Bond Strength (kJ/mol/A²),Pair 6 Reduced Mass (g/mol),Pair 6 Fundamental Frequency (rad/ps),Pair 6 b_PH
0.21NaCl-0.38MgCl2-0.41KCl,"Jiang, 2024",750,3.18196,,,,,,3.65358,-12.91,K-Cl,3.35049,3.12538,0.40984,4.544,0.11184,4.92081,0.06462,-6.57537,68.53015,18.59244,19.19874,0.31786,Mg-Cl,2.96629,2.37174,1.29776,3.50959,0.03444,3.69431,0.04213,-14.23684,432.04231,14.41908,54.73868,0.35737,Na-Cl,3.24319,2.73379,0.29142,4.10068,0.03932,4.30756,0.01727,-8.62117,106.50557,13.94577,27.63535,0.31443,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1.0NaF,"Walz, 2019",1266,3.9007,,,,,,5.22361,-25.33,Na-F,3.9007,2.16571,1.31205,3.40781,0.15615,3.27405,0.52188,-14.42292,255.19356,10.40219,49.53047,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1.0KF,"Walz, 2019",1131,4.36137,,,,,,4.63533,-5.91,K-F,4.36137,2.48153,1.31757,3.91232,0.15978,3.77818,0.55944,-12.92438,174.9183,12.78567,36.98758,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1.0LiCl,"Walz, 2019",878,4.26876,,,,,,4.10511,3.99,Li-Cl,4.26876,2.37101,1.32677,3.67506,0.14962,3.64717,0.50848,-10.08404,154.4734,5.8038,51.59061,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.21NaCl-0.38MgCl2-0.41KCl,"Walker, 2026",660,3.49239,,,,,,3.65358,-4.41,K-Cl,3.80224,3.17513,0.44591,4.69983,0.07659,4.80462,0.073,-6.24918,55.40453,18.59244,17.26253,0.23149,Mg-Cl,3.12723,2.38397,1.19066,3.28516,0.02662,3.80387,0.04067,-12.05579,327.08894,14.41908,47.62819,0.31788,Na-Cl,3.5482,2.75597,0.28161,4.22303,0.03704,4.17588,0.01971,-7.39857,88.88804,13.94577,25.24646,0.23112,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1.0NaCl,"Lu, 2021",1200,4.52002,,,,,,4.48028,0.89,Na-Cl,4.52002,2.6622,1.26349,4.19256,0.15891,4.11285,0.53377,-13.29471,176.03131,13.94577,35.52825,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1.0KCl,"Walz, 2019",1043,4.96118,,,,,,4.47675,10.82,K-Cl,4.96118,2.93357,1.38697,4.59394,0.15377,4.4897,0.47218,-12.36395,153.23877,18.59244,28.70887,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.417NaCl-0.058KCl-0.525CaCl2,"Wei, 2022",1023,3.4471,,,,,,0,,Ca-Cl,3.66957,2.62386,1.02412,3.9507,0.04698,4.74829,0.14814,-15.03174,235.17489,18.8111,35.35805,0.2323,K-Cl,3.21343,3.07856,0.04719,4.36068,0.01299,4.42776,0.00136,-7.59376,80.82774,18.59244,20.85029,0.38889,Na-Cl,3.19952,2.66858,0.41874,3.98051,0.08334,4.16687,0.06841,-9.38376,118.05516,13.94577,29.0952,0.26165,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1.0KCl,"Walker, 2026",1043,4.92433,,,,,,4.47675,10,K-Cl,4.92433,3.07034,1.1793,4.75222,0.15566,4.5374,0.55092,-10.95731,87.17305,18.59244,21.65324,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1.0MgCl2,"Roy, 2021",1073,4.53833,,,,,,4.76796,-4.82,Mg-Cl,4.53833,2.43757,1.71525,3.43774,0.10237,4.13184,0.23898,-15.99007,315.6949,14.41908,46.79129,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
