Freq_rad_ps,VDOS_Li,VDOS_K
2.818054829959134011e+01,8.660801955340727623e-03,1.317212129924980740e-02
2.827029526869831955e+01,7.667277587193264618e-03,1.471884654210535437e-02
2.836004223780529898e+01,9.684733444741014038e-03,1.707378383439639088e-02
2.844978920691227842e+01,1.027906667454790354e-02,1.691651275560522930e-02
2.853953617601925785e+01,1.079847819890316155e-02,1.499404275137919060e-02
2.862928314512623373e+01,9.815734566843732981e-03,1.432589558554031063e-02
2.871903011423321317e+01,8.198500566888242136e-03,1.673840231901176090e-02
2.880877708334019260e+01,8.725826347962954352e-03,1.657540222692583526e-02
2.889852405244717204e+01,8.998271084935734188e-03,1.600726244400784912e-02
2.898827102155415147e+01,9.446004508610304079e-03,1.543033504717097708e-02
2.907801799066113091e+01,9.712214379310562390e-03,1.451173068756818167e-02
2.916776495976811034e+01,1.122518953713202462e-02,1.373675194410165293e-02
2.925751192887508978e+01,9.544475713384546062e-03,1.449238918790149953e-02
2.934725889798206921e+01,8.056070658635460652e-03,1.611616015761428017e-02
2.943700586708904865e+01,8.578521193483942819e-03,1.511863704560291108e-02
2.952675283619602453e+01,1.006771398199306222e-02,1.438525483453392297e-02
2.961649980530300397e+01,1.033311151813739136e-02,1.503050097036960631e-02
2.970624677440998340e+01,8.623044474851042016e-03,1.456313419677557515e-02
2.979599374351695928e+01,9.388858269048243679e-03,1.352279387999078160e-02
2.988574071262393872e+01,1.038132253123847347e-02,1.319364806303407502e-02
2.997548768173091460e+01,9.192157751464964319e-03,1.255196428059858309e-02
3.006523465083789404e+01,9.784194969044675630e-03,1.260564033305911803e-02
3.015498161994487347e+01,1.136586934087572415e-02,1.414942497411205043e-02
3.024472858905185291e+01,1.180851079271177766e-02,1.325325681545687188e-02
3.033447555815883234e+01,1.086620859464219012e-02,1.253353122518556864e-02
3.042422252726581178e+01,1.066311314603369739e-02,1.318596507389739082e-02
3.051396949637279121e+01,9.906799799838278062e-03,1.344069689107387118e-02
3.060371646547977065e+01,9.867439258496873630e-03,1.360027786186788698e-02
3.069346343458675008e+01,1.083346885016096307e-02,1.149583666347307742e-02
3.078321040369372952e+01,9.761435745522380539e-03,1.154017203604942518e-02
3.087295737280070540e+01,9.279968245367370069e-03,1.138194783737258090e-02
3.096270434190768484e+01,8.944801403375593832e-03,1.332506197024267008e-02
3.105245131101466427e+01,1.011323500920319543e-02,1.158873118891730510e-02
3.114219828012164371e+01,1.126119495466276245e-02,1.151797322525977343e-02
3.123194524922862314e+01,1.057530785185169762e-02,1.196193896587997851e-02
3.132169221833560258e+01,9.836974352714241560e-03,1.163196890653707578e-02
3.141143918744258201e+01,1.003465273088327038e-02,1.143381686964994870e-02
3.150118615654955434e+01,1.001035672486296109e-02,1.024595055193120580e-02
3.159093312565653378e+01,1.102322036688640865e-02,1.074927985724210069e-02
3.168068009476351321e+01,1.176129654694839204e-02,1.161554747770425847e-02
3.177042706387049265e+01,1.054555394764050517e-02,1.012750600103417414e-02
3.186017403297747208e+01,1.184688773184635127e-02,1.024406574149325927e-02
3.194992100208445152e+01,1.279810309429329010e-02,9.942236763416096093e-03
3.203966797119142740e+01,1.237069760997244749e-02,9.717573918288438528e-03
3.212941494029841039e+01,1.124937899061784381e-02,9.216406869177842451e-03
3.221916190940538627e+01,1.205444632469053132e-02,9.258262898609386296e-03
3.230890887851236926e+01,1.131583813903429443e-02,1.018616751327591601e-02
3.239865584761934514e+01,9.425645052984026745e-03,9.858046817933563410e-03
3.248840281672632813e+01,1.173331152937177359e-02,9.464293620472222571e-03
3.257814978583330401e+01,1.362744702625762368e-02,1.052517264013632520e-02
3.266789675494027989e+01,1.157770966563130555e-02,9.604368068229937605e-03
3.275764372404726288e+01,1.182132385601491163e-02,8.165114307511319586e-03
3.284739069315423876e+01,1.381591255963023242e-02,8.535011294424190223e-03
3.293713766226122175e+01,1.390988067102143406e-02,9.971063207327377984e-03
3.302688463136819763e+01,1.159370929611528399e-02,1.006373702800735306e-02
3.311663160047518062e+01,1.097138839486457886e-02,9.183496833111303229e-03
3.320637856958214940e+01,1.257118481191158745e-02,8.948533453331939530e-03
3.329612553868913238e+01,1.075753261252416007e-02,8.424416721693269924e-03
3.338587250779610827e+01,1.035873429882130763e-02,7.755332185714660861e-03
3.347561947690309125e+01,1.080632322872205828e-02,8.609494140629024572e-03
3.356536644601006714e+01,1.022254371411812461e-02,7.587708196434274528e-03
3.365511341511705012e+01,1.063775486639807581e-02,7.666882569267576518e-03
3.374486038422402601e+01,1.039553046857743385e-02,8.413835401092055119e-03
3.383460735333100899e+01,9.822064211477521400e-03,8.116181133317301732e-03
3.392435432243798488e+01,1.208705162469004418e-02,8.185670573293802113e-03
3.401410129154496076e+01,1.301857642236651201e-02,7.621433246867378476e-03
3.410384826065194375e+01,1.125770464921727054e-02,7.993917311231547168e-03
3.419359522975891963e+01,1.076580595296211529e-02,7.714246384824086783e-03
3.428334219886590262e+01,1.190192599538422713e-02,7.714367094951767555e-03
3.437308916797287850e+01,1.152354726550159324e-02,7.527284640746470176e-03
3.446283613707986149e+01,1.105435081126942588e-02,7.136568632204260548e-03
