r (A),g(r)_weighted_Li-F,g(r)_weighted_F-F,g(r)_weighted_Na-F,S_i_Li-F,S_i_Na-F,Average_SCL,lambda_BC
0.368931812935968,0.0,0.0,0.0,1.0,1.0,2.287365497165773,2.63857
0.3717480863171586,0.0,0.0,0.0,1.0,1.0,2.287365497165773,2.63857
0.37456435969834917,0.0,0.0,0.0,1.0,1.0,2.287365497165773,2.63857
0.3773806330795398,0.0,0.0,0.0,1.0,1.0,2.287365497165773,2.63857
0.3801969064607304,0.0,0.0,0.0,1.0,1.0,2.287365497165773,2.63857
0.38301317984192096,0.0,0.0,0.0,1.0,1.0,2.287365497165773,2.63857
0.3858294532231116,0.0,0.0,0.0,1.0,1.0,2.287365497165773,2.63857
0.38864572660430213,0.0,0.0,0.0,1.0,1.0,2.287365497165773,2.63857
0.39146199998549275,0.0,0.0,0.0,1.0,1.0,2.287365497165773,2.63857
0.39427827336668336,0.0,0.0,0.0,1.0,1.0,2.287365497165773,2.63857
0.3970945467478739,0.0,0.0,0.0,1.0,1.0,2.287365497165773,2.63857
0.39991082012906454,0.0,0.0,0.0,1.0,1.0,2.287365497165773,2.63857
0.40272709351025515,0.0,0.0,0.0,1.0,1.0,2.287365497165773,2.63857
0.4055433668914457,0.0,0.0,0.0,1.0,1.0,2.287365497165773,2.63857
0.4083596402726363,0.0,0.0,0.0,1.0,1.0,2.287365497165773,2.63857
0.41117591365382694,0.0,0.0,0.0,1.0,1.0,2.287365497165773,2.63857
0.4139921870350175,0.0,0.0,0.0,1.0,1.0,2.287365497165773,2.63857
0.4168084604162081,0.0,0.0,0.0,1.0,1.0,2.287365497165773,2.63857
0.41962473379739873,0.0,0.0,0.0,1.0,1.0,2.287365497165773,2.63857
0.4224410071785893,0.0,0.0,0.0,1.0,1.0,2.287365497165773,2.63857
0.4252572805597799,0.0,0.0,0.0,1.0,1.0,2.287365497165773,2.63857
0.4280735539409705,0.0,0.0,0.0,1.0,1.0,2.287365497165773,2.63857
0.4308898273221611,0.0,0.0,0.0,1.0,1.0,2.287365497165773,2.63857
0.4337061007033517,0.0,0.0,0.0,1.0,1.0,2.287365497165773,2.63857
0.4365223740845423,0.0,0.0,0.0,1.0,1.0,2.287365497165773,2.63857
0.43933864746573287,0.0,0.0,0.0,1.0,1.0,2.287365497165773,2.63857
0.4421549208469235,0.0,0.0,0.0,1.0,1.0,2.287365497165773,2.63857
0.44497119422811404,0.0,0.0,0.0,1.0,1.0,2.287365497165773,2.63857
0.44778746760930466,0.0,0.0,0.0,1.0,1.0,2.287365497165773,2.63857
0.45060374099049527,0.0,0.0,0.0,1.0,1.0,2.287365497165773,2.63857
0.45342001437168583,0.0,0.0,0.0,1.0,1.0,2.287365497165773,2.63857
0.45623628775287645,0.0,0.0,0.0,1.0,1.0,2.287365497165773,2.63857
0.45905256113406706,0.0,0.0,0.0,1.0,1.0,2.287365497165773,2.63857
0.4618688345152576,0.0,0.0,0.0,1.0,1.0,2.287365497165773,2.63857
0.46468510789644824,0.0,0.0,0.0,1.0,1.0,2.287365497165773,2.63857
0.46750138127763885,0.0,0.0,0.0,1.0,1.0,2.287365497165773,2.63857
0.4703176546588294,0.0,0.0,0.0,1.0,1.0,2.287365497165773,2.63857
0.47313392804002,0.0,0.0,0.0,1.0,1.0,2.287365497165773,2.63857
0.47595020142121064,0.0,0.0,0.0,1.0,1.0,2.287365497165773,2.63857
0.4787664748024012,0.0,0.0,0.0,1.0,1.0,2.287365497165773,2.63857
0.4815827481835918,0.0,0.0,0.0,1.0,1.0,2.287365497165773,2.63857
0.48439902156478243,0.0,0.0,0.0,1.0,1.0,2.287365497165773,2.63857
0.487215294945973,0.0,0.0,0.0,1.0,1.0,2.287365497165773,2.63857
0.4900315683271636,0.0,0.0,0.0,1.0,1.0,2.287365497165773,2.63857
0.49284784170835416,0.0,0.0,0.0,1.0,1.0,2.287365497165773,2.63857
0.4956641150895448,0.0,0.0,0.0,1.0,1.0,2.287365497165773,2.63857
0.4984803884707354,0.0,0.0,0.0,1.0,1.0,2.287365497165773,2.63857
0.501296661851926,0.0,0.0,0.0,1.0,1.0,2.287365497165773,2.63857
0.5041129352331166,0.0,0.0,0.0,1.0,1.0,2.287365497165773,2.63857
0.5069292086143071,0.0,0.0,0.0,1.0,1.0,2.287365497165773,2.63857
0.5097454819954977,0.0,0.0,0.0,1.0,1.0,2.287365497165773,2.63857
0.5125617553766884,0.0,0.0,0.0,1.0,1.0,2.287365497165773,2.63857
0.515378028757879,0.0,0.0,0.0,1.0,1.0,2.287365497165773,2.63857
0.5181943021390696,0.0,0.0,0.0,1.0,1.0,2.287365497165773,2.63857
0.5210105755202601,0.0,0.0,0.0,1.0,1.0,2.287365497165773,2.63857
0.5238268489014507,0.0,0.0,0.0,1.0,1.0,2.287365497165773,2.63857
0.5266431222826413,0.0,0.0,0.0,1.0,1.0,2.287365497165773,2.63857
0.5294593956638319,0.0,0.0,0.0,1.0,1.0,2.287365497165773,2.63857
0.5322756690450225,0.0,0.0,0.0,1.0,1.0,2.287365497165773,2.63857
0.5350919424262132,0.0,0.0,0.0,1.0,1.0,2.287365497165773,2.63857
0.5379082158074037,0.0,0.0,0.0,1.0,1.0,2.287365497165773,2.63857
0.5407244891885943,0.0,0.0,0.0,1.0,1.0,2.287365497165773,2.63857
0.5435407625697849,0.0,0.0,0.0,1.0,1.0,2.287365497165773,2.63857
0.5463570359509755,0.0,0.0,0.0,1.0,1.0,2.287365497165773,2.63857
0.5491733093321661,0.0,0.0,0.0,1.0,1.0,2.287365497165773,2.63857
0.5519895827133567,0.0,0.0,0.0,1.0,1.0,2.287365497165773,2.63857
0.5548058560945472,0.0,0.0,0.0,1.0,1.0,2.287365497165773,2.63857
0.5576221294757379,0.0,0.0,0.0,1.0,1.0,2.287365497165773,2.63857
0.5604384028569285,0.0,0.0,0.0,1.0,1.0,2.287365497165773,2.63857
0.5632546762381191,0.0,0.0,0.0,1.0,1.0,2.287365497165773,2.63857
0.5660709496193097,0.0,0.0,0.0,1.0,1.0,2.287365497165773,2.63857
0.5688872230005002,0.0,0.0,0.0,1.0,1.0,2.287365497165773,2.63857
0.5717034963816908,0.0,0.0,0.0,1.0,1.0,2.287365497165773,2.63857
0.5745197697628814,0.0,0.0,0.0,1.0,1.0,2.287365497165773,2.63857
0.577336043144072,0.0,0.0,0.0,1.0,1.0,2.287365497165773,2.63857
0.5801523165252627,0.0,0.0,0.0,1.0,1.0,2.287365497165773,2.63857
0.5829685899064533,0.0,0.0,0.0,1.0,1.0,2.287365497165773,2.63857
0.5857848632876438,0.0,0.0,0.0,1.0,1.0,2.287365497165773,2.63857
0.5886011366688344,0.0,0.0,0.0,1.0,1.0,2.287365497165773,2.63857
0.591417410050025,0.0,0.0,0.0,1.0,1.0,2.287365497165773,2.63857
0.5942336834312156,0.0,0.0,0.0,1.0,1.0,2.287365497165773,2.63857
0.5970499568124062,0.0,0.0,0.0,1.0,1.0,2.287365497165773,2.63857
0.5998662301935969,0.0,0.0,0.0,1.0,1.0,2.287365497165773,2.63857
0.6026825035747874,0.0,0.0,0.0,1.0,1.0,2.287365497165773,2.63857
0.605498776955978,0.0,0.0,0.0,1.0,1.0,2.287365497165773,2.63857
0.6083150503371686,0.0,0.0,0.0,1.0,1.0,2.287365497165773,2.63857
