r (A),g(r)_weighted_Li-Li,g(r)_weighted_Ca-Li,g(r)_weighted_Li-Cl,g(r)_weighted_Ca-Ca,g(r)_weighted_Ca-Cl,g(r)_weighted_Cl-Cl,S_i_Li-Cl,S_i_Ca-Cl,Average_SCL,lambda_BC
0.15337338999169917,0.0,0.00033388650816733507,0.0017307003414394927,0.0001711681656368602,0.00042083797061611387,0.008375150626855581,1.0,1.0,2.7701897594140767,0
0.15832091870110881,0.0,0.00031968955575202514,0.0017289336095833675,0.00017099343391482587,0.0004200807998206327,0.008371869553408497,1.0,1.0,2.7701897594140767,0
0.16326844741051846,0.0,0.0003054926033367152,0.0017271668777272392,0.0001708187021927915,0.00041932362902515156,0.00836858847996141,1.0,1.0,2.7701897594140767,0
0.1682159761199281,0.0,0.00029129565092140527,0.0017254001458711094,0.00017064397047075717,0.0004185664582296703,0.008365307406514326,1.0,1.0,2.7701897594140767,0
0.17316350482933776,0.0,0.0002770986985060953,0.0017236334140149797,0.00017046923874872283,0.00041780928743418913,0.008362026333067242,1.0,1.0,2.7701897594140767,0
0.1781110335387474,0.0,0.0002629017460907854,0.0017218666821588499,0.00017029450702668846,0.0004170521166387079,0.008358745259620135,1.0,1.0,2.7701897594140767,0
0.18305856224815706,0.0,0.0002487047936754755,0.00172009995030272,0.00017011977530465412,0.0004162949458432267,0.008355464186173027,1.0,1.0,2.7701897594140767,0
0.1880060909575667,0.0,0.00023450784126016554,0.0017183332184465903,0.00016994504358261979,0.0004155377750477455,0.00835218311272592,1.0,1.0,2.7701897594140767,0
0.19295361966697636,0.0,0.0002203108888448556,0.0017165664865904605,0.00016977031186058545,0.00041478060425226434,0.008348902039278811,1.0,1.0,2.7701897594140767,0
0.197901148376386,0.0,0.00020611393642954568,0.001714799754734331,0.00016959558013855108,0.0004140234334567832,0.008345620965831703,1.0,1.0,2.7701897594140767,0
0.20284867708579568,0.0,0.00019191698401423566,0.0017130330228782012,0.00016942084841651674,0.0004132662626613019,0.008342339892384596,1.0,1.0,2.7701897594140767,0
0.20779620579520533,0.0,0.00017772003159892573,0.0017112662910220712,0.00016924611669448238,0.00041250909186582075,0.008339058818937487,1.0,1.0,2.7701897594140767,0
0.21274373450461498,0.0,0.0001635230791836158,0.0017094995591659414,0.00016907138497244804,0.00041175192107033954,0.008335777745490379,1.0,1.0,2.7701897594140767,0
0.21769126321402463,0.0,0.00014932612676830587,0.0017077328273098118,0.0001688966532504137,0.0004109947502748533,0.008332496672043272,1.0,1.0,2.7701897594140767,0
0.22263879192343428,0.0,0.00013512917435299596,0.001705966095453682,0.00016872192152837917,0.0004102375794793669,0.008329215598596165,1.0,1.0,2.7701897594140767,0
0.22758632063284392,0.0,0.00012093222193768603,0.001704199363597552,0.00016854718980634454,0.00040948040868388046,0.008325934525149056,1.0,1.0,2.7701897594140767,0
0.23253384934225357,0.0,0.00010673526952237608,0.0017024326317414224,0.00016837245808430987,0.0004087232378883941,0.00832265345170195,1.0,1.0,2.7701897594140767,0
0.23748137805166322,0.0,9.253831710706615e-05,0.0017006658998852927,0.00016819772636227523,0.0004079660670929077,0.008319372378254841,1.0,1.0,2.7701897594140767,0
0.24242890676107287,0.0,7.83413646917562e-05,0.0016988991680291629,0.0001680229946402406,0.0004072088962974212,0.008316091304807732,1.0,1.0,2.7701897594140767,0
0.24737643547048252,0.0,6.414441227644627e-05,0.001697132436173033,0.00016784826291820593,0.00040645172550193484,0.008312810231360625,1.0,1.0,2.7701897594140767,0
0.25232396417989217,0.0,4.9947459861136375e-05,0.0016953657043169033,0.0001676735311961713,0.00040569455470644837,0.008309529157913517,1.0,1.0,2.7701897594140767,0
0.25727149288930184,0.0,3.575050744582634e-05,0.0016935989724607735,0.00016749879947413666,0.00040493738391096196,0.00830624808446641,1.0,1.0,2.7701897594140767,0
0.26221902159871147,0.0,2.15535550305165e-05,0.0016918322406046437,0.000167324067752102,0.0004041802131154756,0.00830296701101931,1.0,1.0,2.7701897594140767,0
0.26716655030812114,0.0,7.356602615206463e-06,0.0016900655087485142,0.00016714933603006736,0.0004034230423199891,0.008299685937572226,1.0,1.0,2.7701897594140767,0
0.27211407901753076,0.0,7.55478633478086e-06,0.0016882987768923842,0.00016697460430803272,0.0004026658715245027,0.00829640486412514,1.0,1.0,2.7701897594140767,0
0.27706160772694044,0.0,2.3234531557912166e-05,0.0016865320450362544,0.00016679987258599806,0.0004019087007290163,0.008293123790678055,1.0,1.0,2.7701897594140767,0
0.28200913643635006,0.0,3.8914276781043296e-05,0.0016847653131801246,0.0001666251408639634,0.00040115152993352993,0.00828984271723097,1.0,1.0,2.7701897594140767,0
0.28695666514575974,0.0,5.4594022004174605e-05,0.001682998581323995,0.00016645040914192879,0.00040039435913804346,0.008286561643783883,1.0,1.0,2.7701897594140767,0
0.29190419385516936,0.0,7.027376722730573e-05,0.001681231849467865,0.00016627567741989412,0.00039963718834255704,0.008283280570336799,1.0,1.0,2.7701897594140767,0
0.29685172256457903,0.0,8.595351245043703e-05,0.0016794651176117352,0.00016610094569785946,0.0003988800175470706,0.008279999496889715,1.0,1.0,2.7701897594140767,0
0.30179925127398866,0.0,0.00010163325767356816,0.0016776983857556054,0.00016592621397582482,0.0003981228467515863,0.008276718423442629,1.0,1.0,2.7701897594140767,0
