r (A),g(r)_weighted_K-Cl,g(r)_weighted_K-K,g(r)_weighted_Cl-Cl,S_i_K-Cl,Average_SCL,lambda_BC
1.1540689010005003,0.0,0.0,0.0,1.0,5.101972575117579,4.47675
1.1615145068134067,0.0,0.0,0.0,1.0,5.101972575117579,4.47675
1.1689601126263132,0.0,0.0,0.0,1.0,5.101972575117579,4.47675
1.1764057184392196,0.0,0.0,0.0,1.0,5.101972575117579,4.47675
1.183851324252126,0.0,0.0,0.0,1.0,5.101972575117579,4.47675
1.1912969300650325,0.0,0.0,0.0,1.0,5.101972575117579,4.47675
1.1987425358779389,0.0,0.0,0.0,1.0,5.101972575117579,4.47675
1.2061881416908453,0.0,0.0,0.0,1.0,5.101972575117579,4.47675
1.213633747503752,0.0,0.0,0.0,1.0,5.101972575117579,4.47675
1.2210793533166584,0.0,0.0,0.0,1.0,5.101972575117579,4.47675
1.2285249591295648,0.0,0.0,0.0,1.0,5.101972575117579,4.47675
1.2359705649424713,0.0,0.0,0.0,1.0,5.101972575117579,4.47675
1.2434161707553777,0.0,0.0,0.0,1.0,5.101972575117579,4.47675
1.2508617765682841,0.0,0.0,0.0,1.0,5.101972575117579,4.47675
1.2583073823811906,0.0,0.0,0.0,1.0,5.101972575117579,4.47675
1.265752988194097,0.0,0.0,0.0,1.0,5.101972575117579,4.47675
1.2731985940070034,0.0,0.0,0.0,1.0,5.101972575117579,4.47675
1.2806441998199098,0.0,0.0,0.0,1.0,5.101972575117579,4.47675
1.2880898056328165,0.0,0.0,0.0,1.0,5.101972575117579,4.47675
1.295535411445723,0.0,0.0,0.0,1.0,5.101972575117579,4.47675
1.3029810172586294,0.0,0.0,0.0,1.0,5.101972575117579,4.47675
1.3104266230715358,0.0,0.0,0.0,1.0,5.101972575117579,4.47675
1.3178722288844422,0.0,0.0,0.0,1.0,5.101972575117579,4.47675
1.3253178346973487,0.0,0.0,0.0,1.0,5.101972575117579,4.47675
1.332763440510255,0.0,0.0,0.0,1.0,5.101972575117579,4.47675
1.3402090463231615,0.0,0.0,0.0,1.0,5.101972575117579,4.47675
1.347654652136068,0.0,0.0,0.0,1.0,5.101972575117579,4.47675
1.3551002579489744,0.0,0.0,0.0,1.0,5.101972575117579,4.47675
1.362545863761881,0.0,0.0,0.0,1.0,5.101972575117579,4.47675
1.3699914695747875,0.0,0.0,0.0,1.0,5.101972575117579,4.47675
1.3774370753876939,0.0,0.0,0.0,1.0,5.101972575117579,4.47675
1.3848826812006003,0.0,0.0,0.0,1.0,5.101972575117579,4.47675
1.3923282870135067,0.0,0.0,0.0,1.0,5.101972575117579,4.47675
1.3997738928264132,0.0,0.0,0.0,1.0,5.101972575117579,4.47675
1.4072194986393196,0.0,0.0,0.0,1.0,5.101972575117579,4.47675
1.414665104452226,0.0,0.0,0.0,1.0,5.101972575117579,4.47675
1.4221107102651325,0.0,0.0,0.0,1.0,5.101972575117579,4.47675
1.4295563160780391,0.0,0.0,0.0,1.0,5.101972575117579,4.47675
1.4370019218909456,0.0,0.0,0.0,1.0,5.101972575117579,4.47675
1.444447527703852,0.0,0.0,0.0,1.0,5.101972575117579,4.47675
1.4518931335167584,0.0,0.0,0.0,1.0,5.101972575117579,4.47675
1.4593387393296648,0.0,0.0,0.0,1.0,5.101972575117579,4.47675
