r (A),g(r)_weighted_U-Cl,g(r)_weighted_U-U,g(r)_weighted_K-U,g(r)_weighted_K-Cl,g(r)_weighted_K-K,g(r)_weighted_Cl-Cl,S_i_U-Cl,S_i_K-Cl,Average_SCL,lambda_BC
0.29337182213606805,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,3.022216748293571,0
0.2972834464312156,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,3.022216748293571,0
0.3011950707263632,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,3.022216748293571,0
0.3051066950215108,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,3.022216748293571,0
0.30901831931665835,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,3.022216748293571,0
0.3129299436118059,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,3.022216748293571,0
0.31684156790695345,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,3.022216748293571,0
0.320753192202101,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,3.022216748293571,0
0.3246648164972486,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,3.022216748293571,0
0.3285764407923962,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,3.022216748293571,0
0.33248806508754375,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,3.022216748293571,0
0.3363996893826913,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,3.022216748293571,0
0.3403113136778389,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,3.022216748293571,0
0.3442229379729865,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,3.022216748293571,0
0.34813456226813405,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,3.022216748293571,0
0.3520461865632816,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,3.022216748293571,0
0.3559578108584292,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,3.022216748293571,0
0.3598694351535768,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,3.022216748293571,0
0.36378105944872435,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,3.022216748293571,0
0.36769268374387193,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,3.022216748293571,0
0.3716043080390195,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,3.022216748293571,0
0.3755159323341671,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,3.022216748293571,0
0.37942755662931466,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,3.022216748293571,0
0.38333918092446223,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,3.022216748293571,0
0.3872508052196098,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,3.022216748293571,0
0.3911624295147574,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,3.022216748293571,0
0.39507405380990496,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,3.022216748293571,0
0.39898567810505253,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,3.022216748293571,0
0.4028973024002001,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,3.022216748293571,0
0.4068089266953477,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,3.022216748293571,0
0.41072055099049526,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,3.022216748293571,0
0.41463217528564283,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,3.022216748293571,0
0.4185437995807904,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,3.022216748293571,0
0.422455423875938,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,3.022216748293571,0
0.42636704817108556,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,3.022216748293571,0
0.43027867246623314,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,3.022216748293571,0
0.4341902967613807,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,3.022216748293571,0
0.43810192105652823,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,3.022216748293571,0
0.4420135453516758,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,3.022216748293571,0
0.4459251696468234,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,3.022216748293571,0
0.44983679394197096,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,3.022216748293571,0
0.45374841823711853,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,3.022216748293571,0
0.4576600425322661,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,3.022216748293571,0
0.4615716668274137,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,3.022216748293571,0
0.46548329112256126,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,3.022216748293571,0
0.46939491541770884,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,3.022216748293571,0
0.4733065397128564,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,3.022216748293571,0
0.477218164008004,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,3.022216748293571,0
0.48112978830315156,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,3.022216748293571,0
0.48504141259829914,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,3.022216748293571,0
0.4889530368934467,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,3.022216748293571,0
0.4928646611885943,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,3.022216748293571,0
0.49677628548374186,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,3.022216748293571,0
0.5006879097788894,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,3.022216748293571,0
0.504599534074037,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,3.022216748293571,0
0.5085111583691846,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,3.022216748293571,0
0.5124227826643322,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,3.022216748293571,0
0.5163344069594797,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,3.022216748293571,0
