r (A),g(r)_weighted_Mg-Cl,g(r)_weighted_K-Cl,g(r)_weighted_Mg-Mg,g(r)_weighted_K-K,g(r)_weighted_Na-Cl,g(r)_weighted_Cl-Cl,g(r)_weighted_Na-Na,S_i_Mg-Cl,S_i_K-Cl,S_i_Na-Cl,Average_SCL,lambda_BC
0.9383535964282141,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,2.7504001932673345,0
0.9457422074237118,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,2.7504001932673345,0
0.9531308184192095,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,2.7504001932673345,0
0.9605194294147074,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,2.7504001932673345,0
0.9679080404102051,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,2.7504001932673345,0
0.9752966514057029,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,2.7504001932673345,0
0.9826852624012006,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,2.7504001932673345,0
0.9900738733966984,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,2.7504001932673345,0
0.9974624843921961,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,2.7504001932673345,0
1.004851095387694,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,2.7504001932673345,0
1.0122397063831916,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,2.7504001932673345,0
1.0196283173786893,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,2.7504001932673345,0
1.027016928374187,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,2.7504001932673345,0
1.034405539369685,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,2.7504001932673345,0
1.0417941503651826,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,2.7504001932673345,0
1.0491827613606803,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,2.7504001932673345,0
1.056571372356178,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,2.7504001932673345,0
1.0639599833516757,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,2.7504001932673345,0
1.0713485943471737,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,2.7504001932673345,0
1.0787372053426714,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,2.7504001932673345,0
1.086125816338169,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,2.7504001932673345,0
1.0935144273336668,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,2.7504001932673345,0
1.1009030383291645,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,2.7504001932673345,0
1.1082916493246624,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,2.7504001932673345,0
1.11568026032016,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,2.7504001932673345,0
1.1230688713156578,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,2.7504001932673345,0
1.1304574823111555,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,2.7504001932673345,0
1.1378460933066532,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,2.7504001932673345,0
1.1452347043021511,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,2.7504001932673345,0
1.1526233152976488,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,2.7504001932673345,0
