r (A),g(r)_weighted_Li-F,g(r)_weighted_Li-Li,g(r)_weighted_F-F,S_i_Li-F,Average_SCL,lambda_BC
0.2055508596298149,0.0,0.0,0.0,1.0,3.4528409727148413,3.28553
0.21068963112056027,0.0,0.0,0.0,1.0,3.4528409727148413,3.28553
0.21582840261130565,0.0,0.0,0.0,1.0,3.4528409727148413,3.28553
0.22096717410205102,0.0,0.0,0.0,1.0,3.4528409727148413,3.28553
0.2261059455927964,0.0,0.0,0.0,1.0,3.4528409727148413,3.28553
0.23124471708354177,0.0,0.0,0.0,1.0,3.4528409727148413,3.28553
0.23638348857428715,0.0,0.0,0.0,1.0,3.4528409727148413,3.28553
0.24152226006503252,0.0,0.0,0.0,1.0,3.4528409727148413,3.28553
0.2466610315557779,0.0,0.0,0.0,1.0,3.4528409727148413,3.28553
0.2517998030465233,0.0,0.0,0.0,1.0,3.4528409727148413,3.28553
0.25693857453726865,0.0,0.0,0.0,1.0,3.4528409727148413,3.28553
0.262077346028014,0.0,0.0,0.0,1.0,3.4528409727148413,3.28553
0.2672161175187594,0.0,0.0,0.0,1.0,3.4528409727148413,3.28553
0.2723548890095048,0.0,0.0,0.0,1.0,3.4528409727148413,3.28553
0.2774936605002501,0.0,0.0,0.0,1.0,3.4528409727148413,3.28553
0.28263243199099547,0.0,0.0,0.0,1.0,3.4528409727148413,3.28553
0.28777120348174084,0.0,0.0,0.0,1.0,3.4528409727148413,3.28553
0.2929099749724862,0.0,0.0,0.0,1.0,3.4528409727148413,3.28553
0.2980487464632316,0.0,0.0,0.0,1.0,3.4528409727148413,3.28553
0.30318751795397697,0.0,0.0,0.0,1.0,3.4528409727148413,3.28553
0.30832628944472235,0.0,0.0,0.0,1.0,3.4528409727148413,3.28553
0.3134650609354677,0.0,0.0,0.0,1.0,3.4528409727148413,3.28553
0.3186038324262131,0.0,0.0,0.0,1.0,3.4528409727148413,3.28553
0.32374260391695847,0.0,0.0,0.0,1.0,3.4528409727148413,3.28553
0.32888137540770385,0.0,0.0,0.0,1.0,3.4528409727148413,3.28553
0.3340201468984492,0.0,0.0,0.0,1.0,3.4528409727148413,3.28553
