r (A),g(r)_weighted_Li-F,g(r)_weighted_Na-F,g(r)_weighted_K-F,g(r)_weighted_Li-Li,g(r)_weighted_F-F,g(r)_weighted_Li-Na,g(r)_weighted_K-Li,g(r)_weighted_Na-Na,g(r)_weighted_K-Na,g(r)_weighted_K-K,S_i_Li-F,S_i_Na-F,S_i_K-F,Average_SCL,lambda_BC
0.17863012054427216,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,2.3203265635040395,2.26059
0.18111109444072038,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,2.3203265635040395,2.26059
0.1835920683371686,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,2.3203265635040395,2.26059
0.18607304223361681,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,2.3203265635040395,2.26059
0.18855401613006503,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,2.3203265635040395,2.26059
0.19103499002651328,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,2.3203265635040395,2.26059
0.1935159639229615,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,2.3203265635040395,2.26059
0.19599693781940972,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,2.3203265635040395,2.26059
0.19847791171585794,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,2.3203265635040395,2.26059
0.20095888561230615,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,2.3203265635040395,2.26059
0.2034398595087544,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,2.3203265635040395,2.26059
0.20592083340520262,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,2.3203265635040395,2.26059
0.20840180730165084,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,2.3203265635040395,2.26059
0.21088278119809906,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,2.3203265635040395,2.26059
0.21336375509454727,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,2.3203265635040395,2.26059
0.21584472899099552,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,2.3203265635040395,2.26059
0.21832570288744374,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,2.3203265635040395,2.26059
0.22080667678389196,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,2.3203265635040395,2.26059
