r (A),g(r)_weighted_Na-Cl,g(r)_weighted_K-Na,g(r)_weighted_Na-Na,g(r)_weighted_K-K,g(r)_weighted_K-Cl,S_i_Na-Cl,S_i_K-Cl,Average_SCL,lambda_BC
0.6501170672046023,0.0,0.0,0.0,0.0,0.0,1.0,1.0,2.8868841842742845,4.32778
0.6550797929084542,0.0,0.0,0.0,0.0,0.0,1.0,1.0,2.8868841842742845,4.32778
0.6600425186123061,0.0,0.0,0.0,0.0,0.0,1.0,1.0,2.8868841842742845,4.32778
0.665005244316158,0.0,0.0,0.0,0.0,0.0,1.0,1.0,2.8868841842742845,4.32778
0.66996797002001,0.0,0.0,0.0,0.0,0.0,1.0,1.0,2.8868841842742845,4.32778
0.6749306957238619,0.0,0.0,0.0,0.0,0.0,1.0,1.0,2.8868841842742845,4.32778
0.6798934214277138,0.0,0.0,0.0,0.0,0.0,1.0,1.0,2.8868841842742845,4.32778
0.6848561471315657,0.0,0.0,0.0,0.0,0.0,1.0,1.0,2.8868841842742845,4.32778
0.6898188728354177,0.0,0.0,0.0,0.0,0.0,1.0,1.0,2.8868841842742845,4.32778
0.6947815985392696,0.0,0.0,0.0,0.0,0.0,1.0,1.0,2.8868841842742845,4.32778
0.6997443242431215,0.0,0.0,0.0,0.0,0.0,1.0,1.0,2.8868841842742845,4.32778
0.7047070499469734,0.0,0.0,0.0,0.0,0.0,1.0,1.0,2.8868841842742845,4.32778
0.7096697756508253,0.0,0.0,0.0,0.0,0.0,1.0,1.0,2.8868841842742845,4.32778
0.7146325013546773,0.0,0.0,0.0,0.0,0.0,1.0,1.0,2.8868841842742845,4.32778
0.7195952270585293,0.0,0.0,0.0,0.0,0.0,1.0,1.0,2.8868841842742845,4.32778
0.7245579527623812,0.0,0.0,0.0,0.0,0.0,1.0,1.0,2.8868841842742845,4.32778
0.7295206784662331,0.0,0.0,0.0,0.0,0.0,1.0,1.0,2.8868841842742845,4.32778
0.7344834041700851,0.0,0.0,0.0,0.0,0.0,1.0,1.0,2.8868841842742845,4.32778
0.739446129873937,0.0,0.0,0.0,0.0,0.0,1.0,1.0,2.8868841842742845,4.32778
0.7444088555777889,0.0,0.0,0.0,0.0,0.0,1.0,1.0,2.8868841842742845,4.32778
0.7493715812816408,0.0,0.0,0.0,0.0,0.0,1.0,1.0,2.8868841842742845,4.32778
0.7543343069854928,0.0,0.0,0.0,0.0,0.0,1.0,1.0,2.8868841842742845,4.32778
0.7592970326893447,0.0,0.0,0.0,0.0,0.0,1.0,1.0,2.8868841842742845,4.32778
0.7642597583931966,0.0,0.0,0.0,0.0,0.0,1.0,1.0,2.8868841842742845,4.32778
0.7692224840970485,0.0,0.0,0.0,0.0,0.0,1.0,1.0,2.8868841842742845,4.32778
0.7741852098009004,0.0,0.0,0.0,0.0,0.0,1.0,1.0,2.8868841842742845,4.32778
0.7791479355047524,0.0,0.0,0.0,0.0,0.0,1.0,1.0,2.8868841842742845,4.32778
0.7841106612086043,0.0,0.0,0.0,0.0,0.0,1.0,1.0,2.8868841842742845,4.32778
0.7890733869124562,0.0,0.0,0.0,0.0,0.0,1.0,1.0,2.8868841842742845,4.32778
0.7940361126163081,0.0,0.0,0.0,0.0,0.0,1.0,1.0,2.8868841842742845,4.32778
0.79899883832016,0.0,0.0,0.0,0.0,0.0,1.0,1.0,2.8868841842742845,4.32778
