r (A),g(r)_weighted_U-F,g(r)_weighted_F-F,g(r)_weighted_Li-F,g(r)_weighted_Na-F,S_i_U-F,S_i_Li-F,S_i_Na-F,Average_SCL,lambda_BC
0.062334558737368685,0.0,0.0,0.0,0.0,1.0,1.0,1.0,2.1914104763962823,0
0.06516794777088544,0.0,0.0,0.0,0.0,1.0,1.0,1.0,2.1914104763962823,0
0.06800133680440221,0.0,0.0,0.0,0.0,1.0,1.0,1.0,2.1914104763962823,0
0.07083472583791896,0.0,0.0,0.0,0.0,1.0,1.0,1.0,2.1914104763962823,0
0.07366811487143572,0.0,0.0,0.0,0.0,1.0,1.0,1.0,2.1914104763962823,0
0.07650150390495247,0.0,0.0,0.0,0.0,1.0,1.0,1.0,2.1914104763962823,0
0.07933489293846924,0.0,0.0,0.0,0.0,1.0,1.0,1.0,2.1914104763962823,0
0.08216828197198599,0.0,0.0,0.0,0.0,1.0,1.0,1.0,2.1914104763962823,0
0.08500167100550275,0.0,0.0,0.0,0.0,1.0,1.0,1.0,2.1914104763962823,0
0.0878350600390195,0.0,0.0,0.0,0.0,1.0,1.0,1.0,2.1914104763962823,0
0.09066844907253627,0.0,0.0,0.0,0.0,1.0,1.0,1.0,2.1914104763962823,0
0.09350183810605303,0.0,0.0,0.0,0.0,1.0,1.0,1.0,2.1914104763962823,0
0.09633522713956978,0.0,0.0,0.0,0.0,1.0,1.0,1.0,2.1914104763962823,0
0.09916861617308655,0.0,0.0,0.0,0.0,1.0,1.0,1.0,2.1914104763962823,0
0.1020020052066033,0.0,0.0,0.0,0.0,1.0,1.0,1.0,2.1914104763962823,0
0.10483539424012006,0.0,0.0,0.0,0.0,1.0,1.0,1.0,2.1914104763962823,0
0.10766878327363681,0.0,0.0,0.0,0.0,1.0,1.0,1.0,2.1914104763962823,0
0.11050217230715358,0.0,0.0,0.0,0.0,1.0,1.0,1.0,2.1914104763962823,0
0.11333556134067033,0.0,0.0,0.0,0.0,1.0,1.0,1.0,2.1914104763962823,0
0.11616895037418709,0.0,0.0,0.0,0.0,1.0,1.0,1.0,2.1914104763962823,0
0.11900233940770386,0.0,0.0,0.0,0.0,1.0,1.0,1.0,2.1914104763962823,0
0.1218357284412206,0.0,0.0,0.0,0.0,1.0,1.0,1.0,2.1914104763962823,0
0.12466911747473737,0.0,0.0,0.0,0.0,1.0,1.0,1.0,2.1914104763962823,0
0.12750250650825412,0.0,0.0,0.0,0.0,1.0,1.0,1.0,2.1914104763962823,0
0.13033589554177089,0.0,0.0,0.0,0.0,1.0,1.0,1.0,2.1914104763962823,0
0.13316928457528765,0.0,0.0,0.0,0.0,1.0,1.0,1.0,2.1914104763962823,0
0.13600267360880441,0.0,0.0,0.0,0.0,1.0,1.0,1.0,2.1914104763962823,0
0.13883606264232115,0.0,0.0,0.0,0.0,1.0,1.0,1.0,2.1914104763962823,0
0.14166945167583792,0.0,0.0,0.0,0.0,1.0,1.0,1.0,2.1914104763962823,0
0.14450284070935468,0.0,0.0,0.0,0.0,1.0,1.0,1.0,2.1914104763962823,0
0.14733622974287144,0.0,0.0,0.0,0.0,1.0,1.0,1.0,2.1914104763962823,0
0.15016961877638818,0.0,0.0,0.0,0.0,1.0,1.0,1.0,2.1914104763962823,0
0.15300300780990495,0.0,0.0,0.0,0.0,1.0,1.0,1.0,2.1914104763962823,0
0.1558363968434217,0.0,0.0,0.0,0.0,1.0,1.0,1.0,2.1914104763962823,0
0.15866978587693847,0.0,0.0,0.0,0.0,1.0,1.0,1.0,2.1914104763962823,0
0.16150317491045524,0.0,0.0,0.0,0.0,1.0,1.0,1.0,2.1914104763962823,0
0.16433656394397197,0.0,0.0,0.0,0.0,1.0,1.0,1.0,2.1914104763962823,0
0.16716995297748874,0.0,0.0,0.0,0.0,1.0,1.0,1.0,2.1914104763962823,0
0.1700033420110055,0.0,0.0,0.0,0.0,1.0,1.0,1.0,2.1914104763962823,0
0.17283673104452227,0.0,0.0,0.0,0.0,1.0,1.0,1.0,2.1914104763962823,0
0.175670120078039,0.0,0.0,0.0,0.0,1.0,1.0,1.0,2.1914104763962823,0
0.17850350911155577,0.0,0.0,0.0,0.0,1.0,1.0,1.0,2.1914104763962823,0
0.18133689814507253,0.0,0.0,0.0,0.0,1.0,1.0,1.0,2.1914104763962823,0
0.1841702871785893,0.0,0.0,0.0,0.0,1.0,1.0,1.0,2.1914104763962823,0
0.18700367621210606,0.0,0.0,0.0,0.0,1.0,1.0,1.0,2.1914104763962823,0
0.1898370652456228,0.0,0.0,0.0,0.0,1.0,1.0,1.0,2.1914104763962823,0
0.19267045427913956,0.0,0.0,0.0,0.0,1.0,1.0,1.0,2.1914104763962823,0
0.19550384331265633,0.0,0.0,0.0,0.0,1.0,1.0,1.0,2.1914104763962823,0
0.1983372323461731,0.0,0.0,0.0,0.0,1.0,1.0,1.0,2.1914104763962823,0
0.20117062137968983,0.0,0.0,0.0,0.0,1.0,1.0,1.0,2.1914104763962823,0
0.2040040104132066,0.0,0.0,0.0,0.0,1.0,1.0,1.0,2.1914104763962823,0
0.20683739944672336,0.0,0.0,0.0,0.0,1.0,1.0,1.0,2.1914104763962823,0
0.20967078848024012,0.0,0.0,0.0,0.0,1.0,1.0,1.0,2.1914104763962823,0
0.2125041775137569,0.0,0.0,0.0,0.0,1.0,1.0,1.0,2.1914104763962823,0
0.21533756654727362,0.0,0.0,0.0,0.0,1.0,1.0,1.0,2.1914104763962823,0
0.2181709555807904,0.0,0.0,0.0,0.0,1.0,1.0,1.0,2.1914104763962823,0
