Freq_rad_ps,VDOS_Na,VDOS_K,VDOS_Mg
1.768015291407482081e+01,2.962438068211249720e-02,4.059758053419004059e-02,1.118427175814730272e-02
1.776989988318180025e+01,3.201099588441275179e-02,3.730878004935537368e-02,1.226461263026488481e-02
1.785964685228877968e+01,3.342067256913915096e-02,3.839232707386787402e-02,1.275161155288518505e-02
1.794939382139575912e+01,3.450740759909329963e-02,3.895418477906891636e-02,1.165114114843112704e-02
1.803914079050273855e+01,2.777892144053517934e-02,4.059387749084290842e-02,1.333246341887509706e-02
1.812888775960971799e+01,2.544288076343209637e-02,4.737906994770336305e-02,1.233852995974061596e-02
1.821863472871669742e+01,2.314392874802944505e-02,4.139268402367284050e-02,1.243155111832429903e-02
1.830838169782367331e+01,2.670134847842906695e-02,3.847934502816700159e-02,1.137566800686751027e-02
1.839812866693065274e+01,3.011846577218399434e-02,3.649751461292091714e-02,1.177818765978725854e-02
1.848787563603763218e+01,2.879926707803657018e-02,4.041717209199315042e-02,1.183763872260846887e-02
1.857762260514461161e+01,2.868449725001743361e-02,3.504905698226034455e-02,1.069140538701164080e-02
1.866736957425159105e+01,2.947351072090534027e-02,3.687741179171863393e-02,1.262598706627058101e-02
1.875711654335857048e+01,2.881844264129862151e-02,3.107657433170029140e-02,1.220952666979331636e-02
1.884686351246554636e+01,2.984644408400133689e-02,2.887254903870937334e-02,1.089369848370665833e-02
1.893661048157252580e+01,3.285849507299836575e-02,3.646448022598366284e-02,1.149139805214523420e-02
1.902635745067950523e+01,3.650679145922900576e-02,3.508112312778704361e-02,1.044843524465760218e-02
1.911610441978648467e+01,3.485755382603791808e-02,2.920816641501942229e-02,1.104348604560499020e-02
1.920585138889346055e+01,3.227485874722067771e-02,3.289387743952564003e-02,1.194151734232701614e-02
1.929559835800043999e+01,2.856418698953336333e-02,3.594307058627570217e-02,1.271571865244008372e-02
1.938534532710741942e+01,2.840100159338556154e-02,3.586402764954631228e-02,1.445315718798685645e-02
1.947509229621439886e+01,2.699066671244272284e-02,3.860352300374274293e-02,1.230659323557286092e-02
1.956483926532137829e+01,3.071140845749924936e-02,3.832264280500358861e-02,1.029023566225996736e-02
1.965458623442835773e+01,3.044287794069723552e-02,3.438367141075322070e-02,1.056982681777534488e-02
1.974433320353533716e+01,2.862332510939841895e-02,3.202213265293732403e-02,1.018483789948001865e-02
1.983408017264231660e+01,3.286654392285318083e-02,3.355013577991926288e-02,1.208201746027807479e-02
