Step,Volume_A3,P_yz_eV_A3,P_xz_eV_A3,P_xy_eV_A3,J_Mg_x,J_Mg_y,J_Mg_z,J_Cl_x,J_Cl_y,J_Cl_z,J_K_x,J_K_y,J_K_z,J_Na_x,J_Na_y,J_Na_z
50,7996.158752467902,0.00027754848,-0.0007027405,-4.903985e-05,-21.745131415358102,7.192065882711948,-5.372608384626689,24.815252508245116,-10.371341912625242,-21.547210922371168,-0.2154395631511301,-0.2425456993841646,3.6470142548190925,-0.25395860482787835,12.8551575427813,7.365498458497698
55,7996.158752467902,0.0004335706,-0.0004543794,-0.00028288187,-20.342621104740303,4.432271087932213,-7.5187717514053265,23.804505299766838,-7.513858027942684,-19.697742122278324,-1.3809574262665132,1.059408108231354,2.838961841711731,0.5197964923372433,11.455514622164987,8.470245712745893
60,7996.158752467902,0.000670523,-0.00019589759,-0.00050292525,-18.17055952705362,1.5632038490919964,-9.568482767543061,22.145079364100674,-4.291648723829917,-17.50968779270818,-2.4330678601360427,2.3896267353484744,1.879510693090575,1.0592714847825642,9.77215408977317,9.291353649504956
65,7996.158752467902,0.0009235865,5.3025393e-05,-0.00069216435,-15.525617950704529,-0.9967467281959683,-11.32394355228451,19.984566079624575,-1.1471421425276596,-15.129259012990708,-3.3153175415315213,3.6906516483214085,0.783420949488951,1.4570932033634358,7.886573173553546,9.762475492725276
70,7996.158752467902,0.001128394,0.00028800004,-0.00083699153,-12.629968401182325,-2.9568650247266763,-12.653724914620291,17.386608171194027,1.5768669073249448,-12.6601996002811,-3.9963745525416465,4.927592158310334,-0.4228689128518306,1.840458153932084,5.885741811253314,9.829487400945869
75,7996.158752467902,0.0012413324,0.0004986962,-0.0009212912,-9.591709280844427,-4.22496444576168,-13.486999996573903,14.325038226958942,3.71803433017973,-10.185083554623034,-4.473616910323153,6.084675507379915,-1.7036659464225368,2.3410111340158233,3.8555904171302195,9.468443323976022
80,7996.158752467902,0.0012541298,0.00066451123,-0.0009296218,-6.452633715256001,-4.955455624977867,-13.786621494076712,10.770620419801205,5.358149460243087,-7.813935049284334,-4.7696081012733424,7.157083341378938,-3.0189468085751123,3.0523449738989052,1.873558559127917,8.712197245856874
85,7996.158752467902,0.0011982606,0.0007705585,-0.00085989217,-3.251119949265034,-5.462568350877657,-13.589955739884203,6.7819541922336235,6.755352359879875,-5.655024625094445,-4.920645638174983,8.141529888722333,-4.331338619450964,3.9905347638009308,-0.0009781706390699085,7.669012617878864
90,7996.158752467902,0.0011145556,0.0008248758,-0.00071952195,-0.046642945980623685,-6.011224300312417,-13.034164892949665,2.520625585534668,8.150840725865214,-3.766089904772307,-4.960848714831308,9.028940273936358,-5.613436913985046,5.0875896637039455,-1.7352211263856647,6.506385153373842
95,7996.158752467902,0.0010101689,0.0008650342,-0.0005052599,3.0201088036124712,-6.655472242701901,-12.253286899216508,-1.7439448573595038,9.610063687151223,-2.1957382962163683,-4.909256466164742,9.801652809103006,-6.852195068511341,6.233815643284722,-3.322909057205476,5.393913539406346
100,7996.158752467902,0.00086234603,0.0009438608,-0.00020723871,5.63811433600547,-7.254007230592062,-11.251457461727,-5.610040996442822,11.024836455497882,-1.05084120202351,-4.765814557735802,10.436050067386576,-8.04782294578907,7.338464239498969,-4.773544509116262,4.442814669156792
105,7996.158752467902,0.0006630783,0.0010920662,0.00014826035,7.375616379664804,-7.6363888212501,-9.937349044823236,-8.617894265879784,12.260500416585883,-0.4491762250463234,-4.516479567630676,10.909438858398106,-9.207661329573588,8.359480485858036,-6.100215498879705,3.6868799104919843
