Mode_Index,Frequency_cm-1,Type,Participation_Ratio
142,(35.34268350561252+0j),Real,0.47705421418323773
143,(35.713527849778686+0j),Real,0.43278851568867405
144,(35.976157061569964+0j),Real,0.4356461742324889
145,(36.26393073843991+0j),Real,0.38762427458691634
146,(36.53420466122935+0j),Real,0.4202774239240671
147,(36.94915270012909+0j),Real,0.4448452070827846
148,(37.28314435850874+0j),Real,0.4273544563860442
149,(37.93844837285364+0j),Real,0.4558089322209919
150,(38.42122513652334+0j),Real,0.45491538962712585
151,(38.61328962092907+0j),Real,0.16799269746670614
152,(39.437164197026036+0j),Real,0.3658499833751644
153,(39.63519263156395+0j),Real,0.48437879001591
154,(40.27914111147978+0j),Real,0.4044016380003562
155,(40.4855564353862+0j),Real,0.3890824217462284
156,(40.68373359811377+0j),Real,0.3892249638005038
157,(40.73948259257321+0j),Real,0.4855011305740172
158,(41.11814004677024+0j),Real,0.48168730937231463
159,(41.84317352056154+0j),Real,0.5645473101839836
160,(42.072678105290656+0j),Real,0.5153924147380119
161,(42.514242386285254+0j),Real,0.37658538293249316
162,(42.966931274312756+0j),Real,0.27358777069748
163,(43.297316072684325+0j),Real,0.4403324465422898
164,(43.590708212105696+0j),Real,0.4510915119421966
165,(43.71562942897271+0j),Real,0.4225849706914336
166,(43.89387033098463+0j),Real,0.3906918268017274
167,(44.653828894940816+0j),Real,0.42912012818420925
168,(44.7930707631969+0j),Real,0.4113786113261056
169,(45.16030081841914+0j),Real,0.4267702984928301
170,(45.67100473209719+0j),Real,0.42469585678880944
171,(46.10142582230833+0j),Real,0.4978594321110703
172,(46.196291439628276+0j),Real,0.46632904779124007
173,(46.568185024975215+0j),Real,0.3870983959347001
174,(46.8476888298405+0j),Real,0.32998494697041847
175,(47.17556988296075+0j),Real,0.3206387038330169
176,(47.43298023745749+0j),Real,0.32556795503728314
177,(47.9625653358277+0j),Real,0.31706594720566783
178,(48.1598267107241+0j),Real,0.37241467676430157
179,(48.46919403709064+0j),Real,0.2747611783801982
180,(48.916044489792185+0j),Real,0.4728108476627647
181,(49.27793384916833+0j),Real,0.41559825262237127
182,(49.58263974068197+0j),Real,0.43717889057764053
183,(49.702929601348465+0j),Real,0.4576177321784505
184,(49.837728435475995+0j),Real,0.49625470630108537
