r (A),g(r)_weighted_K-Cl,g(r)_weighted_Li-Cl,S_i_K-Cl,S_i_Li-Cl,Average_SCL,SCL_BC
0.5122133089044523,0.0,0.0,1.0,1.0,2.692709838088354,0
0.5161534112806404,0.0,0.0,1.0,1.0,2.692709838088354,0
0.5200935136568284,0.0,0.0,1.0,1.0,2.692709838088354,0
0.5240336160330166,0.0,0.0,1.0,1.0,2.692709838088354,0
0.5279737184092047,0.0,0.0,1.0,1.0,2.692709838088354,0
0.5319138207853927,0.0,0.0,1.0,1.0,2.692709838088354,0
0.5358539231615809,0.0,0.0,1.0,1.0,2.692709838088354,0
0.539794025537769,0.0,0.0,1.0,1.0,2.692709838088354,0
0.543734127913957,0.0,0.0,1.0,1.0,2.692709838088354,0
0.5476742302901452,0.0,0.0,1.0,1.0,2.692709838088354,0
0.5516143326663332,0.0,0.0,1.0,1.0,2.692709838088354,0
0.5555544350425213,0.0,0.0,1.0,1.0,2.692709838088354,0
0.5594945374187095,0.0,0.0,1.0,1.0,2.692709838088354,0
0.5634346397948975,0.0,0.0,1.0,1.0,2.692709838088354,0
0.5673747421710856,0.0,0.0,1.0,1.0,2.692709838088354,0
0.5713148445472737,0.0,0.0,1.0,1.0,2.692709838088354,0
0.5752549469234618,0.0,0.0,1.0,1.0,2.692709838088354,0
0.5791950492996499,0.0,0.0,1.0,1.0,2.692709838088354,0
0.583135151675838,0.0,0.0,1.0,1.0,2.692709838088354,0
0.5870752540520261,0.0,0.0,1.0,1.0,2.692709838088354,0
0.5910153564282142,0.0,0.0,1.0,1.0,2.692709838088354,0
0.5949554588044023,0.0,0.0,1.0,1.0,2.692709838088354,0
0.5988955611805904,0.0,0.0,1.0,1.0,2.692709838088354,0
0.6028356635567784,0.0,0.0,1.0,1.0,2.692709838088354,0
0.6067757659329666,0.0,0.0,1.0,1.0,2.692709838088354,0
0.6107158683091547,0.0,0.0,1.0,1.0,2.692709838088354,0
0.6146559706853427,0.0,0.0,1.0,1.0,2.692709838088354,0
0.6185960730615309,0.0,0.0,1.0,1.0,2.692709838088354,0
0.622536175437719,0.0,0.0,1.0,1.0,2.692709838088354,0
0.626476277813907,0.0,0.0,1.0,1.0,2.692709838088354,0
0.6304163801900952,0.0,0.0,1.0,1.0,2.692709838088354,0
0.6343564825662832,0.0,0.0,1.0,1.0,2.692709838088354,0
0.6382965849424713,0.0,0.0,1.0,1.0,2.692709838088354,0
0.6422366873186595,0.0,0.0,1.0,1.0,2.692709838088354,0
0.6461767896948475,0.0,0.0,1.0,1.0,2.692709838088354,0
0.6501168920710356,0.0,0.0,1.0,1.0,2.692709838088354,0
0.6540569944472236,0.0,0.0,1.0,1.0,2.692709838088354,0
0.6579970968234118,0.0,0.0,1.0,1.0,2.692709838088354,0
0.6619371991995999,0.0,0.0,1.0,1.0,2.692709838088354,0
0.665877301575788,0.0,0.0,1.0,1.0,2.692709838088354,0
0.6698174039519761,0.0,0.0,1.0,1.0,2.692709838088354,0
0.6737575063281642,0.0,0.0,1.0,1.0,2.692709838088354,0
0.6776976087043523,0.0,0.0,1.0,1.0,2.692709838088354,0
0.6816377110805404,0.0,0.0,1.0,1.0,2.692709838088354,0
0.6855778134567284,0.0,0.0,1.0,1.0,2.692709838088354,0
0.6895179158329166,0.0,0.0,1.0,1.0,2.692709838088354,0
0.6934580182091047,0.0,0.0,1.0,1.0,2.692709838088354,0
0.6973981205852927,0.0,0.0,1.0,1.0,2.692709838088354,0
0.7013382229614809,0.0,0.0,1.0,1.0,2.692709838088354,0
0.7052783253376689,0.0,0.0,1.0,1.0,2.692709838088354,0
0.709218427713857,0.0,0.0,1.0,1.0,2.692709838088354,0
0.7131585300900452,0.0,0.0,1.0,1.0,2.692709838088354,0
0.7170986324662332,0.0,0.0,1.0,1.0,2.692709838088354,0
0.7210387348424213,0.0,0.0,1.0,1.0,2.692709838088354,0
0.7249788372186095,0.0,0.0,1.0,1.0,2.692709838088354,0
0.7289189395947975,0.0,0.0,1.0,1.0,2.692709838088354,0
0.7328590419709856,0.0,0.0,1.0,1.0,2.692709838088354,0
0.7367991443471736,0.0,0.0,1.0,1.0,2.692709838088354,0
0.7407392467233618,0.0,0.0,1.0,1.0,2.692709838088354,0
0.7446793490995499,0.0,0.0,1.0,1.0,2.692709838088354,0
0.7486194514757379,0.0,0.0,1.0,1.0,2.692709838088354,0
0.7525595538519261,0.0,0.0,1.0,1.0,2.692709838088354,0
0.7564996562281141,0.0,0.0,1.0,1.0,2.692709838088354,0
0.7604397586043022,0.0,0.0,1.0,1.0,2.692709838088354,0
0.7643798609804904,0.0,0.0,1.0,1.0,2.692709838088354,0
0.7683199633566784,0.0,0.0,1.0,1.0,2.692709838088354,0
0.7722600657328665,0.0,0.0,1.0,1.0,2.692709838088354,0
