Li-Li,,Be-F,,Be-Be,,F-F,,Li-F,,Th-F,
R (A),RDF,R (A),RDF,R (A),RDF,R (A),RDF,R (A),RDF,R (A),RDF
2.764440419,1.200208486,1.771492549,1.498022364,3.051441085,1.678938348,3.943438914,0.716888577,2.112767552,1.843038542,2.510510544,2.681284104
2.774453861,1.225580488,1.781843331,1.329199761,3.072580645,1.599000625,4.011312217,0.713034338,2.132401423,1.737598667,2.526190673,2.386009516
2.78689914,1.262042766,1.810677653,0.938901962,3.114919355,1.408494691,4.058823529,0.726524177,2.154936334,1.612661232,2.546383575,2.16124727
2.810502254,1.290845573,1.844516339,0.621732765,3.133064516,1.299188007,4.136877828,0.755430974,2.185735,1.46384337,2.565258104,1.939608567
2.820801794,1.31589843,1.897919961,0.337328542,3.152967583,1.15698932,4.225113122,0.79782761,2.195589908,1.415223485,2.577160526,1.755851143
2.829384745,1.335685399,1.936659974,0.216608309,3.158554147,1.115717906,4.29755724,0.833585634,2.203504033,1.361455471,2.599412467,1.55315308
2.837967695,1.35898296,2.029817015,0.084481298,3.190524194,1.005621487,4.324952175,0.846849253,2.214049736,1.31021615,2.6237034,1.377370661
2.848267236,1.384035817,2.111850866,0.048166393,3.217741935,0.861961274,4.350588874,0.864530109,2.232489879,1.254395492,2.636518076,1.271203396
2.863140325,1.41220715,2.197070573,0.030103996,3.251008065,0.696439725,4.411764706,0.901892081,2.247347036,1.196878644,2.648743624,1.159553316
2.883457333,1.437460635,2.335552597,0.024083196,3.272177419,0.599625234,4.520361991,0.959705676,2.259233361,1.145518333,2.66547332,1.041423543
2.896331759,1.467691614,2.394141145,0.024083196,3.305071111,0.493287754,4.649321267,1.03293623,2.27821251,1.092524656,2.686813007,0.944236071
2.916563,1.495234939,2.474034621,0.024083196,3.329637097,0.4091193,4.681251073,1.055364299,2.294478138,1.044165831,2.705237691,0.867397524
2.933083177,1.519140394,2.548601864,0.036124795,3.353830645,0.370081199,4.70958653,1.07191916,2.312759797,0.997789383,2.729818308,0.774260849
2.963278773,1.550059806,2.671565517,0.083042734,3.399923526,0.308243309,4.72680047,1.082988618,2.329187308,0.949695805,2.756918403,0.666028628
2.989194216,1.596063849,2.718144037,0.09886018,3.477822581,0.284197377,4.748225789,1.091399569,2.353663444,0.910255348,2.786604861,0.583928792
3.01396316,1.611520557,2.766016405,0.120752595,3.532258065,0.274828232,4.825791855,1.113875263,2.380975154,0.862365636,2.819328883,0.503932771
3.032935609,1.585701799,2.811301078,0.146266351,3.616086326,0.296776748,4.891784115,1.144227825,2.401834788,0.811254786,2.855988805,0.437936911
3.060817676,1.629707781,2.901795002,0.207369362,3.75394188,0.443458983,4.922572716,1.156591668,2.433656464,0.764217933,2.891696069,0.356162155
3.083248151,1.635615236,2.951036639,0.247021315,3.766342563,0.465526472,4.951725887,1.169756635,2.467661247,0.722387146,2.950947779,0.26633969
3.12877445,1.616756111,2.997615159,0.291873525,3.798387097,0.571517801,4.972333492,1.172217838,2.503275256,0.679088413,3.015455731,0.238291278
3.174186453,1.646985137,3.0907722,0.391328424,3.87862506,0.660178521,4.992941097,1.175973425,2.540654477,0.643106812,3.07207932,0.189936293
3.21546225,1.656106649,3.18392924,0.503474954,3.900047672,0.700752506,5.013548701,1.182555909,2.57264933,0.616755161,3.128702909,0.201484568
3.233486446,1.630773332,3.277086281,0.622693658,3.949656364,0.75808531,5.034156306,1.189504086,2.61335522,0.595998605,3.185326497,0.211330366
3.2493731,1.604305556,3.323664801,0.686792478,3.972717702,0.799364929,5.054763911,1.189869779,2.660365612,0.58782867,3.241950086,0.188602875
3.26752604,1.621338724,3.370243321,0.753396261,3.987630105,0.818523214,5.072795565,1.187455068,2.71909575,0.582462058,3.298573675,0.184725397
3.295128421,1.611962847,3.419484958,0.799378024,4.03119041,0.912762915,5.117647059,1.187105816,2.775682453,0.58672541,3.355197264,0.191166244
3.311609627,1.580788507,3.509978882,0.87851142,4.051227554,0.960514211,5.178733032,1.183251577,2.832269155,0.596617904,3.411820853,0.21382899
3.328990102,1.558927097,3.556557403,0.926134269,4.079666892,1.012590653,5.25,1.171688858,2.888855858,0.597251552,3.468444442,0.222257108
3.338353712,1.533377793,3.603135923,0.978307342,4.121284562,1.046248804,5.293509603,1.147547982,2.94699114,0.612752596,3.525068031,0.253360932
3.356500522,1.508912567,3.652377559,1.026409711,4.137171262,1.082236164,5.317510873,1.14206258,3.009462138,0.633882864,3.58169162,0.269457192
3.37338854,1.48651694,3.740208368,1.121516909,4.171658986,1.122649777,5.347358952,1.135282792,3.069759699,0.640726871,3.638315209,0.278522249
3.402601759,1.47499908,3.828039177,1.211903372,4.211480017,1.143979184,5.384485589,1.124874984,3.117834247,0.675202545,3.67128571,0.331447288
3.4315197,1.441481858,3.882607045,1.252375869,4.312876694,1.220307417,5.415274189,1.120022316,3.172605333,0.704160109,3.738421782,0.333589865
