Li-Li,,Be-F,,Be-Be,,F-F,,Li-F,,Th-F,
3.872993113,0.957252061,2.335552597,0.024083196,3.236497894,0.8325077,3.025691613,1.378544392,2.259233361,1.145518333,2.66547332,1.041423543
3.905257596,0.935101325,2.394141145,0.024083196,3.240341451,0.80571564,3.047801855,1.355331642,2.27821251,1.092524656,2.686813007,0.944236071
3.936585366,0.915576265,2.474034621,0.024083196,3.259302995,0.746442341,3.06372782,1.32288357,2.294478138,1.044165831,2.705237691,0.867397524
4.021090768,0.896817811,2.548601864,0.036124795,3.262121603,0.713431876,3.084161698,1.298382104,2.312759797,0.997789383,2.729818308,0.774260849
4.072976645,0.88862145,2.671565517,0.083042734,3.268065708,0.682670622,3.106527539,1.277171879,2.329187308,0.949695805,2.756918403,0.666028628
4.143123935,0.861325493,2.718144037,0.09886018,3.282826156,0.645889423,3.133104759,1.251376028,2.348400286,0.910255348,2.786604861,0.583928792
4.191599275,0.859060675,2.766016405,0.120752595,3.285182941,0.615525087,3.173076923,1.210231254,2.373080417,0.862365636,2.819328883,0.503932771
4.237691661,0.853617374,2.811301078,0.146266351,3.293227594,0.568887056,3.227375566,1.14470918,2.399203209,0.811254786,2.855988805,0.437936911
4.286614479,0.821310792,2.901795002,0.207369362,3.314516129,0.490318551,3.288461538,1.092676945,2.431024885,0.764217933,2.896952311,0.376520461
4.370809342,0.821004696,2.951036639,0.247021315,3.342374464,0.395565579,3.335972851,1.056061668,2.465029668,0.722387146,2.958832142,0.286697996
4.422151776,0.804933888,2.997615159,0.291873525,3.381048387,0.337289194,3.397058824,1.005956552,2.503275256,0.685215864,3.015455731,0.2464346
4.476534903,0.819280454,3.0907722,0.391328424,3.440668203,0.249064135,3.43438914,0.967414156,2.543286056,0.651276746,3.07207932,0.226581244
4.539509607,0.832609373,3.18392924,0.503474954,3.483766685,0.239731853,3.474888475,0.930494418,2.577912488,0.635137514,3.128702909,0.225914535
4.599353044,0.814610358,3.277086281,0.628714457,3.586261521,0.245938989,3.547832807,0.874788238,2.61335522,0.614380958,3.185326497,0.227617011
4.678553406,0.842476324,3.323664801,0.692813277,3.63857411,0.286585015,3.573592313,0.858525932,2.660365612,0.593956121,3.241950086,0.200817859
4.751659442,0.842136585,3.370243321,0.759417061,3.681531066,0.31401878,3.603563199,0.838310734,2.71909575,0.574292124,3.298573675,0.19286872
4.876030278,0.888898096,3.419484958,0.805398823,3.713647959,0.347746241,3.678733032,0.793973371,2.775682453,0.588767894,3.355197264,0.187094583
5.028336676,0.943338082,3.509978882,0.884532219,3.728115565,0.387534884,3.773755656,0.753503854,2.832269155,0.600702871,3.411820853,0.205685668
5.09504961,0.968973957,3.556557403,0.926134269,3.743989684,0.407272309,3.882352941,0.726524177,2.896750595,0.634016258,3.468444442,0.222257108
5.144206508,0.978809416,3.603135923,0.972286542,3.767829334,0.427505285,3.963800905,0.724597057,2.94699114,0.635219916,3.525068031,0.24928927
5.180254901,0.997870765,3.652377559,1.014368113,3.785202805,0.444518974,4.048642534,0.728451296,3.009462138,0.644095283,3.58169162,0.273528854
5.267800996,1.042260742,3.740208368,1.091412914,3.794496139,0.46664814,4.095692571,0.74408597,3.061864963,0.669321642,3.638315209,0.274450588
5.323590175,1.055556164,3.828039177,1.163736979,3.823389173,0.477410558,4.124845742,0.759178057,3.115202668,0.695627381,3.668657589,0.33959061
5.381095944,1.067908514,3.882607045,1.210230275,3.832994001,0.536729661,4.150605249,0.770002585,3.169973754,0.724584946,3.733165541,0.358019832
5.432593647,1.087763181,3.929185565,1.245982036,3.873708883,0.562529423,4.176364755,0.783803689,3.224890689,0.760112186,3.808185976,0.43185986
5.48409135,1.11142795,3.981090317,1.275233477,3.909216022,0.596293397,4.202124261,0.792287779,3.286369534,0.78687261,3.864809565,0.484894924
5.533404695,1.12854571,4.060931778,1.310676228,3.926690796,0.630832638,4.227883767,0.80306128,3.331142074,0.818979769,3.921433154,0.557841635
5.593424936,1.143184107,4.11283653,1.279272168,3.940334589,0.677861575,4.257036938,0.821250706,3.392991935,0.842873927,3.972909144,0.63601005
5.643578961,1.153874191,4.183383093,1.251629802,3.984356717,0.710820012,4.279402779,0.841093407,3.441219238,0.866017461,4.034951938,0.744478811
5.712201592,1.171838245,4.24724586,1.191000651,3.999169287,0.756523786,4.30176862,0.861330716,3.506284252,0.906179303,4.081117365,0.806600973
5.745351123,1.157636999,4.301813728,1.137842186,4.017878661,0.794876423,4.334315456,0.868886115,3.567280308,0.94740702,4.137740954,0.883451029
5.78777253,1.161968861,4.394970768,1.054684253,4.027451136,0.837469193,4.360074962,0.88439152,3.615909248,0.978861409,4.191736422,0.953161104
5.882189299,1.176242894,4.480138461,0.992668367,4.033088352,0.869884278,4.382440803,0.901238936,3.668884515,1.015854252,4.245894854,1.015485237
5.960289836,1.153446976,4.540032561,0.938900375,4.050382653,0.8971104,4.404806644,0.911478354,3.72833245,1.05541995,4.286912682,1.073284583
,,4.62786337,0.849922315,4.104334452,0.894133005,4.433959815,0.920840109,3.778691449,1.087712197,4.343536271,1.135175036
,,4.705041715,0.795072787,4.119696488,0.952575822,4.456325656,0.935347086,3.837817885,1.120232655,4.40015986,1.261014543
,,4.767598931,0.756379876,4.127383601,0.988774873,4.485478827,0.941904056,3.917949712,1.166750399,4.456783449,1.295503802
,,4.85542974,0.72092297,4.164110917,1.013216288,4.511238333,0.953021139,3.994224141,1.215963287,4.513407038,1.345056313
,,4.928639418,0.707488975,4.188880502,1.045984191,4.536997839,0.964964859,4.040851515,1.234851245,4.572658748,1.393704698
,,4.997828416,0.700200123,4.199129986,1.080913099,4.562757345,0.97169362,4.084498262,1.25521722,4.626654216,1.425181804
,,5.057722516,0.696903797,4.217920706,1.121266573,4.588516852,0.980642056,4.126652215,1.270452782,4.683277805,1.491273435
,,5.132237746,0.693699803,4.239204275,1.152306286,4.621063688,0.994271368,4.174917278,1.278580727,4.739901394,1.516745545
,,5.194794961,0.697120474,4.274366307,1.189693921,4.652714932,1.021373511,4.223609244,1.282259678,4.775500016,1.521542207
,,5.279962654,0.689799611,4.317348074,1.16534199,4.693313112,1.040392976,4.277564368,1.275274048,4.811098637,1.547661717
,,5.362467231,0.697738494,4.344261481,1.2158657,4.725737141,1.056757336,4.329316599,1.261500173,4.854581622,1.517513778
,,5.422361331,0.729451564,4.369806446,1.24591817,4.801973298,1.085182779,4.392582923,1.234263045,4.942742661,1.51654286
,,5.512855255,0.766194379,4.38362069,1.289016307,4.832414444,1.097715011,4.435104091,1.204680805,4.99936625,1.433666192
,,5.606012296,0.802425662,4.448891626,1.314875042,4.858173951,1.107661875,4.475809982,1.176471257,5.050733598,1.429454389
,,5.696506221,0.836877359,4.468501708,1.377521131,4.887327122,1.123218307,4.510341982,1.155238265,5.104729066,1.343846035
,,5.745747857,0.858669438,4.48528765,1.330027283,4.916480293,1.125628483,4.547829421,1.133627253,5.161352655,1.254081862
,,5.792326377,0.872970142,4.498465557,1.309803294,4.942239799,1.133991808,4.582717661,1.108734233,5.20746376,1.204781827
,,5.885483418,0.901571551,4.502666653,1.355718255,4.967999305,1.142304107,4.62087771,1.082879493,5.248318623,1.141635556
,,5.965701981,0.916684796,4.511277411,1.398640936,4.990365146,1.153300427,4.657953253,1.060583261,5.304942212,1.140095021
,,,,4.536290323,1.430356027,5.016124652,1.163419081,4.713771659,1.020558518,5.369450164,1.058016704
,,,,4.584677419,1.449094316,5.041884158,1.158979732,4.766624444,0.993206106,5.426073753,0.989845038
,,,,4.647649174,1.480570949,5.067643664,1.16249039,4.820579568,0.971021866,5.487953584,0.962184993
,,,,4.719442004,1.511084694,5.09340317,1.170096815,4.87716627,0.948336217,5.589769988,0.858649635
,,,,4.773101065,1.47002699,5.119162676,1.169339915,4.933752973,0.924426317,5.645878817,0.847181693
,,,,4.814611473,1.500776916,5.148315847,1.17828835,4.990339675,0.902648093,5.698498718,0.832806119
,,,,4.847775873,1.456663477,5.170681688,1.181678244,5.046926378,0.890171761,5.759125995,0.784300831
,,,,4.876911846,1.444261027,5.196441194,1.174777692,5.10351308,0.875379167,5.815749584,0.768823345
,,,,4.902038972,1.491024698,5.2222007,1.176412257,5.160099783,0.867350773,5.872373172,0.74729338
,,,,4.932822183,1.507893773,5.247960207,1.177875031,5.216686485,0.873619764,5.928996761,0.74205006
,,,,4.982291832,1.487572982,5.273719713,1.173779264,5.273273188,0.877929647,5.970177553,0.740553425
,,,,5.032880322,1.473086994,5.299479219,1.165880284,5.32985989,0.878249187,,
,,,,5.055406659,1.446794337,5.325238725,1.158979732,5.390985633,0.883415491,,
,,,,5.108651478,1.446343572,5.350998231,1.151373307,5.443033295,0.888870722,,
,,,,5.159095423,1.459621142,5.376757737,1.144059436,5.496850019,0.89230731,,
,,,,5.189382051,1.419493191,5.402517243,1.136453011,5.555890032,0.906765938,,
,,,,5.20922782,1.39363329,5.428276749,1.132064689,5.612793403,0.909647676,,
,,,,5.23740267,1.371643646,5.454036255,1.128725822,5.66823694,0.920651962,,
,,,,5.257567933,1.445827039,5.483189426,1.114803954,5.728860446,0.932399058,,
,,,,5.280349198,1.407367009,5.505555267,1.104443772,5.783778331,0.947475762,,
,,,,5.31474112,1.389626226,5.531314773,1.095787891,5.837997047,0.958443929,,
,,,,5.377011425,1.44728826,5.557074279,1.087596356,5.894698066,0.97150528,,
,,,,5.418464299,1.395397376,5.613122172,1.063770147,5.933892565,0.982323196,,
,,,,5.447466431,1.377442841,5.728506787,1.02715487,5.980547513,0.984276487,,
,,,,5.470527769,1.350633686,5.792986425,1.004029432,,,,
,,,,5.516129032,1.330418488,5.881221719,0.978976875,,,,
,,,,5.534125218,1.272922865,5.925339367,0.963559916,,,,
,,,,5.590959201,1.213975607,5.972850679,0.957778556,,,,
,,,,5.618632806,1.183239847,,,,,,
,,,,5.636056928,1.16223081,,,,,,
,,,,5.657682147,1.133600305,,,,,,
,,,,5.704052547,1.109988655,,,,,,
,,,,5.734142102,1.081285404,,,,,,
,,,,5.759569164,1.055382566,,,,,,
,,,,5.786352587,1.067452868,,,,,,
,,,,5.802250516,1.031536632,,,,,,
,,,,5.846272644,0.987416526,,,,,,
,,,,5.882715252,0.964721864,,,,,,
,,,,5.919928038,0.956315348,,,,,,
,,,,5.942753144,0.940488022,,,,,,
,,,,5.960193866,0.920237659,,,,,,
,,,,5.978731328,0.875302177,,,,,,
