r (A),g(r)_weighted_U-U,g(r)_weighted_Na-U,g(r)_weighted_K-U,g(r)_weighted_U-F,g(r)_weighted_Na-Na,g(r)_weighted_K-Na,g(r)_weighted_Na-F,g(r)_weighted_K-K,g(r)_weighted_K-F,g(r)_weighted_F-F,S_i_U-F,S_i_Na-F,S_i_K-F,Average_SCL,lambda_BC
3.4251325662831413,0.0,0.03293467428100138,0.0029997269269308896,0.012927854800909123,0.07300799577095546,0.012371674848946036,0.0954069157299967,0.00290884830261753,0.038542744419047766,0.5197102044271068,0.01577462003535268,0.13736613750448656,0.00023104533779925583,2.4737883634984548,0
3.4291245622811406,0.0,0.03341492382237636,0.003045193932398855,0.013244105178504028,0.07317109076299824,0.012407581838400383,0.09538501701223062,0.002846198577672263,0.03834638468357982,0.5181827588790257,0.01577462003535268,0.13736613750448656,0.00023104533779925583,2.4737883634984548,0
3.4331165582791394,0.0,0.0338951733637513,0.003090660937866815,0.013560355556098896,0.073334185755041,0.012443488827854728,0.0953631182944645,0.0027835488527270034,0.0381500249481119,0.5166553133309447,0.01577462003535268,0.13736613750448656,0.00023104533779925583,2.4737883634984548,0
3.4371085542771382,0.0,0.03437542290512623,0.003136127943334775,0.013876605933693763,0.07349728074708377,0.01247939581730907,0.09534121957669843,0.0027208991277817437,0.03795366521264397,0.5151278677828638,0.01577462003535268,0.13736613750448656,0.00023104533779925583,2.4737883634984548,0
3.4411005502751375,0.0,0.034855672446501215,0.00318159494880274,0.014192856311288669,0.07366037573912654,0.012515302806763419,0.09531932085893233,0.0026582494028364765,0.03775730547717603,0.5136004222347826,0.01577462003535268,0.13736613750448656,0.00023104533779925583,2.4737883634984548,0
3.4450925462731363,0.0,0.03533592198787615,0.0032270619542707005,0.014509106688883536,0.0738234707311693,0.012551209796217763,0.09529742214116624,0.0025955996778912168,0.03756094574170811,0.5120729766867017,0.01577462003535268,0.13736613750448656,0.00023104533779925583,2.4737883634984548,0
3.4490845422711356,0.0,0.03581617152925114,0.003272528959738666,0.014825357066478438,0.07398656572321208,0.012587116785672108,0.09527552342340014,0.00253294995294595,0.037364586006240166,0.5105455311386206,0.01577462003535268,0.13736613750448656,0.00023104533779925583,2.4737883634984548,0
3.4530765382691344,0.0,0.03629642107062607,0.003317995965206626,0.015141607444073307,0.07414966071525485,0.012623023775126453,0.09525362470563403,0.0024703002280006903,0.037168226270772244,0.5090180855905396,0.01577462003535268,0.13736613750448656,0.00023104533779925583,2.4737883634984548,0
3.4570685342671332,0.0,0.036776670612001,0.003363462970674586,0.015457857821668175,0.07431275570729759,0.012658930764580797,0.09523172598786794,0.00240765050305543,0.03697186653530432,0.5074906400424588,0.01577462003535268,0.13736613750448656,0.00023104533779925583,2.4737883634984548,0
3.4610605302651325,0.0,0.037267795009325796,0.003423091702856797,0.01565075900925583,0.07447032548237643,0.012694784554557189,0.09524514040630329,0.002342007170998757,0.03678092304979056,0.5060143411773879,0.01577462003535268,0.13736613750448656,0.00023104533779925583,2.4737883634984548,0
