r (A),g(r)_weighted_Cl-Cl,g(r)_weighted_K-Cl,g(r)_weighted_K-K,g(r)_weighted_K-U,g(r)_weighted_U-Cl,g(r)_weighted_U-U,S_i_K-Cl,S_i_U-Cl,Average_SCL,lambda_BC
0.299631764026013,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,4.258845618951232,0
0.3034245711655827,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,4.258845618951232,0
0.3072173783051525,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,4.258845618951232,0
0.3110101854447223,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,4.258845618951232,0
0.3148029925842921,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,4.258845618951232,0
0.3185957997238619,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,4.258845618951232,0
0.3223886068634317,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,4.258845618951232,0
0.3261814140030015,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,4.258845618951232,0
0.3299742211425712,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,4.258845618951232,0
0.333767028282141,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,4.258845618951232,0
0.3375598354217108,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,4.258845618951232,0
0.3413526425612806,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,4.258845618951232,0
0.3451454497008503,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,4.258845618951232,0
0.3489382568404202,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,4.258845618951232,0
0.35273106397999,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,4.258845618951232,0
0.3565238711195597,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,4.258845618951232,0
0.3603166782591295,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,4.258845618951232,0
0.3641094853986993,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,4.258845618951232,0
0.3679022925382691,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,4.258845618951232,0
0.3716950996778388,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,4.258845618951232,0
0.3754879068174087,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,4.258845618951232,0
0.3792807139569784,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,4.258845618951232,0
0.3830735210965482,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,4.258845618951232,0
0.386866328236118,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,4.258845618951232,0
0.3906591353756878,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,4.258845618951232,0
0.3944519425152576,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,4.258845618951232,0
0.3982447496548273,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,4.258845618951232,0
0.4020375567943972,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,4.258845618951232,0
0.4058303639339669,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,4.258845618951232,0
0.4096231710735367,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,4.258845618951232,0
0.4134159782131065,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,4.258845618951232,0
0.4172087853526763,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,4.258845618951232,0
0.4210015924922461,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,4.258845618951232,0
0.4247943996318158,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,4.258845618951232,0
0.4285872067713857,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,4.258845618951232,0
0.4323800139109554,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,4.258845618951232,0
0.4361728210505252,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,4.258845618951232,0
0.439965628190095,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,4.258845618951232,0
0.4437584353296648,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,4.258845618951232,0
0.4475512424692345,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,4.258845618951232,0
0.4513440496088043,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,4.258845618951232,0
0.4551368567483742,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,4.258845618951232,0
0.4589296638879439,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,4.258845618951232,0
0.4627224710275137,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,4.258845618951232,0
0.4665152781670835,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,4.258845618951232,0
0.4703080853066533,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,4.258845618951232,0
0.474100892446223,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,4.258845618951232,0
0.4778936995857928,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,4.258845618951232,0
0.4816865067253626,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,4.258845618951232,0
0.4854793138649324,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,4.258845618951232,0
0.4892721210045022,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,4.258845618951232,0
0.493064928144072,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,4.258845618951232,0
0.4968577352836418,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,4.258845618951232,0
0.5006505424232116,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,4.258845618951232,0
0.5044433495627814,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,4.258845618951232,0
0.5082361567023511,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,4.258845618951232,0
0.5120289638419209,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,4.258845618951232,0
0.5158217709814907,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,4.258845618951232,0
0.5196145781210605,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,4.258845618951232,0
0.5234073852606302,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,4.258845618951232,0
0.5272001924002001,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,4.258845618951232,0
0.5309929995397699,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,4.258845618951232,0
0.5347858066793396,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,4.258845618951232,0
0.5385786138189094,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,4.258845618951232,0
0.5423714209584792,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,4.258845618951232,0
0.546164228098049,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,4.258845618951232,0
0.5499570352376187,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,4.258845618951232,0
0.5537498423771885,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,4.258845618951232,0
0.5575426495167584,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,4.258845618951232,0
0.5613354566563281,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,4.258845618951232,0
0.5651282637958979,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,4.258845618951232,0
0.5689210709354677,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,4.258845618951232,0
0.5727138780750375,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,4.258845618951232,0
0.5765066852146072,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,4.258845618951232,0
0.580299492354177,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,4.258845618951232,0
0.5840922994937469,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,4.258845618951232,0
0.5878851066333166,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,4.258845618951232,0
0.5916779137728864,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,4.258845618951232,0
0.5954707209124562,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,4.258845618951232,0
0.599263528052026,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,4.258845618951232,0
0.6030563351915957,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,4.258845618951232,0
0.6068491423311655,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,4.258845618951232,0
0.6106419494707354,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,4.258845618951232,0
0.6144347566103051,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,4.258845618951232,0
0.6182275637498749,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,4.258845618951232,0
