r (A),g(r)_weighted_Cl-Cl,g(r)_weighted_Sr-Cl,g(r)_weighted_Sr-Sr,S_i_Sr-Cl,Average_SCL,lambda_BC
11.369847367053527,0.5566787634651144,0.28670440308172573,0.13970323878364235,5.538256405166291e-05,4.466004730014755,0
11.376639390570286,0.5566889050875713,0.2866754450730774,0.13979823265921631,5.538256405166291e-05,4.466004730014755,0
11.383431414087044,0.5566990467100283,0.286646487064429,0.1398932265347902,5.538256405166291e-05,4.466004730014755,0
11.390223437603805,0.5567091883324854,0.2866175290557807,0.13998822041036407,5.538256405166291e-05,4.466004730014755,0
11.39701546112056,0.5567193299549422,0.2865885710471323,0.14008321428593798,5.538256405166291e-05,4.466004730014755,0
11.40380748463732,0.5567294715773992,0.2865596130384839,0.14017820816151189,5.538256405166291e-05,4.466004730014755,0
11.410599508154078,0.5567396131998563,0.28653065502983555,0.1402732020370858,5.538256405166291e-05,4.466004730014755,0
11.417391531670836,0.5567497548223133,0.28650169702118716,0.1403681959126597,5.538256405166291e-05,4.466004730014755,0
11.424183555187597,0.5567598964447701,0.28647273901253884,0.1404631897882336,5.538256405166291e-05,4.466004730014755,0
11.430975578704352,0.5567700380672271,0.28644378100389045,0.1405581836638075,5.538256405166291e-05,4.466004730014755,0
11.437767602221111,0.5567801796896842,0.28641482299524207,0.14065317753938145,5.538256405166291e-05,4.466004730014755,0
11.444559625737869,0.5567903213121411,0.28638586498659374,0.14074817141495533,5.538256405166291e-05,4.466004730014755,0
11.451351649254628,0.5568004629345983,0.28635690697794536,0.14084316529052923,5.538256405166291e-05,4.466004730014755,0
11.458143672771389,0.5568106045570552,0.28632794896929703,0.14093815916610317,5.538256405166291e-05,4.466004730014755,0
11.464935696288144,0.556820746179512,0.28629899096064865,0.1410324207762502,5.538256405166291e-05,4.466004730014755,0
11.471727719804903,0.5568308878019691,0.2862700329520003,0.14110504610211155,5.538256405166291e-05,4.466004730014755,0
11.47851974332166,0.5568342883653331,0.28624107494335194,0.1411776714279729,5.538256405166291e-05,4.466004730014755,0
11.48531176683842,0.5568332054362771,0.2862121169347035,0.14125029675383427,5.538256405166291e-05,4.466004730014755,0
11.49210379035518,0.556832122507221,0.28618315892605517,0.14132292207969566,5.538256405166291e-05,4.466004730014755,0
11.498895813871936,0.556831039578165,0.2861542009174068,0.141395547405557,5.538256405166291e-05,4.466004730014755,0
11.505687837388695,0.556829956649109,0.2861252429087584,0.14146817273141837,5.538256405166291e-05,4.466004730014755,0
11.512479860905453,0.5568288737200529,0.2860962849001101,0.14154079805727973,5.538256405166291e-05,4.466004730014755,0
11.519271884422212,0.5568277907909969,0.2860673268914617,0.14161342338314112,5.538256405166291e-05,4.466004730014755,0
11.52606390793897,0.5568267078619409,0.28603836888281337,0.14168604870900248,5.538256405166291e-05,4.466004730014755,0
11.532855931455728,0.5568256249328849,0.286009410874165,0.1417586740348638,5.538256405166291e-05,4.466004730014755,0
11.539647954972487,0.5568245420038289,0.2859804528655166,0.1418312993607252,5.538256405166291e-05,4.466004730014755,0
11.546439978489245,0.5568234590747729,0.28595149485686827,0.14190392468658652,5.538256405166291e-05,4.466004730014755,0
11.553232002006004,0.5568223761457168,0.2859225368482199,0.1419765500124479,5.538256405166291e-05,4.466004730014755,0
11.56002402552276,0.5568212932166609,0.28589357883957156,0.14204917533830927,5.538256405166291e-05,4.466004730014755,0
11.56681604903952,0.5568202102876049,0.2858646208309231,0.14212180066417066,5.538256405166291e-05,4.466004730014755,0
11.57360807255628,0.5568191273585489,0.28583566282227474,0.14219442599003201,5.538256405166291e-05,4.466004730014755,0
11.580400096073037,0.5568180444294929,0.2858067048136264,0.14226705131589337,5.538256405166291e-05,4.466004730014755,0
11.587192119589796,0.5568169615004368,0.28577774680497803,0.14233967664175473,5.538256405166291e-05,4.466004730014755,0
11.593984143106551,0.5568158785713808,0.2857487887963297,0.14241230196761606,5.538256405166291e-05,4.466004730014755,0
11.600776166623312,0.5568147956423247,0.2857198307876813,0.14248492729347745,8.90119013753668e-08,4.466004730014755,0
11.607568190140071,0.5568137127132687,0.28569087277903293,0.1425575526193388,8.90119013753668e-08,4.466004730014755,0
11.614360213656829,0.5568126297842126,0.2856619147703846,0.1426301779452002,8.90119013753668e-08,4.466004730014755,0
11.621152237173588,0.5568115468551567,0.2856329567617363,0.14270280327106155,8.90119013753668e-08,4.466004730014755,0
11.627944260690343,0.5568104639261007,0.2856039987530879,0.1427754285969229,8.90119013753668e-08,4.466004730014755,0
11.634736284207104,0.5568093809970447,0.2855750407444395,0.14284805392278427,8.90119013753668e-08,4.466004730014755,0
11.641528307723862,0.5568082980679887,0.28554608273579113,0.14292067924864563,8.90119013753668e-08,4.466004730014755,0
11.64832033124062,0.5568072151389326,0.28551712472714275,0.14299330457450699,8.90119013753668e-08,4.466004730014755,0
11.65511235475738,0.5568061322098766,0.2854881667184944,0.14306592990036837,8.90119013753668e-08,4.466004730014755,0
11.661904378274135,0.5568050492808206,0.28545920870984604,0.14313855522622973,8.90119013753668e-08,4.466004730014755,0
11.668696401790896,0.5568039663517647,0.2854302507011977,0.14321118055209112,8.90119013753668e-08,4.466004730014755,0
11.675488425307654,0.5568028834227087,0.2854012926925493,0.14328380587795245,8.90119013753668e-08,4.466004730014755,0
11.682280448824413,0.5568018004936526,0.28537233468390094,0.14335643120381383,8.90119013753668e-08,4.466004730014755,0
11.689072472341172,0.5568007175645966,0.2853433766752526,0.14342905652967514,8.90119013753668e-08,4.466004730014755,0
