r (A),g(r)_weighted_Na-Cl,g(r)_weighted_Na-Na,S_i_Na-Cl,Average_SCL,lambda_BC
1.6180411233766885,0.0,0.001511631315685533,1.0,4.520019890863981,4.48028
1.6260117693046523,0.0,0.0015103807667825333,1.0,4.520019890863981,4.48028
1.6339824152326163,0.0,0.0015091302178795332,1.0,4.520019890863981,4.48028
1.6419530611605802,0.0,0.0015078796689765334,1.0,4.520019890863981,4.48028
1.6499237070885442,0.0,0.0015066291200735334,1.0,4.520019890863981,4.48028
1.6578943530165082,0.0,0.001505378571170533,1.0,4.520019890863981,4.48028
1.6658649989444725,0.0,0.0015041280222675333,1.0,4.520019890863981,4.48028
1.6738356448724363,0.0,0.0015028774733645332,1.0,4.520019890863981,4.48028
1.6818062908004,0.0,0.0015016269244615666,1.0,4.520019890863981,4.48028
1.6897769367283642,0.0,0.0015003763755585665,1.0,4.520019890863981,4.48028
1.6977475826563282,0.0,0.0014991258266555667,1.0,4.520019890863981,4.48028
1.705718228584292,0.0,0.0014978752777525667,1.0,4.520019890863981,4.48028
1.713688874512256,0.0,0.0014966247288495664,1.0,4.520019890863981,4.48028
1.72165952044022,0.0,0.0014953741799465666,1.0,4.520019890863981,4.48028
1.729630166368184,0.0,0.0014941236289102667,1.0,4.520019890863981,4.48028
1.7376008122961482,0.0,0.0014928730775403665,1.0,4.520019890863981,4.48028
1.745571458224112,0.0,0.0014916225261704334,1.0,4.520019890863981,4.48028
1.753542104152076,0.0,0.0014903719748005331,1.0,4.520019890863981,4.48028
1.76151275008004,0.0,0.0014891214234306,1.0,4.520019890863981,4.48028
1.769483396008004,0.0,0.0014878708720606998,1.0,4.520019890863981,4.48028
1.777454041935968,0.0,0.0014866203206907666,1.0,4.520019890863981,4.48028
1.785424687863932,0.0,0.0014853697693208664,1.0,4.520019890863981,4.48028
1.793395333791896,0.0,0.0014841192179509666,1.0,4.520019890863981,4.48028
1.80136597971986,0.0,0.0014828686665810335,1.0,4.520019890863981,4.48028
1.809336625647824,0.0,0.0014816181152111333,1.0,4.520019890863981,4.48028
1.817307271575788,0.0,0.0014803675638412,1.0,4.520019890863981,4.48028
1.825277917503752,3.227863758953332e-05,0.0014791170124712999,1.0,4.520019890863981,4.48028
1.833248563431716,0.00020875243511789997,0.0014778664611013667,1.0,4.520019890863981,4.48028
1.84121920935968,0.00038522623264626663,0.0014766159097314665,1.0,4.520019890863981,4.48028
1.849189855287644,0.0005617000301746332,0.0014753653583615333,1.0,4.520019890863981,4.48028
1.857160501215608,0.000738173827703,0.0014741148069916331,1.0,4.520019890863981,4.48028
1.865131147143572,0.0009146476252314,0.0014728642556217331,1.0,4.520019890863981,4.48028
1.873101793071536,0.0010911214227597667,0.0014631159468080999,1.0,4.520019890863981,4.48028
1.8810724389995,0.0012675952202881333,0.0014511788808317333,1.0,4.520019890863981,4.48028
1.889043084927464,0.0014440690178165,0.0014392418148554001,1.0,4.520019890863981,4.48028
1.897013730855428,0.0016205428153448665,0.0014273047488790333,1.0,4.520019890863981,4.48028
1.904984376783392,0.0017970166128732665,0.0014153676829027,1.0,4.520019890863981,4.48028
1.912955022711356,0.0019734904104016333,0.0014034306169263332,1.0,4.520019890863981,4.48028
1.92092566863932,0.00214996420793,0.00139149355095,1.0,4.520019890863981,4.48028
1.928896314567284,0.0023264380054583665,0.0013795564849736332,1.0,4.520019890863981,4.48028
1.9368669604952475,0.002502911802986733,0.0013676194189973,1.0,4.520019890863981,4.48028
1.944837606423212,0.0026793856005151336,0.0013556823530209666,1.0,4.520019890863981,4.48028
1.952808252351176,0.0028558593980434997,0.0013437452870445998,1.0,4.520019890863981,4.48028
1.9607788982791396,0.0030323331955718663,0.0013318082210682666,1.0,4.520019890863981,4.48028
1.9687495442071037,0.0032924222615049667,0.0013198711550918998,1.0,4.520019890863981,4.48028
1.9767201901350675,0.004168627443286733,0.0013079340891155667,1.0,4.520019890863981,4.48028
1.9846908360630315,0.005044832625068467,0.0012959970231391999,1.0,4.520019890863981,4.48028
1.992661481990996,0.005921037806850233,0.0012840599571628665,1.0,4.520019890863981,4.48028
2.0006321279189594,0.006797242988631999,0.0012721228911865,1.0,4.520019890863981,4.48028
2.008602773846923,0.007673448170413733,0.0012601858252101667,1.0,4.520019890863981,4.48028
2.0165734197748875,0.008549653352195532,0.0012224012947517665,1.0,4.520019890863981,4.48028
2.0245440657028517,0.009425858533977266,0.0011748425150336333,1.0,4.520019890863981,4.48028
2.0325147116308155,0.010302063715759067,0.0011272837353154999,1.0,4.520019890863981,4.48028
2.04048535755878,0.011178268897540799,0.0010797249555974,1.0,4.520019890863981,4.48028
2.048456003486743,0.012054474079322532,0.0010321661758792666,1.0,4.520019890863981,4.48028
2.0564266494147074,0.012930679261104333,0.0009846073961611332,1.0,4.520019890863981,4.48028
2.0643972953426712,0.013806884442886067,0.0009370486164430332,1.0,4.520019890863981,4.48028
2.0723679412706355,0.014683089624667866,0.0008894898367248999,1.0,4.520019890863981,4.48028
2.0803385871985998,0.0155592948064496,0.0008419310570067667,1.0,4.520019890863981,4.48028
2.088309233126563,0.016525900516888698,0.0007943722772886666,1.0,4.520019890863981,4.48028
2.0962798790545274,0.01882845524190503,0.0007468134975705333,1.0,4.520019890863981,4.48028
2.104250524982491,0.021131009966921233,0.0006992547178524,1.0,4.520019890863981,4.48028
2.112221170910455,0.0234335646919374,0.0006516959381342999,1.0,4.520019890863981,4.48028
2.1201918168384197,0.02573611941695373,0.0006041371584161666,1.0,4.520019890863981,4.48028
2.128162462766383,0.028038674141969935,0.0005565783786980333,1.0,4.520019890863981,4.48028
2.136133108694347,0.030341228866986134,0.0005090195989799332,1.0,4.520019890863981,4.48028
2.144103754622311,0.03264378359200243,0.0004614608192618,1.0,4.520019890863981,4.48028
2.152074400550275,0.03494633831701863,0.00041390203954366664,1.0,4.520019890863981,4.48028
2.1600450464782397,0.037248893042034964,0.0003831102385548333,1.0,4.520019890863981,4.48028
2.168015692406203,0.03955144776705116,0.0003611095297693333,1.0,4.520019890863981,4.48028
2.175986338334167,0.04490190174444217,0.00033910882098383335,1.0,4.520019890863981,4.48028
2.183956984262131,0.050927878586772765,0.0003171081121983333,1.0,4.520019890863981,4.48028
2.191927630190095,0.056953855429103036,0.0002951074034128333,1.0,4.520019890863981,4.48028
2.199898276118059,0.06297983227143363,0.0002731066946273333,1.0,4.520019890863981,4.48028
2.207868922046023,0.06900580911376389,0.0002511059858418333,1.0,4.520019890863981,4.48028
2.215839567973987,0.0784186823867622,0.00022910527705633334,1.0,4.520019890863981,4.48028
2.223810213901951,0.08785416305335603,0.00020710456827083333,1.0,4.520019890863981,4.48028
2.231780859829915,0.0972896437199493,0.00018510385948533332,1.0,4.520019890863981,4.48028
2.2397515057578787,0.1061874111257405,0.00016310315069983334,1.0,4.520019890863981,4.48028
2.247722151685843,0.1150699200251767,0.00014110244191433332,1.0,4.520019890863981,4.48028
2.255692797613807,0.1239524289246124,0.00011910173312883334,1.0,4.520019890863981,4.48028
2.26366344354177,0.14256124403759582,9.710102434333333e-05,1.0,4.520019890863981,4.48028
2.271634089469735,0.15999861209496347,7.510031555783333e-05,1.0,4.520019890863981,4.48028
2.2796047353976987,0.17026883658267736,5.3099606772333334e-05,1.0,4.520019890863981,4.48028
2.287575381325663,0.1805390610703918,3.109889798684961e-05,1.0,4.520019890863981,4.48028
2.2955460272536268,0.19080928555810567,9.098189201349673e-06,1.0,4.520019890863981,4.48028
2.3035166731815906,0.22407097244068686,2.6648783514306135e-05,1.0,4.520019890863981,4.48028
2.311487319109555,0.2441587445973375,7.20889102866e-05,1.0,4.520019890863981,4.48028
2.3194579650375187,0.25412590466356566,0.00011752903705893332,1.0,4.520019890863981,4.48028
2.327428610965483,0.2670940054618373,0.00016296916383123333,1.0,4.520019890863981,4.48028
2.3353992568934467,0.30845076490420226,0.00020840929060356666,1.0,4.520019890863981,4.48028
2.3433699028214106,0.3249467658534912,0.0002538494173758666,1.0,4.520019890863981,4.48028
2.351340548749375,0.3314593552663793,0.00029928954414819997,1.0,4.520019890863981,4.48028
2.359311194677338,0.3379719446792671,0.0003447296709205,1.0,4.520019890863981,4.48028
2.3672818406053024,0.34448453409215496,0.00039016979769283333,1.0,4.520019890863981,4.48028
2.3752524865332667,0.3509971235050431,0.00043560992446513335,1.0,4.520019890863981,4.48028
2.3832231324612305,0.4116931651762852,0.00048105005123746665,1.0,4.520019890863981,4.48028
2.3911937783891943,0.42395282288522407,0.0005264901780097667,1.0,4.520019890863981,4.48028
2.3991644243171586,0.4362124805941636,0.0005719303047821,1.0,4.520019890863981,4.48028
2.4071350702451224,0.4484721383031025,0.0006173704315544,1.0,4.520019890863981,4.48028
2.4151057161730867,0.4812508391564679,0.0006628105583267333,1.0,4.520019890863981,4.48028
2.4230763621010505,0.5249906356511619,0.0007082506850990333,1.0,4.520019890863981,4.48028
2.4310470080290143,0.5477456742104564,0.0007536908118713667,1.0,4.520019890863981,4.48028
2.4390176539569786,0.5705007127697521,0.0007991309386436667,1.0,4.520019890863981,4.48028
2.4469882998849424,0.611316378635431,0.000978158570341,1.0,4.520019890863981,4.48028
2.454958945812906,0.6740402119175141,0.0012820464098960665,1.0,4.520019890863981,4.48028
2.4629295917408704,0.6917402161235766,0.0015859342494510997,1.0,4.520019890863981,4.48028
2.4709002376688343,0.7082002870984356,0.0018898220890061666,1.0,4.520019890863981,4.48028
2.4788708835967985,0.739448605854037,0.0021937099285612334,1.0,4.520019890863981,4.48028
2.4868415295247623,0.7799952525370313,0.0024975977681162996,1.0,4.520019890863981,4.48028
2.494812175452726,0.837000176315877,0.0028014856076713666,1.0,4.520019890863981,4.48028
2.5027828213806904,0.8629257638897282,0.0031053734472264332,1.0,4.520019890863981,4.48028
2.5107534673086542,0.8932528098876573,0.003409261286781467,1.0,4.520019890863981,4.48028
2.518724113236618,0.927316308978143,0.003713149126336533,1.0,4.520019890863981,4.48028
2.5266947591645823,0.9499055282249637,0.004017036965891599,1.0,4.520019890863981,4.48028
2.534665405092546,0.9701930916736187,0.004320924805446666,1.0,4.520019890863981,4.48028
2.5426360510205104,0.9919253094641707,0.004624812645001733,1.0,4.520019890863981,4.48028
2.550606696948474,1.0537920401692138,0.0049287004845567995,1.0,4.520019890863981,4.48028
2.558577342876438,1.075832903054967,0.005232588324111833,1.0,4.520019890863981,4.48028
2.5665479888044023,1.0933985521127092,0.0055364761636669,1.0,4.520019890863981,4.48028
2.574518634732366,1.1390210206982152,0.005840364003221966,1.0,4.520019890863981,4.48028
2.5824892806603303,1.1562192860338962,0.006144251842777033,1.0,4.520019890863981,4.48028
2.590459926588294,1.1846793685878483,0.006583730516916266,1.0,4.520019890863981,4.48028
2.598430572516258,1.2013310460753073,0.007190744189728867,1.0,4.520019890863981,4.48028
2.6064012184442222,1.2145515179116586,0.007797757862541466,1.0,4.520019890863981,4.48028
2.614371864372186,1.230780294975474,0.008404771535354034,1.0,4.520019890863981,4.48028
2.62234251030015,1.2573721519288426,0.0090117852081666,1.0,4.520019890863981,4.48028
2.630313156228114,1.2585953084045722,0.009618798880979199,1.0,4.520019890863981,4.48028
2.638283802156078,1.259818464880302,0.010225812553791767,1.0,4.520019890863981,4.48028
2.6462544480840418,1.2610416213560316,0.010832826226604333,1.0,4.520019890863981,4.48028
2.654225094012006,1.2622647778317613,0.011439839899416932,1.0,4.520019890863981,4.48028
2.66219573993997,1.263487934307491,0.012046853572229533,0.6647187466462053,4.520019890863981,4.48028
