r (A),g(r)_weighted_Cl-Cl,g(r)_weighted_Na-Cl,g(r)_weighted_Na-Na,g(r)_weighted_Na-U,g(r)_weighted_U-Cl,g(r)_weighted_U-U,S_i_Na-Cl,S_i_U-Cl,Average_SCL,SCL_BC
0.4568056386153076,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,2.8887095937446667,2.5393
0.4602662873926963,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,2.8887095937446667,2.5393
0.463726936170085,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,2.8887095937446667,2.5393
0.4671875849474737,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,2.8887095937446667,2.5393
0.4706482337248624,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,2.8887095937446667,2.5393
0.4741088825022511,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,2.8887095937446667,2.5393
0.4775695312796398,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,2.8887095937446667,2.5393
0.4810301800570285,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,2.8887095937446667,2.5393
0.4844908288344172,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,2.8887095937446667,2.5393
0.4879514776118059,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,2.8887095937446667,2.5393
0.4914121263891946,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,2.8887095937446667,2.5393
0.4948727751665833,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,2.8887095937446667,2.5393
0.498333423943972,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,2.8887095937446667,2.5393
0.5017940727213607,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,2.8887095937446667,2.5393
0.5052547214987494,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,2.8887095937446667,2.5393
0.5087153702761381,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,2.8887095937446667,2.5393
0.5121760190535267,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,2.8887095937446667,2.5393
0.5156366678309154,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,2.8887095937446667,2.5393
0.5190973166083042,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,2.8887095937446667,2.5393
0.5225579653856929,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,2.8887095937446667,2.5393
0.5260186141630816,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,2.8887095937446667,2.5393
0.5294792629404702,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,2.8887095937446667,2.5393
0.5329399117178589,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,2.8887095937446667,2.5393
0.5364005604952476,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,2.8887095937446667,2.5393
0.5398612092726364,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,2.8887095937446667,2.5393
0.543321858050025,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,2.8887095937446667,2.5393
0.5467825068274137,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,2.8887095937446667,2.5393
0.5502431556048024,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,2.8887095937446667,2.5393
0.5537038043821911,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,2.8887095937446667,2.5393
0.5571644531595799,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,2.8887095937446667,2.5393
0.5606251019369685,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,2.8887095937446667,2.5393
0.5640857507143572,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,2.8887095937446667,2.5393
0.5675463994917459,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,2.8887095937446667,2.5393
0.5710070482691346,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,2.8887095937446667,2.5393
0.5744676970465232,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,2.8887095937446667,2.5393
0.577928345823912,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,2.8887095937446667,2.5393
0.5813889946013007,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,2.8887095937446667,2.5393
0.5848496433786894,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,2.8887095937446667,2.5393
0.588310292156078,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,2.8887095937446667,2.5393
0.5917709409334667,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,2.8887095937446667,2.5393
0.5952315897108554,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,2.8887095937446667,2.5393
0.5986922384882442,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,2.8887095937446667,2.5393
0.6021528872656329,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,2.8887095937446667,2.5393
0.6056135360430215,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,2.8887095937446667,2.5393
0.6090741848204102,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,2.8887095937446667,2.5393
0.6125348335977989,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,2.8887095937446667,2.5393
0.6159954823751876,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,2.8887095937446667,2.5393
0.6194561311525763,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,2.8887095937446667,2.5393
0.622916779929965,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,2.8887095937446667,2.5393
0.6263774287073537,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,2.8887095937446667,2.5393
0.6298380774847424,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,2.8887095937446667,2.5393
0.6332987262621311,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,2.8887095937446667,2.5393
0.6367593750395197,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,2.8887095937446667,2.5393
0.6402200238169085,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,2.8887095937446667,2.5393
0.6436806725942972,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,2.8887095937446667,2.5393
0.6471413213716859,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,2.8887095937446667,2.5393
0.6506019701490745,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,2.8887095937446667,2.5393
0.6540626189264632,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,2.8887095937446667,2.5393
0.6575232677038519,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,2.8887095937446667,2.5393
0.6609839164812407,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,2.8887095937446667,2.5393
0.6644445652586293,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,2.8887095937446667,2.5393
