r (A),g(r)_weighted_Ca-Ca,g(r)_weighted_Ca-Cl,g(r)_weighted_Ca-Li,g(r)_weighted_Cl-Cl,g(r)_weighted_Li-Cl,g(r)_weighted_Li-Li,S_i_Ca-Cl,S_i_Li-Cl,Average_SCL,lambda_BC
3.552325613356129,0.0005373239725802,0.03751401455548084,0.03512462083852037,0.7765261640965722,0.11582749214824299,0.19696405071605327,0.0024112919714592766,0.270378844217212,2.794731625702527,0
3.557273142065539,0.0005499130905870404,0.03707413011497876,0.035790210285253206,0.7802351351490208,0.11580049332006727,0.1981991143484846,0.0024112919714592766,0.270378844217212,2.794731625702527,0
3.5622206707749484,0.0005744163689445025,0.03665384584145314,0.03645579973198604,0.7839441062014695,0.11577349449189156,0.19943417798091595,0.0024112919714592766,0.270378844217212,2.794731625702527,0
3.567168199484358,0.0006223378296169381,0.036272087176963404,0.03712138917871887,0.7876530772539183,0.11574649566371585,0.2006692416133473,0.0024112919714592766,0.270378844217212,2.794731625702527,0
3.572115728193768,0.0006702592902893763,0.03589032851247365,0.03778697862545171,0.791362048306367,0.11571949683554013,0.20190430524577865,0.0024112919714592766,0.270378844217212,2.794731625702527,0
3.5770632569031773,0.0007181807509618143,0.03550856984798391,0.03845256807218454,0.7950710193588157,0.11569249800736442,0.20313936887821002,0.0024112919714592766,0.270378844217212,2.794731625702527,0
3.582010785612587,0.00076610221163425,0.03512681118349416,0.039117675342542194,0.7987799904112645,0.1156654991791887,0.20447720947975803,0.0024112919714592766,0.270378844217212,2.794731625702527,0
3.5869583143219965,0.0008140236723066881,0.03474505251900442,0.03978187791083507,0.8024889614637132,0.115638500351013,0.20600788934294773,0.0024112919714592766,0.270378844217212,2.794731625702527,0
3.591905843031406,0.0008619451329791238,0.03436329385451467,0.040446080479127934,0.8061979325161619,0.11561150152283725,0.20753856920613745,0.0024112919714592766,0.270378844217212,2.794731625702527,0
3.596853371740816,0.0009098665936515619,0.03398153519002493,0.0411102830474208,0.809723880022889,0.11558450269466156,0.2090692490693272,0.0024112919714592766,0.270378844217212,2.794731625702527,0
3.6018009004502254,0.000957788054324,0.033599776525535176,0.041774485615713675,0.8132409925999877,0.11555750386648583,0.2105999289325169,0.0024112919714592766,0.270378844217212,2.794731625702527,0
