r (A),g(r)_weighted_F-F,g(r)_weighted_Li-F,g(r)_weighted_Li-Li,S_i_Li-F,Average_SCL,SCL_BC
0.96608904026013,0.0,0.0,0.0,1.0,3.434929909098124,3.28553
0.9712278117508756,0.0,0.0,0.0,1.0,3.434929909098124,3.28553
0.9763665832416208,0.0,0.0,0.0,1.0,3.434929909098124,3.28553
0.9815053547323662,0.0,0.0,0.0,1.0,3.434929909098124,3.28553
0.9866441262231116,0.0,0.0,0.0,1.0,3.434929909098124,3.28553
0.9917828977138567,0.0,0.0,0.0,1.0,3.434929909098124,3.28553
0.9969216692046022,0.0,0.0,0.0,1.0,3.434929909098124,3.28553
1.0020604406953475,0.0,0.0,0.0,1.0,3.434929909098124,3.28553
1.007199212186093,0.0,0.0,0.0,1.0,3.434929909098124,3.28553
1.0123379836768385,0.0,0.0,0.0,1.0,3.434929909098124,3.28553
1.0174767551675838,0.0,0.0,0.0,1.0,3.434929909098124,3.28553
1.0226155266583292,0.0,0.0,0.0,1.0,3.434929909098124,3.28553
1.0277542981490746,0.0,0.0,0.0,1.0,3.434929909098124,3.28553
1.03289306963982,0.0,0.0,0.0,1.0,3.434929909098124,3.28553
1.0380318411305651,0.0,0.0,0.0,1.0,3.434929909098124,3.28553
1.0431706126213107,0.0,0.0,0.0,1.0,3.434929909098124,3.28553
1.048309384112056,0.0,0.0,0.0,1.0,3.434929909098124,3.28553
1.0534481556028017,0.0,0.0,0.0,1.0,3.434929909098124,3.28553
1.0585869270935468,0.0,0.0,0.0,1.0,3.434929909098124,3.28553
1.0637256985842922,0.0,0.0,0.0,1.0,3.434929909098124,3.28553
1.0688644700750376,0.0,0.0,0.0,1.0,3.434929909098124,3.28553
1.074003241565783,0.0,0.0,0.0,1.0,3.434929909098124,3.28553
1.0791420130565283,0.0,0.0,0.0,1.0,3.434929909098124,3.28553
1.0842807845472735,0.0,0.0,0.0,1.0,3.434929909098124,3.28553
1.089419556038019,0.0,0.0,0.0,1.0,3.434929909098124,3.28553
1.0945583275287645,0.0,0.0,0.0,1.0,3.434929909098124,3.28553
1.0996970990195096,0.0,0.0,0.0,1.0,3.434929909098124,3.28553
1.104835870510255,0.0,0.0,0.0,1.0,3.434929909098124,3.28553
1.1099746420010004,0.0,0.0,0.0,1.0,3.434929909098124,3.28553
1.1151134134917458,0.0,0.0,0.0,1.0,3.434929909098124,3.28553
1.1202521849824911,0.0,0.0,0.0,1.0,3.434929909098124,3.28553
1.1253909564732365,0.0,0.0,0.0,1.0,3.434929909098124,3.28553
1.130529727963982,0.0,0.0,0.0,1.0,3.434929909098124,3.28553
1.1356684994547273,0.0,0.0,0.0,1.0,3.434929909098124,3.28553
1.1408072709454726,0.0,0.0,0.0,1.0,3.434929909098124,3.28553
1.145946042436218,0.0,0.0,0.0,1.0,3.434929909098124,3.28553
1.1510848139269634,0.0,0.0,0.0,1.0,3.434929909098124,3.28553
1.1562235854177088,0.0,0.0,0.0,1.0,3.434929909098124,3.28553
1.161362356908454,0.0,0.0,0.0,1.0,3.434929909098124,3.28553
1.1665011283991995,0.0,0.0,0.0,1.0,3.434929909098124,3.28553
1.1716398998899449,0.0,0.0,0.0,1.0,3.434929909098124,3.28553
1.1767786713806905,0.0,0.0,0.0,1.0,3.434929909098124,3.28553
1.1819174428714356,0.0,0.0,0.0,1.0,3.434929909098124,3.28553
1.187056214362181,0.0,0.0,0.0,1.0,3.434929909098124,3.28553
1.1921949858529264,0.0,0.0,0.0,1.0,3.434929909098124,3.28553
1.1973337573436718,0.0,0.0,0.0,1.0,3.434929909098124,3.28553
1.2024725288344171,0.0,0.0,0.0,1.0,3.434929909098124,3.28553
1.2076113003251625,0.0,0.0,0.0,1.0,3.434929909098124,3.28553
1.212750071815908,0.0,0.0,0.0,1.0,3.434929909098124,3.28553
1.2178888433066533,0.0,0.0,0.0,1.0,3.434929909098124,3.28553
1.2230276147973986,0.0,0.0,0.0,1.0,3.434929909098124,3.28553
1.228166386288144,0.0,0.0,0.0,1.0,3.434929909098124,3.28553
1.2333051577788894,0.0,0.0,0.0,1.0,3.434929909098124,3.28553
1.2384439292696348,0.0,0.0,0.0,1.0,3.434929909098124,3.28553
1.24358270076038,0.0,0.0,0.0,1.0,3.434929909098124,3.28553
1.2487214722511255,0.0,0.0,0.0,1.0,3.434929909098124,3.28553
1.2538602437418709,0.0,0.0,0.0,1.0,3.434929909098124,3.28553
1.2589990152326165,0.0,0.0,0.0,1.0,3.434929909098124,3.28553
1.2641377867233616,0.0,0.0,0.0,1.0,3.434929909098124,3.28553
1.269276558214107,0.0,0.0,0.0,1.0,3.434929909098124,3.28553
1.2744153297048524,0.0,0.0,0.0,1.0,3.434929909098124,3.28553
1.2795541011955978,0.0,0.0,0.0,1.0,3.434929909098124,3.28553
1.2846928726863431,0.0,0.0,0.0,1.0,3.434929909098124,3.28553
1.2898316441770885,0.0,0.0,0.0,1.0,3.434929909098124,3.28553
1.294970415667834,0.0,0.0,0.0,1.0,3.434929909098124,3.28553
1.3001091871585793,0.0,0.0,0.0,1.0,3.434929909098124,3.28553
1.3052479586493246,0.0,0.0,0.0,1.0,3.434929909098124,3.28553
1.31038673014007,0.0,0.0,0.0,1.0,3.434929909098124,3.28553
1.3155255016308154,0.0,0.0,0.0,1.0,3.434929909098124,3.28553
1.3206642731215608,0.0,0.0,0.0,1.0,3.434929909098124,3.28553
1.325803044612306,0.0,0.0,0.0,1.0,3.434929909098124,3.28553
1.3309418161030515,0.0,0.0,0.0,1.0,3.434929909098124,3.28553
1.3360805875937969,0.0,0.0,0.0,1.0,3.434929909098124,3.28553
1.3412193590845425,0.0,0.0,0.0,1.0,3.434929909098124,3.28553
1.3463581305752876,0.0,0.0,0.0,1.0,3.434929909098124,3.28553
1.351496902066033,0.0,0.0,0.0,1.0,3.434929909098124,3.28553
1.3566356735567784,0.0,0.0,0.0,1.0,3.434929909098124,3.28553
1.3617744450475238,0.0,0.0,0.0,1.0,3.434929909098124,3.28553
1.3669132165382691,0.0,0.0,0.0,1.0,3.434929909098124,3.28553
1.3720519880290143,0.0,0.0,0.0,1.0,3.434929909098124,3.28553
1.37719075951976,0.0,0.0,0.0,1.0,3.434929909098124,3.28553
