r (A),g(r)_weighted_Ca-Ca,g(r)_weighted_Ca-Cl,g(r)_weighted_K-Cl,g(r)_weighted_K-K,g(r)_weighted_Na-Cl,g(r)_weighted_Na-Na,S_i_Ca-Cl,S_i_K-Cl,S_i_Na-Cl,Average_SCL,lambda_BC
11.732825391405704,0.06831666891974615,0.15649704488090493,0.017760452010791232,0.0006988875463783999,0.12825636364470067,0.04093100017654186,7.402323236556264e-09,2.6416242149529084e-59,1.9498567556401155e-13,3.4511631483054255,0
11.740279537143572,0.06838102211594146,0.1564003468524438,0.017741658018734164,0.0006999411084308507,0.12829758561105423,0.040943245080752956,7.402323236556264e-09,2.6416242149529084e-59,1.9498567556401155e-13,3.4511631483054255,0
11.74773368288144,0.06844537531213676,0.1563036488239827,0.01772969314336528,0.0007009946704833015,0.1283388075774078,0.04095548998496407,7.402323236556264e-09,2.6416242149529084e-59,1.9498567556401155e-13,3.4511631483054255,0
11.75518782861931,0.06849024396829853,0.1562069507955216,0.01771804841812053,0.0007020482325357522,0.12838002954376132,0.040967734889175184,7.402323236556264e-09,2.6416242149529084e-59,1.9498567556401155e-13,3.4511631483054255,0
11.762641974357178,0.0685004820359648,0.1561102527670605,0.017706403692875787,0.0007031017945882029,0.12842125151011488,0.040979979793386294,7.402323236556264e-09,2.6416242149529084e-59,1.9498567556401155e-13,3.4511631483054255,0
11.770096120095047,0.06851072010363107,0.15597655330844243,0.017694758967631043,0.0007041553566406538,0.12846247347646844,0.04099222469759739,7.402323236556264e-09,2.6416242149529084e-59,1.9498567556401155e-13,3.4511631483054255,0
11.777550265832916,0.06852095817129734,0.1558413121245734,0.017683114242386295,0.0007052089186931044,0.12850369544282197,0.0410044696018085,7.402323236556264e-09,2.6416242149529084e-59,1.9498567556401155e-13,3.4511631483054255,0
11.785004411570783,0.0685311962389636,0.15570607094070432,0.01767146951714155,0.0007062624807455553,0.12854491740917554,0.041016714506019604,7.402323236556264e-09,2.6416242149529084e-59,1.9498567556401155e-13,3.4511631483054255,0
11.792458557308654,0.06854143430662987,0.15557082975683528,0.017659824791896806,0.000707316042798006,0.12858613937552907,0.041028959410230714,7.402323236556264e-09,2.6416242149529084e-59,1.9498567556401155e-13,3.4511631483054255,0
11.799912703046523,0.06855167237429617,0.15543558857296624,0.01764818006665206,0.0007080990356806143,0.12862736134188263,0.041041204314441825,7.402323236556264e-09,2.6416242149529084e-59,1.9498567556401155e-13,3.4511631483054255,0
11.807366848784392,0.06856191044196244,0.15530034738909718,0.017636535341407317,0.0007087300149734591,0.1286685833082362,0.04105344921865292,7.402323236556264e-09,2.6416242149529084e-59,1.9498567556401155e-13,3.4511631483054255,0
