r (A),g(r)_weighted_Ca-Ca,g(r)_weighted_Ca-Cl,g(r)_weighted_Mg-Cl,g(r)_weighted_Mg-Mg,g(r)_weighted_Na-Cl,g(r)_weighted_Na-Na,S_i_Ca-Cl,S_i_Mg-Cl,S_i_Na-Cl,Average_SCL,SCL_BC
9.222832889429714,0.004773371504599271,0.05784103331570319,0.1108433186917313,0.021642725870978995,0.19785146311854485,0.06278518975161196,2.9865227670814053e-13,7.901997778883096e-13,2.337666413550256e-08,2.5640104274946216,3.52027
9.230276660930466,0.004763248806698561,0.05782040696567976,0.11077480514881845,0.021645403360373093,0.197835802076872,0.0627074813328587,2.9865227670814053e-13,7.901997778883096e-13,2.337666413550256e-08,2.5640104274946216,3.52027
9.237720432431216,0.0047531261087978526,0.05779978061565632,0.11070629160590563,0.0216480808497672,0.19782014103519918,0.06262977291410544,2.9865227670814053e-13,7.901997778883096e-13,2.337666413550256e-08,2.5640104274946216,3.52027
9.245164203931964,0.004743003410897145,0.05777915426563289,0.11063777806299277,0.02165075833916131,0.19780447999352635,0.0625520644953522,2.9865227670814053e-13,7.901997778883096e-13,2.337666413550256e-08,2.5640104274946216,3.52027
9.252607975432715,0.0047328807129964345,0.057758527915609446,0.11056926452007994,0.02165343582855541,0.19778881895185346,0.062474356076598916,2.9865227670814053e-13,7.901997778883096e-13,2.337666413550256e-08,2.5640104274946216,3.52027
9.260051746933469,0.004722758015095726,0.05773790156558601,0.11050075097716712,0.021656113317949515,0.19777315791018069,0.062396647657845666,2.9865227670814053e-13,7.901997778883096e-13,2.337666413550256e-08,2.5640104274946216,3.52027
9.267495518434217,0.004712635317195017,0.05771727521556257,0.11043223743425429,0.021658790807343627,0.19775749686850794,0.062318939239092416,2.9865227670814053e-13,7.901997778883096e-13,2.337666413550256e-08,2.5640104274946216,3.52027
9.274939289934968,0.0047025126192943075,0.05769664886553913,0.11036372389134143,0.021661468296737728,0.19774183582683505,0.062241230820339145,2.9865227670814053e-13,7.901997778883096e-13,2.337666413550256e-08,2.5640104274946216,3.52027
9.282383061435718,0.004692389921393599,0.057673056487346996,0.11029521034842861,0.021664145786131832,0.19772617478516222,0.062163522401585895,2.9865227670814053e-13,7.901997778883096e-13,2.337666413550256e-08,2.5640104274946216,3.52027
9.289826832936468,0.004682322427839231,0.057628022409297125,0.11022669680551579,0.021666823275525937,0.19771051374348939,0.06210437176891344,2.9865227670814053e-13,7.901997778883096e-13,2.337666413550256e-08,2.5640104274946216,3.52027
9.29727060443722,0.004673287867467873,0.057582988331247247,0.11015818326260293,0.021666479794668608,0.19765097403729542,0.062048504800262014,2.9865227670814053e-13,7.901997778883096e-13,2.337666413550256e-08,2.5640104274946216,3.52027
9.30471437593797,0.004664253307096516,0.05753795425319738,0.1100896697196901,0.021665617913161964,0.19757656586163605,0.06199263783161062,2.9865227670814053e-13,7.901997778883096e-13,2.337666413550256e-08,2.5640104274946216,3.52027
9.31215814743872,0.004655218746725159,0.05749292017514752,0.11000220008685838,0.021664756031655318,0.1975021576859767,0.06193677086295921,2.9865227670814053e-13,7.901997778883096e-13,2.337666413550256e-08,2.5640104274946216,3.52027
9.319601918939467,0.004646184186353802,0.057447886097097646,0.10991430090449338,0.021663894150148674,0.19742774951031733,0.06188090389430781,2.9865227670814053e-13,7.901997778883096e-13,2.337666413550256e-08,2.5640104274946216,3.52027
9.32704569044022,0.004637149625982444,0.057402852019047775,0.10982640172212838,0.02166303226864203,0.19735334133465798,0.061825036925656406,2.9865227670814053e-13,7.901997778883096e-13,2.337666413550256e-08,2.5640104274946216,3.52027
9.33448946194097,0.004628115065611087,0.0573578179409979,0.10973850253976337,0.02166217038713538,0.1972789331589986,0.06176916995700499,2.9865227670814053e-13,7.901997778883096e-13,2.337666413550256e-08,2.5640104274946216,3.52027
9.34193323344172,0.0046190805052397305,0.057312783862948045,0.10965060335739839,0.021661308505628737,0.19720452498333926,0.0617133029883536,2.9865227670814053e-13,7.901997778883096e-13,2.337666413550256e-08,2.5640104274946216,3.52027
9.349377004942472,0.004610045944868371,0.05726774978489816,0.10956270417503337,0.021660446624122094,0.1971301168076799,0.06165743601970217,2.9865227670814053e-13,7.901997778883096e-13,2.337666413550256e-08,2.5640104274946216,3.52027
9.356820776443222,0.004601011384497014,0.057222715706848296,0.10947480499266839,0.021659584742615444,0.19705570863202054,0.06160156905105078,2.9865227670814053e-13,7.901997778883096e-13,2.337666413550256e-08,2.5640104274946216,3.52027
