r (A),g(r)_weighted_Be-Be,g(r)_weighted_Be-F,g(r)_weighted_F-F,g(r)_weighted_Li-F,g(r)_weighted_Li-Li,S_i_Be-F,S_i_Li-F,Average_SCL,SCL_BC
0.3817829727663832,0.0,0.0,0.0,0.0,0.0,1.0,1.0,2.0994622820301663,1.90187
0.3847656522411205,0.0,0.0,0.0,0.0,0.0,1.0,1.0,2.0994622820301663,1.90187
0.3877483317158579,0.0,0.0,0.0,0.0,0.0,1.0,1.0,2.0994622820301663,1.90187
0.3907310111905953,0.0,0.0,0.0,0.0,0.0,1.0,1.0,2.0994622820301663,1.90187
0.3937136906653326,0.0,0.0,0.0,0.0,0.0,1.0,1.0,2.0994622820301663,1.90187
0.39669637014007,0.0,0.0,0.0,0.0,0.0,1.0,1.0,2.0994622820301663,1.90187
0.3996790496148074,0.0,0.0,0.0,0.0,0.0,1.0,1.0,2.0994622820301663,1.90187
0.4026617290895448,0.0,0.0,0.0,0.0,0.0,1.0,1.0,2.0994622820301663,1.90187
0.4056444085642821,0.0,0.0,0.0,0.0,0.0,1.0,1.0,2.0994622820301663,1.90187
0.4086270880390195,0.0,0.0,0.0,0.0,0.0,1.0,1.0,2.0994622820301663,1.90187
0.4116097675137569,0.0,0.0,0.0,0.0,0.0,1.0,1.0,2.0994622820301663,1.90187
0.4145924469884942,0.0,0.0,0.0,0.0,0.0,1.0,1.0,2.0994622820301663,1.90187
0.4175751264632316,0.0,0.0,0.0,0.0,0.0,1.0,1.0,2.0994622820301663,1.90187
0.420557805937969,0.0,0.0,0.0,0.0,0.0,1.0,1.0,2.0994622820301663,1.90187
0.4235404854127063,0.0,0.0,0.0,0.0,0.0,1.0,1.0,2.0994622820301663,1.90187
0.4265231648874437,0.0,0.0,0.0,0.0,0.0,1.0,1.0,2.0994622820301663,1.90187
0.4295058443621811,0.0,0.0,0.0,0.0,0.0,1.0,1.0,2.0994622820301663,1.90187
0.4324885238369184,0.0,0.0,0.0,0.0,0.0,1.0,1.0,2.0994622820301663,1.90187
0.4354712033116558,0.0,0.0,0.0,0.0,0.0,1.0,1.0,2.0994622820301663,1.90187
0.4384538827863932,0.0,0.0,0.0,0.0,0.0,1.0,1.0,2.0994622820301663,1.90187
0.4414365622611305,0.0,0.0,0.0,0.0,0.0,1.0,1.0,2.0994622820301663,1.90187
0.4444192417358679,0.0,0.0,0.0,0.0,0.0,1.0,1.0,2.0994622820301663,1.90187
0.4474019212106053,0.0,0.0,0.0,0.0,0.0,1.0,1.0,2.0994622820301663,1.90187
0.4503846006853426,0.0,0.0,0.0,0.0,0.0,1.0,1.0,2.0994622820301663,1.90187
0.45336728016008,0.0,0.0,0.0,0.0,0.0,1.0,1.0,2.0994622820301663,1.90187
0.4563499596348174,0.0,0.0,0.0,0.0,0.0,1.0,1.0,2.0994622820301663,1.90187
0.4593326391095547,0.0,0.0,0.0,0.0,0.0,1.0,1.0,2.0994622820301663,1.90187
0.4623153185842921,0.0,0.0,0.0,0.0,0.0,1.0,1.0,2.0994622820301663,1.90187
0.4652979980590295,0.0,0.0,0.0,0.0,0.0,1.0,1.0,2.0994622820301663,1.90187
0.4682806775337668,0.0,0.0,0.0,0.0,0.0,1.0,1.0,2.0994622820301663,1.90187
0.4712633570085042,0.0,0.0,0.0,0.0,0.0,1.0,1.0,2.0994622820301663,1.90187
0.4742460364832416,0.0,0.0,0.0,0.0,0.0,1.0,1.0,2.0994622820301663,1.90187
0.477228715957979,0.0,0.0,0.0,0.0,0.0,1.0,1.0,2.0994622820301663,1.90187
