r (A),g(r)_weighted_Be-Be,g(r)_weighted_Be-F,g(r)_weighted_F-F,g(r)_weighted_Li-F,g(r)_weighted_Li-Li,g(r)_weighted_Th-F,S_i_Be-F,S_i_Li-F,S_i_Th-F,Average_SCL,SCL_BC
0.2089040213456728,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,2.057810576498803,0
0.2118883645077538,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,2.057810576498803,0
0.2148727076698349,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,2.057810576498803,0
0.2178570508319159,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,2.057810576498803,0
0.220841393993997,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,2.057810576498803,0
0.223825737156078,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,2.057810576498803,0
0.226810080318159,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,2.057810576498803,0
0.2297944234802401,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,2.057810576498803,0
0.2327787666423211,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,2.057810576498803,0
0.2357631098044021,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,2.057810576498803,0
0.2387474529664832,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,2.057810576498803,0
0.2417317961285642,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,2.057810576498803,0
0.2447161392906453,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,2.057810576498803,0
0.2477004824527263,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,2.057810576498803,0
0.2506848256148073,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,2.057810576498803,0
0.2536691687768884,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,2.057810576498803,0
0.2566535119389694,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,2.057810576498803,0
0.2596378551010505,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,2.057810576498803,0
0.2626221982631315,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,2.057810576498803,0
0.2656065414252126,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,2.057810576498803,0
0.2685908845872936,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,2.057810576498803,0
0.2715752277493747,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,2.057810576498803,0
0.2745595709114557,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,2.057810576498803,0
0.2775439140735367,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,2.057810576498803,0
0.2805282572356178,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,2.057810576498803,0
0.2835126003976988,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,2.057810576498803,0
0.2864969435597799,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,2.057810576498803,0
0.2894812867218609,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,2.057810576498803,0
0.292465629883942,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,2.057810576498803,0
0.295449973046023,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,2.057810576498803,0
0.298434316208104,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,2.057810576498803,0
0.3014186593701851,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,2.057810576498803,0
0.3044030025322661,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,2.057810576498803,0
0.3073873456943471,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,2.057810576498803,0
0.3103716888564282,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,2.057810576498803,0
0.3133560320185092,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,2.057810576498803,0
0.3163403751805902,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,2.057810576498803,0
