r (A),g(r)_weighted_U-U,g(r)_weighted_Na-U,g(r)_weighted_U-Cl,g(r)_weighted_Na-Na,g(r)_weighted_Na-Cl,g(r)_weighted_Cl-Cl,S_i_U-Cl,S_i_Na-Cl,Average_SCL,lambda_BC
0.3353276638319159,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,3.057260245033009,0
0.33931965982991497,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,3.057260245033009,0
0.34331165582791395,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,3.057260245033009,0
0.34730365182591294,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,3.057260245033009,0
0.3512956478239119,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,3.057260245033009,0
0.3552876438219109,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,3.057260245033009,0
0.35927963981990996,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,3.057260245033009,0
0.36327163581790894,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,3.057260245033009,0
0.36726363181590793,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,3.057260245033009,0
0.3712556278139069,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,3.057260245033009,0
0.37524762381190596,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,3.057260245033009,0
0.37923961980990495,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,3.057260245033009,0
0.38323161580790394,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,3.057260245033009,0
0.3872236118059029,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,3.057260245033009,0
0.3912156078039019,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,3.057260245033009,0
0.39520760380190095,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,3.057260245033009,0
0.39919959979989994,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,3.057260245033009,0
0.4031915957978989,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,3.057260245033009,0
0.4071835917958979,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,3.057260245033009,0
0.41117558779389696,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,3.057260245033009,0
0.41516758379189594,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,3.057260245033009,0
0.41915957978989493,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,3.057260245033009,0
0.4231515757878939,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,3.057260245033009,0
0.4271435717858929,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,3.057260245033009,0
0.43113556778389195,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,3.057260245033009,0
0.43512756378189094,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,3.057260245033009,0
0.4391195597798899,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,3.057260245033009,0
0.4431115557778889,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,3.057260245033009,0
0.4471035517758879,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,3.057260245033009,0
0.45109554777388694,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,3.057260245033009,0
0.4550875437718859,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,3.057260245033009,0
0.4590795397698849,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,3.057260245033009,0
0.4630715357678839,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,3.057260245033009,0
0.46706353176588294,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,3.057260245033009,0
0.47105552776388193,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,3.057260245033009,0
0.4750475237618809,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,3.057260245033009,0
0.4790395197598799,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,3.057260245033009,0
0.4830315157578789,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,3.057260245033009,0
0.48702351175587794,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,3.057260245033009,0
0.4910155077538769,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,3.057260245033009,0
0.4950075037518759,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,3.057260245033009,0
0.4989994997498749,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,3.057260245033009,0
0.5029914957478739,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,3.057260245033009,0
0.5069834917458729,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,3.057260245033009,0
0.5109754877438719,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,3.057260245033009,0
0.514967483741871,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,3.057260245033009,0
0.5189594797398699,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,3.057260245033009,0
0.5229514757378689,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,3.057260245033009,0
0.5269434717358679,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,3.057260245033009,0
0.5309354677338669,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,3.057260245033009,0
0.534927463731866,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,3.057260245033009,0
0.5389194597298649,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,3.057260245033009,0
0.5429114557278639,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,3.057260245033009,0
0.5469034517258629,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,3.057260245033009,0
0.5508954477238619,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,3.057260245033009,0
0.5548874437218609,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,3.057260245033009,0
0.5588794397198599,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,3.057260245033009,0
0.5628714357178589,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,3.057260245033009,0
0.566863431715858,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,3.057260245033009,0
0.5708554277138569,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,3.057260245033009,0
0.5748474237118559,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,3.057260245033009,0
0.5788394197098549,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,3.057260245033009,0
0.5828314157078539,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,3.057260245033009,0
0.586823411705853,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,3.057260245033009,0
0.5908154077038519,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,3.057260245033009,0
0.5948074037018509,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,3.057260245033009,0
0.5987993996998499,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,3.057260245033009,0
0.6027913956978489,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,3.057260245033009,0
0.6067833916958479,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,3.057260245033009,0
0.6107753876938469,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,3.057260245033009,0
0.6147673836918459,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,3.057260245033009,0
