r (A),g(r)_weighted_Li-Cl,g(r)_weighted_K-Cl,S_i_Li-Cl,S_i_K-Cl,Average_SCL,lambda_BC
0.3305553341370685,0.0,0.0,1.0,1.0,2.8791899179460123,0
0.3345379285242621,0.0,0.0,1.0,1.0,2.8791899179460123,0
0.3385205229114557,0.0,0.0,1.0,1.0,2.8791899179460123,0
0.3425031172986493,0.0,0.0,1.0,1.0,2.8791899179460123,0
0.3464857116858429,0.0,0.0,1.0,1.0,2.8791899179460123,0
0.3504683060730365,0.0,0.0,1.0,1.0,2.8791899179460123,0
0.3544509004602301,0.0,0.0,1.0,1.0,2.8791899179460123,0
0.3584334948474237,0.0,0.0,1.0,1.0,2.8791899179460123,0
0.36241608923461727,0.0,0.0,1.0,1.0,2.8791899179460123,0
0.3663986836218109,0.0,0.0,1.0,1.0,2.8791899179460123,0
0.3703812780090045,0.0,0.0,1.0,1.0,2.8791899179460123,0
0.37436387239619806,0.0,0.0,1.0,1.0,2.8791899179460123,0
0.3783464667833917,0.0,0.0,1.0,1.0,2.8791899179460123,0
0.3823290611705853,0.0,0.0,1.0,1.0,2.8791899179460123,0
0.38631165555777885,0.0,0.0,1.0,1.0,2.8791899179460123,0
0.39029424994497247,0.0,0.0,1.0,1.0,2.8791899179460123,0
0.39427684433216603,0.0,0.0,1.0,1.0,2.8791899179460123,0
0.39825943871935965,0.0,0.0,1.0,1.0,2.8791899179460123,0
0.40224203310655327,0.0,0.0,1.0,1.0,2.8791899179460123,0
0.4062246274937468,0.0,0.0,1.0,1.0,2.8791899179460123,0
0.41020722188094044,0.0,0.0,1.0,1.0,2.8791899179460123,0
0.41418981626813406,0.0,0.0,1.0,1.0,2.8791899179460123,0
0.4181724106553276,0.0,0.0,1.0,1.0,2.8791899179460123,0
0.42215500504252124,0.0,0.0,1.0,1.0,2.8791899179460123,0
0.42613759942971485,0.0,0.0,1.0,1.0,2.8791899179460123,0
0.4301201938169084,0.0,0.0,1.0,1.0,2.8791899179460123,0
0.43410278820410203,0.0,0.0,1.0,1.0,2.8791899179460123,0
0.4380853825912956,0.0,0.0,1.0,1.0,2.8791899179460123,0
0.4420679769784892,0.0,0.0,1.0,1.0,2.8791899179460123,0
0.4460505713656828,0.0,0.0,1.0,1.0,2.8791899179460123,0
0.4500331657528764,0.0,0.0,1.0,1.0,2.8791899179460123,0
0.45401576014007,0.0,0.0,1.0,1.0,2.8791899179460123,0
0.4579983545272636,0.0,0.0,1.0,1.0,2.8791899179460123,0
0.4619809489144572,0.0,0.0,1.0,1.0,2.8791899179460123,0
0.4659635433016508,0.0,0.0,1.0,1.0,2.8791899179460123,0
0.4699461376888444,0.0,0.0,1.0,1.0,2.8791899179460123,0
0.473928732076038,0.0,0.0,1.0,1.0,2.8791899179460123,0
0.4779113264632316,0.0,0.0,1.0,1.0,2.8791899179460123,0
0.4818939208504252,0.0,0.0,1.0,1.0,2.8791899179460123,0
0.48587651523761877,0.0,0.0,1.0,1.0,2.8791899179460123,0
0.4898591096248124,0.0,0.0,1.0,1.0,2.8791899179460123,0
0.49384170401200594,0.0,0.0,1.0,1.0,2.8791899179460123,0
0.49782429839919956,0.0,0.0,1.0,1.0,2.8791899179460123,0
0.5018068927863931,0.0,0.0,1.0,1.0,2.8791899179460123,0
0.5057894871735867,0.0,0.0,1.0,1.0,2.8791899179460123,0
0.5097720815607804,0.0,0.0,1.0,1.0,2.8791899179460123,0
0.513754675947974,0.0,0.0,1.0,1.0,2.8791899179460123,0
0.5177372703351676,0.0,0.0,1.0,1.0,2.8791899179460123,0
0.5217198647223611,0.0,0.0,1.0,1.0,2.8791899179460123,0
0.5257024591095547,0.0,0.0,1.0,1.0,2.8791899179460123,0
0.5296850534967483,0.0,0.0,1.0,1.0,2.8791899179460123,0
0.5336676478839419,0.0,0.0,1.0,1.0,2.8791899179460123,0
0.5376502422711356,0.0,0.0,1.0,1.0,2.8791899179460123,0
0.5416328366583292,0.0,0.0,1.0,1.0,2.8791899179460123,0
0.5456154310455227,0.0,0.0,1.0,1.0,2.8791899179460123,0
0.5495980254327163,0.0,0.0,1.0,1.0,2.8791899179460123,0
0.5535806198199099,0.0,0.0,1.0,1.0,2.8791899179460123,0
0.5575632142071035,0.0,0.0,1.0,1.0,2.8791899179460123,0
0.5615458085942971,0.0,0.0,1.0,1.0,2.8791899179460123,0
0.5655284029814907,0.0,0.0,1.0,1.0,2.8791899179460123,0
0.5695109973686843,0.0,0.0,1.0,1.0,2.8791899179460123,0
0.5734935917558779,0.0,0.0,1.0,1.0,2.8791899179460123,0
0.5774761861430715,0.0,0.0,1.0,1.0,2.8791899179460123,0
0.5814587805302651,0.0,0.0,1.0,1.0,2.8791899179460123,0
0.5854413749174587,0.0,0.0,1.0,1.0,2.8791899179460123,0
0.5894239693046522,0.0,0.0,1.0,1.0,2.8791899179460123,0
0.5934065636918459,0.0,0.0,1.0,1.0,2.8791899179460123,0
0.5973891580790395,0.0,0.0,1.0,1.0,2.8791899179460123,0
0.6013717524662331,0.0,0.0,1.0,1.0,2.8791899179460123,0
0.6053543468534267,0.0,0.0,1.0,1.0,2.8791899179460123,0
0.6093369412406203,0.0,0.0,1.0,1.0,2.8791899179460123,0
0.6133195356278138,0.0,0.0,1.0,1.0,2.8791899179460123,0
0.6173021300150074,0.0,0.0,1.0,1.0,2.8791899179460123,0
0.6212847244022011,0.0,0.0,1.0,1.0,2.8791899179460123,0
0.6252673187893947,0.0,0.0,1.0,1.0,2.8791899179460123,0
0.6292499131765883,0.0,0.0,1.0,1.0,2.8791899179460123,0
0.6332325075637818,0.0,0.0,1.0,1.0,2.8791899179460123,0
0.6372151019509754,0.0,0.0,1.0,1.0,2.8791899179460123,0
0.641197696338169,0.0,0.0,1.0,1.0,2.8791899179460123,0
