r (A),g(r)_weighted_Na-F,g(r)_weighted_Na-Na,g(r)_weighted_F-F,S_i_Na-F,Average_SCL,lambda_BC
0.3630750548671494,0.0,0.0,0.0,1.0,3.883435398016441,5.22361
0.3694447926718363,0.0,0.0,0.0,1.0,3.883435398016441,5.22361
0.3758145304765231,0.0,0.0,0.0,1.0,3.883435398016441,5.22361
0.38218426828120994,0.0,0.0,0.0,1.0,3.883435398016441,5.22361
0.38855400608589674,0.0,0.0,0.0,1.0,3.883435398016441,5.22361
0.3949237438905836,0.0,0.0,0.0,1.0,3.883435398016441,5.22361
0.4012934816952704,0.0,0.0,0.0,1.0,3.883435398016441,5.22361
0.40766321949995726,0.0,0.0,0.0,1.0,3.883435398016441,5.22361
0.4140329573046441,0.0,0.0,0.0,1.0,3.883435398016441,5.22361
0.4204026951093309,0.0,0.0,0.0,1.0,3.883435398016441,5.22361
0.4267724329140178,0.0,0.0,0.0,1.0,3.883435398016441,5.22361
0.4331421707187046,0.0,0.0,0.0,1.0,3.883435398016441,5.22361
0.43951190852339145,0.0,0.0,0.0,1.0,3.883435398016441,5.22361
0.44588164632807825,0.0,0.0,0.0,1.0,3.883435398016441,5.22361
0.4522513841327651,0.0,0.0,0.0,1.0,3.883435398016441,5.22361
0.4586211219374519,0.0,0.0,0.0,1.0,3.883435398016441,5.22361
0.4649908597421388,0.0,0.0,0.0,1.0,3.883435398016441,5.22361
0.4713605975468256,0.0,0.0,0.0,1.0,3.883435398016441,5.22361
0.47773033535151244,0.0,0.0,0.0,1.0,3.883435398016441,5.22361
0.48410007315619924,0.0,0.0,0.0,1.0,3.883435398016441,5.22361
0.4904698109608861,0.0,0.0,0.0,1.0,3.883435398016441,5.22361
0.4968395487655729,0.0,0.0,0.0,1.0,3.883435398016441,5.22361
0.5032092865702598,0.0,0.0,0.0,1.0,3.883435398016441,5.22361
0.5095790243749466,0.0,0.0,0.0,1.0,3.883435398016441,5.22361
0.5159487621796334,0.0,0.0,0.0,1.0,3.883435398016441,5.22361
0.5223184999843202,0.0,0.0,0.0,1.0,3.883435398016441,5.22361
0.5286882377890071,0.0,0.0,0.0,1.0,3.883435398016441,5.22361
0.535057975593694,0.0,0.0,0.0,1.0,3.883435398016441,5.22361
0.5414277133983807,0.0,0.0,0.0,1.0,3.883435398016441,5.22361
0.5477974512030676,0.0,0.0,0.0,1.0,3.883435398016441,5.22361
0.5541671890077544,0.0,0.0,0.0,1.0,3.883435398016441,5.22361
0.5605369268124413,0.0,0.0,0.0,1.0,3.883435398016441,5.22361
0.566906664617128,0.0,0.0,0.0,1.0,3.883435398016441,5.22361
0.5732764024218149,0.0,0.0,0.0,1.0,3.883435398016441,5.22361
