r (A),g(r)_weighted_Cl-Cl,g(r)_weighted_K-Cl,g(r)_weighted_K-K,g(r)_weighted_K-Li,g(r)_weighted_K-Na,g(r)_weighted_Li-Cl,g(r)_weighted_Li-Li,g(r)_weighted_Li-Na,g(r)_weighted_Na-Cl,g(r)_weighted_Na-Na,S_i_K-Cl,S_i_Li-Cl,S_i_Na-Cl,Average_SCL,SCL_BC
4.0448899449724856,0.8009216826450278,0.10289948151787436,0.05935693369754834,0.1467743818838193,0.020215064453764413,0.09414604207787149,0.14070805321885488,0.028950214836487874,0.014239698979919802,0.0037080931120650985,0.002902991546248379,0.11512054440946393,2.3396923346200543e-13,2.8104708327839134,0
4.05012943971986,0.7970348419038895,0.10215129402906263,0.05996250900252626,0.14669820314577714,0.020313178744316037,0.09466919486122681,0.14037454643767847,0.028835136579949048,0.014229164456918221,0.003667021163392552,0.002902991546248379,0.11512054440946393,2.3396923346200543e-13,2.8104708327839134,0
4.055368934467233,0.7931480011627522,0.10140310654025106,0.060568084307504065,0.14662202440773495,0.02041129303486764,0.09519234764458206,0.1400410396565021,0.02872005832341024,0.014218629933916645,0.003625949214720014,0.002902991546248379,0.11512054440946393,2.3396923346200543e-13,2.8104708327839134,0
4.060608429214607,0.789261160421614,0.10065491905143933,0.061173659612481994,0.14654584566969278,0.02050940732541926,0.09571550042793738,0.13970753287532567,0.02860498006687141,0.014208095410915066,0.003584877266047469,0.002902991546248379,0.11512054440946393,2.3396923346200543e-13,2.8104708327839134,0
4.0658479239619805,0.7853743196804768,0.09990673156262775,0.061779234917459826,0.14646966693165062,0.020607521615970865,0.0962386532112926,0.13937402609414934,0.0284899018103326,0.01419756088791349,0.0035438053173749307,0.002902991546248379,0.11512054440946393,2.3396923346200543e-13,2.8104708327839134,0
4.071087418709355,0.7812872131705534,0.09922158896394057,0.06236153268876304,0.14633199142877062,0.020701443094087883,0.09675095170575311,0.13903556570240366,0.02837539707965095,0.014191757394163328,0.0035160025467063454,0.002902991546248379,0.11512054440946393,2.3396923346200543e-13,2.8104708327839134,0
4.076326913456728,0.7769514620825323,0.09861472120074516,0.06291492970196441,0.14611796320100778,0.02079015888935068,0.09724977380782163,0.13869095504135587,0.028261604423207725,0.014191827818753413,0.003504674429626944,0.002902991546248379,0.11512054440946393,2.3396923346200543e-13,2.8104708327839134,0
4.081566408204101,0.7726157109945112,0.09800785343754975,0.0634683267151658,0.14590393497324491,0.02087887468461348,0.09774859590989014,0.13834634438030805,0.028147811766764494,0.014191898243343494,0.003493346312547542,0.002902991546248379,0.11512054440946393,2.3396923346200543e-13,2.8104708327839134,0
4.086805902951475,0.7682799599064897,0.09740098567435423,0.06402172372836727,0.14568990674548202,0.020967590479876296,0.09824741801195873,0.13800173371926017,0.02803401911032125,0.014191968667933577,0.00348201819546814,0.002902991546248379,0.11512054440946393,2.3396923346200543e-13,2.8104708327839134,0
4.092045397698849,0.7639442088184685,0.09679411791115883,0.06457512074156863,0.14547587851771915,0.021056306275139092,0.09874624011402724,0.13765712305821237,0.027920226453878018,0.014192039092523659,0.003470690078388738,0.002902991546248379,0.11512054440946393,2.3396923346200543e-13,2.8104708327839134,0
4.097284892446223,0.7596084577304465,0.09618725014796332,0.0651285177547701,0.14526185028995625,0.021145022070401906,0.09924506221609584,0.1373125123971645,0.027806433797434773,0.014192109517113742,0.003459361961309336,0.002902991546248379,0.11512054440946393,2.3396923346200543e-13,2.8104708327839134,0
