r (A),g(r)_weighted_K-F,g(r)_weighted_K-K,g(r)_weighted_F-F,S_i_K-F,Average_SCL,lambda_BC
12.28095242516242,0.34207397161551933,0.33722780810592506,0.33553204789135316,8.737626127829869e-05,4.362346357215834,4.63533
12.28840445940099,0.3422107065520968,0.33716836057343513,0.3354869741511917,8.737626127829869e-05,4.362346357215834,4.63533
12.295856493639558,0.34234744148867424,0.33710891304094526,0.33544190041103034,8.737626127829869e-05,4.362346357215834,4.63533
12.303308527878128,0.34248417642525164,0.3370494655084553,0.3353968266708689,8.737626127829869e-05,4.362346357215834,4.63533
12.310760562116698,0.34262091136182915,0.3369900179759654,0.3353517529307074,8.737626127829869e-05,4.362346357215834,4.63533
12.318212596355266,0.34275764629840655,0.3369305704434754,0.33530667919054596,8.737626127829869e-05,4.362346357215834,4.63533
12.325664630593836,0.34289438123498406,0.33687112291098553,0.3352616054503845,8.737626127829869e-05,4.362346357215834,4.63533
12.333116664832406,0.34303111617156146,0.3368116753784956,0.33521653171022303,8.737626127829869e-05,4.362346357215834,4.63533
12.340568699070975,0.3431678511081389,0.33675222784600567,0.3351714579700616,8.737626127829869e-05,4.362346357215834,4.63533
12.348020733309545,0.34330458604471636,0.3366927803135158,0.3351263842299002,8.737626127829869e-05,4.362346357215834,4.63533
12.355472767548115,0.34344132098129376,0.33663333278102586,0.33508131048973877,8.737626127829869e-05,4.362346357215834,4.63533
12.362924801786683,0.3435780559178712,0.33657388524853593,0.3350362367495773,8.737626127829869e-05,4.362346357215834,4.63533
12.370376836025253,0.34371479085444867,0.33651443771604594,0.33499116300941584,8.737626127829869e-05,4.362346357215834,4.63533
12.377828870263823,0.34385152579102607,0.33645499018355607,0.3349460892692544,8.737626127829869e-05,4.362346357215834,4.63533
12.385280904502393,0.3439882607276036,0.33639554265106614,0.3349010155290929,8.737626127829869e-05,4.362346357215834,4.63533
12.392732938740961,0.344124995664181,0.3363360951185762,0.3348530235713446,8.737626127829869e-05,4.362346357215834,4.63533
12.400184972979531,0.3442617306007585,0.33627664758608633,0.3348006826269506,8.737626127829869e-05,4.362346357215834,4.63533
12.407637007218101,0.3443984655373359,0.33621720005359634,0.33474834168255657,5.470879796684016e-06,4.362346357215834,4.63533
12.41508904145667,0.34453520047391334,0.3361577525211064,0.3346960007381626,5.470879796684016e-06,4.362346357215834,4.63533
12.42254107569524,0.3446719354104908,0.3360983049886165,0.33464365979376853,5.470879796684016e-06,4.362346357215834,4.63533
12.42999310993381,0.3448086703470682,0.3360388574561266,0.33459131884937454,5.470879796684016e-06,4.362346357215834,4.63533
12.437445144172377,0.34494540528364565,0.3359794099236367,0.33453897790498044,5.470879796684016e-06,4.362346357215834,4.63533
12.444897178410947,0.3450357659162253,0.33591996239114674,0.33448663696058645,5.470879796684016e-06,4.362346357215834,4.63533
12.452349212649517,0.345098700382766,0.33586051485865687,0.3344342960161924,5.470879796684016e-06,4.362346357215834,4.63533
12.459801246888086,0.3451616348493068,0.3358010673261669,0.3343819550717984,5.470879796684016e-06,4.362346357215834,4.63533
12.467253281126656,0.34522456931584744,0.33574161979367695,0.33432961412740436,5.470879796684016e-06,4.362346357215834,4.63533
12.474705315365226,0.3452875037823882,0.335682172261187,0.33427727318301026,5.470879796684016e-06,4.362346357215834,4.63533
12.482157349603794,0.34535043824892897,0.3355373128413142,0.33422493223861627,5.470879796684016e-06,4.362346357215834,4.63533
12.489609383842364,0.3454133727154697,0.3353487216646115,0.3341725912942222,5.470879796684016e-06,4.362346357215834,4.63533
12.497061418080934,0.3454763071820104,0.3351601304879089,0.33412025034982823,5.470879796684016e-06,4.362346357215834,4.63533
12.504513452319502,0.3455392416485511,0.33497153931120627,0.33406790940543424,5.470879796684016e-06,4.362346357215834,4.63533
12.511965486558072,0.34560217611509186,0.3347829481345036,0.3340155684610402,5.470879796684016e-06,4.362346357215834,4.63533
12.519417520796642,0.34566511058163263,0.33459435695780093,0.3339632275166461,5.470879796684016e-06,4.362346357215834,4.63533
12.52686955503521,0.3457280450481733,0.3344057657810984,0.3339108865722521,5.470879796684016e-06,4.362346357215834,4.63533
12.53432158927378,0.34579097951471405,0.33421717460439565,0.33385854562785805,5.470879796684016e-06,4.362346357215834,4.63533
12.54177362351235,0.34585391398125476,0.33402858342769304,0.33380620468346406,5.470879796684016e-06,4.362346357215834,4.63533
12.54922565775092,0.3459168484477955,0.3338399922509903,0.33375386373907,5.470879796684016e-06,4.362346357215834,4.63533
12.556677691989488,0.3459797829143362,0.33365140107428776,0.333701522794676,5.470879796684016e-06,4.362346357215834,4.63533
12.564129726228058,0.34604271738087694,0.33346280989758503,0.3336491818502819,5.470879796684016e-06,4.362346357215834,4.63533
12.571581760466628,0.3461056518474177,0.3332742187208824,0.3335968409058879,5.470879796684016e-06,4.362346357215834,4.63533
12.579033794705197,0.34616858631395836,0.3330856275441798,0.3335442517548368,5.470879796684016e-06,4.362346357215834,4.63533
12.586485828943767,0.3462315207804991,0.3329616009351746,0.3334914727049272,5.470879796684016e-06,4.362346357215834,4.63533
12.593937863182337,0.34629445524703983,0.3329205248544078,0.33343869365501755,5.470879796684016e-06,4.362346357215834,4.63533
12.601389897420905,0.3463573897135806,0.33287944877364106,0.3333859146051079,5.470879796684016e-06,4.362346357215834,4.63533
12.608841931659475,0.34642032418012125,0.3328383726928743,0.3333331355551983,5.470879796684016e-06,4.362346357215834,4.63533
12.616293965898045,0.346483258646662,0.33279729661210755,0.33328035650528864,5.470879796684016e-06,4.362346357215834,4.63533
12.623746000136613,0.3465461931132028,0.3327562205313408,0.333227577455379,5.470879796684016e-06,4.362346357215834,4.63533
12.631198034375183,0.34653633895927705,0.332715144450574,0.3331747984054694,5.470879796684016e-06,4.362346357215834,4.63533
12.638650068613753,0.34650752610316005,0.33267406836980723,0.33312201935555974,5.470879796684016e-06,4.362346357215834,4.63533
12.646102102852321,0.3464787132470431,0.3326329922890405,0.3330692403056501,5.470879796684016e-06,4.362346357215834,4.63533
12.653554137090891,0.3464499003909261,0.33259191620827366,0.33301646125574047,5.470879796684016e-06,4.362346357215834,4.63533
