r (A),g(r)_weighted_K-Cl,g(r)_weighted_K-K,g(r)_weighted_K-Na,g(r)_weighted_Na-Cl,g(r)_weighted_Na-Na,S_i_K-Cl,S_i_Na-Cl,Average_SCL,lambda_BC
0.4813843932736368,0.0,0.0,0.0,0.0,0.0,1.0,1.0,3.6538631024994963,4.32778
0.4863471189774887,0.0,0.0,0.0,0.0,0.0,1.0,1.0,3.6538631024994963,4.32778
0.4913098446813406,0.0,0.0,0.0,0.0,0.0,1.0,1.0,3.6538631024994963,4.32778
0.4962725703851925,0.0,0.0,0.0,0.0,0.0,1.0,1.0,3.6538631024994963,4.32778
0.5012352960890445,0.0,0.0,0.0,0.0,0.0,1.0,1.0,3.6538631024994963,4.32778
0.5061980217928964,0.0,0.0,0.0,0.0,0.0,1.0,1.0,3.6538631024994963,4.32778
0.5111607474967483,0.0,0.0,0.0,0.0,0.0,1.0,1.0,3.6538631024994963,4.32778
0.5161234732006003,0.0,0.0,0.0,0.0,0.0,1.0,1.0,3.6538631024994963,4.32778
0.5210861989044522,0.0,0.0,0.0,0.0,0.0,1.0,1.0,3.6538631024994963,4.32778
0.5260489246083041,0.0,0.0,0.0,0.0,0.0,1.0,1.0,3.6538631024994963,4.32778
0.531011650312156,0.0,0.0,0.0,0.0,0.0,1.0,1.0,3.6538631024994963,4.32778
0.535974376016008,0.0,0.0,0.0,0.0,0.0,1.0,1.0,3.6538631024994963,4.32778
0.5409371017198599,0.0,0.0,0.0,0.0,0.0,1.0,1.0,3.6538631024994963,4.32778
0.5458998274237118,0.0,0.0,0.0,0.0,0.0,1.0,1.0,3.6538631024994963,4.32778
0.5508625531275637,0.0,0.0,0.0,0.0,0.0,1.0,1.0,3.6538631024994963,4.32778
0.5558252788314157,0.0,0.0,0.0,0.0,0.0,1.0,1.0,3.6538631024994963,4.32778
0.5607880045352677,0.0,0.0,0.0,0.0,0.0,1.0,1.0,3.6538631024994963,4.32778
0.5657507302391196,0.0,0.0,0.0,0.0,0.0,1.0,1.0,3.6538631024994963,4.32778
0.5707134559429715,0.0,0.0,0.0,0.0,0.0,1.0,1.0,3.6538631024994963,4.32778
0.5756761816468234,0.0,0.0,0.0,0.0,0.0,1.0,1.0,3.6538631024994963,4.32778
0.5806389073506754,0.0,0.0,0.0,0.0,0.0,1.0,1.0,3.6538631024994963,4.32778
0.5856016330545273,0.0,0.0,0.0,0.0,0.0,1.0,1.0,3.6538631024994963,4.32778
0.5905643587583792,0.0,0.0,0.0,0.0,0.0,1.0,1.0,3.6538631024994963,4.32778
0.5955270844622311,0.0,0.0,0.0,0.0,0.0,1.0,1.0,3.6538631024994963,4.32778
0.600489810166083,0.0,0.0,0.0,0.0,0.0,1.0,1.0,3.6538631024994963,4.32778
0.605452535869935,0.0,0.0,0.0,0.0,0.0,1.0,1.0,3.6538631024994963,4.32778
0.6104152615737869,0.0,0.0,0.0,0.0,0.0,1.0,1.0,3.6538631024994963,4.32778
0.6153779872776388,0.0,0.0,0.0,0.0,0.0,1.0,1.0,3.6538631024994963,4.32778
0.6203407129814907,0.0,0.0,0.0,0.0,0.0,1.0,1.0,3.6538631024994963,4.32778
0.6253034386853427,0.0,0.0,0.0,0.0,0.0,1.0,1.0,3.6538631024994963,4.32778
0.6302661643891946,0.0,0.0,0.0,0.0,0.0,1.0,1.0,3.6538631024994963,4.32778
0.6352288900930465,0.0,0.0,0.0,0.0,0.0,1.0,1.0,3.6538631024994963,4.32778
0.6401916157968984,0.0,0.0,0.0,0.0,0.0,1.0,1.0,3.6538631024994963,4.32778
0.6451543415007504,0.0,0.0,0.0,0.0,0.0,1.0,1.0,3.6538631024994963,4.32778
0.6501170672046023,0.0,0.0,0.0,0.0,0.0,1.0,1.0,3.6538631024994963,4.32778
0.6550797929084542,0.0,0.0,0.0,0.0,0.0,1.0,1.0,3.6538631024994963,4.32778
0.6600425186123061,0.0,0.0,0.0,0.0,0.0,1.0,1.0,3.6538631024994963,4.32778
0.665005244316158,0.0,0.0,0.0,0.0,0.0,1.0,1.0,3.6538631024994963,4.32778
0.66996797002001,0.0,0.0,0.0,0.0,0.0,1.0,1.0,3.6538631024994963,4.32778
0.6749306957238619,0.0,0.0,0.0,0.0,0.0,1.0,1.0,3.6538631024994963,4.32778
0.6798934214277138,0.0,0.0,0.0,0.0,0.0,1.0,1.0,3.6538631024994963,4.32778
0.6848561471315657,0.0,0.0,0.0,0.0,0.0,1.0,1.0,3.6538631024994963,4.32778
0.6898188728354177,0.0,0.0,0.0,0.0,0.0,1.0,1.0,3.6538631024994963,4.32778
0.6947815985392696,0.0,0.0,0.0,0.0,0.0,1.0,1.0,3.6538631024994963,4.32778
0.6997443242431215,0.0,0.0,0.0,0.0,0.0,1.0,1.0,3.6538631024994963,4.32778
0.7047070499469734,0.0,0.0,0.0,0.0,0.0,1.0,1.0,3.6538631024994963,4.32778
0.7096697756508253,0.0,0.0,0.0,0.0,0.0,1.0,1.0,3.6538631024994963,4.32778
0.7146325013546773,0.0,0.0,0.0,0.0,0.0,1.0,1.0,3.6538631024994963,4.32778
0.7195952270585293,0.0,0.0,0.0,0.0,0.0,1.0,1.0,3.6538631024994963,4.32778
0.7245579527623812,0.0,0.0,0.0,0.0,0.0,1.0,1.0,3.6538631024994963,4.32778
0.7295206784662331,0.0,0.0,0.0,0.0,0.0,1.0,1.0,3.6538631024994963,4.32778
0.7344834041700851,0.0,0.0,0.0,0.0,0.0,1.0,1.0,3.6538631024994963,4.32778
0.739446129873937,0.0,0.0,0.0,0.0,0.0,1.0,1.0,3.6538631024994963,4.32778
0.7444088555777889,0.0,0.0,0.0,0.0,0.0,1.0,1.0,3.6538631024994963,4.32778
0.7493715812816408,0.0,0.0,0.0,0.0,0.0,1.0,1.0,3.6538631024994963,4.32778
0.7543343069854928,0.0,0.0,0.0,0.0,0.0,1.0,1.0,3.6538631024994963,4.32778
0.7592970326893447,0.0,0.0,0.0,0.0,0.0,1.0,1.0,3.6538631024994963,4.32778
0.7642597583931966,0.0,0.0,0.0,0.0,0.0,1.0,1.0,3.6538631024994963,4.32778
0.7692224840970485,0.0,0.0,0.0,0.0,0.0,1.0,1.0,3.6538631024994963,4.32778
0.7741852098009004,0.0,0.0,0.0,0.0,0.0,1.0,1.0,3.6538631024994963,4.32778
0.7791479355047524,0.0,0.0,0.0,0.0,0.0,1.0,1.0,3.6538631024994963,4.32778
0.7841106612086043,0.0,0.0,0.0,0.0,0.0,1.0,1.0,3.6538631024994963,4.32778
0.7890733869124562,0.0,0.0,0.0,0.0,0.0,1.0,1.0,3.6538631024994963,4.32778
0.7940361126163081,0.0,0.0,0.0,0.0,0.0,1.0,1.0,3.6538631024994963,4.32778
0.79899883832016,0.0,0.0,0.0,0.0,0.0,1.0,1.0,3.6538631024994963,4.32778
0.803961564024012,0.0,0.0,0.0,0.0,0.0,1.0,1.0,3.6538631024994963,4.32778
0.8089242897278639,0.0,0.0,0.0,0.0,0.0,1.0,1.0,3.6538631024994963,4.32778
0.8138870154317158,0.0,0.0,0.0,0.0,0.0,1.0,1.0,3.6538631024994963,4.32778
0.8188497411355677,0.0,0.0,0.0,0.0,0.0,1.0,1.0,3.6538631024994963,4.32778
0.8238124668394197,0.0,0.0,0.0,0.0,0.0,1.0,1.0,3.6538631024994963,4.32778
0.8287751925432716,0.0,0.0,0.0,0.0,0.0,1.0,1.0,3.6538631024994963,4.32778
0.8337379182471235,0.0,0.0,0.0,0.0,0.0,1.0,1.0,3.6538631024994963,4.32778
0.8387006439509754,0.0,0.0,0.0,0.0,0.0,1.0,1.0,3.6538631024994963,4.32778
0.8436633696548274,0.0,0.0,0.0,0.0,0.0,1.0,1.0,3.6538631024994963,4.32778
0.8486260953586793,0.0,0.0,0.0,0.0,0.0,1.0,1.0,3.6538631024994963,4.32778
0.8535888210625312,0.0,0.0,0.0,0.0,0.0,1.0,1.0,3.6538631024994963,4.32778
0.8585515467663831,0.0,0.0,0.0,0.0,0.0,1.0,1.0,3.6538631024994963,4.32778
0.863514272470235,0.0,0.0,0.0,0.0,0.0,1.0,1.0,3.6538631024994963,4.32778
