r (A),g(r)_weighted_Ca-Ca,g(r)_weighted_Ca-Cl,g(r)_weighted_Ca-K,g(r)_weighted_Cl-Cl,g(r)_weighted_K-Cl,g(r)_weighted_K-K,S_i_Ca-Cl,S_i_K-Cl,Average_SCL,lambda_BC
0.6808722137868934,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,4.123942324814675,0
0.6882729987193597,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,4.123942324814675,0
0.695673783651826,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,4.123942324814675,0
0.7030745685842922,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,4.123942324814675,0
0.7104753535167584,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,4.123942324814675,0
0.7178761384492246,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,4.123942324814675,0
0.7252769233816908,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,4.123942324814675,0
0.7326777083141571,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,4.123942324814675,0
0.7400784932466233,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,4.123942324814675,0
0.7474792781790895,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,4.123942324814675,0
0.7548800631115558,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,4.123942324814675,0
0.7622808480440221,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,4.123942324814675,0
0.7696816329764883,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,4.123942324814675,0
0.7770824179089545,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,4.123942324814675,0
0.7844832028414207,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,4.123942324814675,0
0.7918839877738869,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,4.123942324814675,0
0.7992847727063532,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,4.123942324814675,0
0.8066855576388194,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,4.123942324814675,0
0.8140863425712856,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,4.123942324814675,0
0.8214871275037519,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,4.123942324814675,0
0.8288879124362181,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,4.123942324814675,0
0.8362886973686844,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,4.123942324814675,0
0.8436894823011506,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,4.123942324814675,0
0.8510902672336168,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,4.123942324814675,0
0.858491052166083,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,4.123942324814675,0
0.8658918370985493,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,4.123942324814675,0
0.8732926220310155,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,4.123942324814675,0
0.8806934069634818,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,4.123942324814675,0
0.888094191895948,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,4.123942324814675,0
0.8954949768284142,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,4.123942324814675,0
0.9028957617608804,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,4.123942324814675,0
0.9102965466933468,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,4.123942324814675,0
0.9176973316258128,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,4.123942324814675,0
0.9250981165582792,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,4.123942324814675,0
0.9324989014907454,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,4.123942324814675,0
0.9398996864232116,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,4.123942324814675,0
0.947300471355678,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,4.123942324814675,0
0.954701256288144,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,4.123942324814675,0
0.9621020412206104,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,4.123942324814675,0
0.9695028261530766,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,4.123942324814675,0
0.9769036110855428,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,4.123942324814675,0
0.984304396018009,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,4.123942324814675,0
0.9917051809504752,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,4.123942324814675,0
0.9991059658829416,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,4.123942324814675,0
1.0065067508154075,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,4.123942324814675,0
1.013907535747874,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,4.123942324814675,0
1.0213083206803402,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,4.123942324814675,0
1.0287091056128064,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,4.123942324814675,0
1.0361098905452726,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,4.123942324814675,0
1.0435106754777388,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,4.123942324814675,0
1.0509114604102052,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,4.123942324814675,0
1.0583122453426714,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,4.123942324814675,0
1.0657130302751376,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,4.123942324814675,0
1.0731138152076038,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,4.123942324814675,0
1.08051460014007,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,4.123942324814675,0
1.0879153850725365,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,4.123942324814675,0
1.0953161700050025,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,4.123942324814675,0
1.102716954937469,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,4.123942324814675,0
1.110117739869935,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,4.123942324814675,0
1.117518524802401,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,4.123942324814675,0
1.1249193097348675,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,4.123942324814675,0
1.1323200946673335,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,4.123942324814675,0
1.1397208795998,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,4.123942324814675,0
1.1471216645322662,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,4.123942324814675,0
1.1545224494647324,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,4.123942324814675,0
1.1619232343971986,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,4.123942324814675,0
1.1693240193296648,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,4.123942324814675,0
1.176724804262131,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,4.123942324814675,0
1.1841255891945974,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,4.123942324814675,0
1.1915263741270636,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,4.123942324814675,0
1.1989271590595298,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,4.123942324814675,0
1.206327943991996,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,4.123942324814675,0
1.2137287289244625,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,4.123942324814675,0
1.2211295138569285,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,4.123942324814675,0
1.228530298789395,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,4.123942324814675,0
1.235931083721861,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,4.123942324814675,0
1.243331868654327,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,4.123942324814675,0
1.2507326535867933,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,4.123942324814675,0
1.2581334385192595,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,4.123942324814675,0
1.265534223451726,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,4.123942324814675,0
1.2729350083841922,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,4.123942324814675,0
1.2803357933166584,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,4.123942324814675,0
1.2877365782491246,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,4.123942324814675,0
1.2951373631815908,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,4.123942324814675,0
1.302538148114057,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,4.123942324814675,0
1.3099389330465232,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,4.123942324814675,0
1.3173397179789894,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,4.123942324814675,0
1.3247405029114558,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,4.123942324814675,0
1.332141287843922,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,4.123942324814675,0
1.3395420727763885,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,4.123942324814675,0
1.3469428577088545,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,4.123942324814675,0
1.354343642641321,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,4.123942324814675,0
1.3617444275737869,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,4.123942324814675,0
1.369145212506253,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,4.123942324814675,0
1.3765459974387193,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,4.123942324814675,0
1.3839467823711855,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,4.123942324814675,0
1.391347567303652,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,4.123942324814675,0
1.3987483522361182,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,4.123942324814675,0
1.4061491371685844,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,4.123942324814675,0
1.4135499221010506,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,4.123942324814675,0
1.4209507070335168,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,4.123942324814675,0
1.428351491965983,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,4.123942324814675,0
1.4357522768984492,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,4.123942324814675,0
1.4431530618309154,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,4.123942324814675,0
1.4505538467633816,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,4.123942324814675,0
1.457954631695848,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,4.123942324814675,0
1.4653554166283145,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,4.123942324814675,0
1.4727562015607805,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,4.123942324814675,0
1.480156986493247,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,4.123942324814675,0
1.4875577714257129,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,4.123942324814675,0
1.494958556358179,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,4.123942324814675,0
1.5023593412906453,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,4.123942324814675,0
1.5097601262231115,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,4.123942324814675,0
1.5171609111555775,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,4.123942324814675,0
1.524561696088044,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,4.123942324814675,0
1.5319624810205104,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,4.123942324814675,0
1.5393632659529766,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,4.123942324814675,0
1.5467640508854428,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,4.123942324814675,0
1.554164835817909,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,4.123942324814675,0
1.5615656207503752,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,4.123942324814675,0
1.5689664056828414,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,4.123942324814675,0
1.5763671906153076,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,4.123942324814675,0
1.5837679755477738,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,4.123942324814675,0
1.5911687604802405,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,4.123942324814675,0
1.5985695454127065,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,4.123942324814675,0
1.605970330345173,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,4.123942324814675,0
1.6133711152776389,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,4.123942324814675,0
1.620771900210105,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,4.123942324814675,0
1.6281726851425713,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,4.123942324814675,0
1.6355734700750375,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,4.123942324814675,0
1.6429742550075035,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,4.123942324814675,0
1.65037503993997,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,4.123942324814675,0
1.657775824872436,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,4.123942324814675,0
1.6651766098049026,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,4.123942324814675,0
1.6725773947373688,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,4.123942324814675,0
1.679978179669835,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,4.123942324814675,0
1.6873789646023012,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,4.123942324814675,0
1.6947797495347674,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,4.123942324814675,0
1.7021805344672336,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,4.123942324814675,0
1.7095813193996998,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,4.123942324814675,0
1.716982104332166,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,4.123942324814675,0
1.7243828892646322,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,4.123942324814675,0
1.7317836741970989,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,4.123942324814675,0
1.7391844591295649,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,4.123942324814675,0
1.746585244062031,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,4.123942324814675,0
1.7539860289944973,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,4.123942324814675,0
1.7613868139269635,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,4.123942324814675,0
1.7687875988594297,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,4.123942324814675,0
1.776188383791896,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,4.123942324814675,0
1.783589168724362,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,4.123942324814675,0
1.7909899536568283,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,4.123942324814675,0
1.7983907385892948,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,4.123942324814675,0
1.805791523521761,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,4.123942324814675,0
1.8131923084542272,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,4.123942324814675,0
1.8205930933866932,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,4.123942324814675,0
1.82799387831916,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,4.123942324814675,0
1.8353946632516256,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,4.123942324814675,0
1.842795448184092,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,4.123942324814675,0
1.8501962331165585,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,4.123942324814675,0
1.8575970180490244,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,4.123942324814675,0
1.8649978029814909,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,4.123942324814675,0
1.872398587913957,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,4.123942324814675,0
1.8797993728464235,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,4.123942324814675,0
1.8872001577788893,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,4.123942324814675,0
1.894600942711356,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,4.123942324814675,0
1.902001727643822,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,4.123942324814675,0
1.909402512576288,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,4.123942324814675,0
1.9168032975087543,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,4.123942324814675,0
1.9242040824412203,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,4.123942324814675,0
1.931604867373687,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,4.123942324814675,0
1.9390056523061527,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,4.123942324814675,0
1.9464064372386196,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,4.123942324814675,0
1.9538072221710856,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,4.123942324814675,0
1.961208007103552,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,4.123942324814675,0
1.968608792036018,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,4.123942324814675,0
